source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
pancreas,01_pancreas_endocrine,ABCC8,beta,both,1.942,1.117,1.942,
pancreas,01_pancreas_endocrine,ADCYAP1,beta,both,0.594,0.05,0.594,
pancreas,01_pancreas_endocrine,ARX,alpha,both,0.408,0.396,0.408,
pancreas,01_pancreas_endocrine,CUTA,,cellxgene,7.559,8.377,8.377,
pancreas,01_pancreas_endocrine,FEV,,both,0.983,0.836,0.983,
pancreas,01_pancreas_endocrine,HHEX,delta,both,5.171,4.815,5.171,
pancreas,01_pancreas_endocrine,INSM1,,both,0.389,0.235,0.389,
pancreas,01_pancreas_endocrine,ISL1,,both,0.659,0.604,0.659,
pancreas,01_pancreas_endocrine,KCNJ11,beta,canonical,1.585,0.987,1.585,
pancreas,01_pancreas_endocrine,MAFB,alpha,canonical,6.639,4.685,6.639,
pancreas,01_pancreas_endocrine,NEUROD1,,both,1.227,0.951,1.227,
pancreas,01_pancreas_endocrine,PAX6,,both,1.529,1.186,1.529,
pancreas,01_pancreas_endocrine,PCSK1,,both,2.232,0.776,2.232,
pancreas,01_pancreas_endocrine,PDX1,beta,both,1.183,0.885,1.183,
pancreas,01_pancreas_endocrine,SCG2,,both,2.606,1.674,2.606,
pancreas,01_pancreas_endocrine,SCG5,,both,4.633,3.464,4.633,
pancreas,01_pancreas_endocrine,SELENOT,,cellxgene,8.577,5.851,8.577,
pancreas,01_pancreas_endocrine,SLC30A8,beta,both,2.452,1.612,2.452,
pancreas,02_pancreas_exocrine,CFTR,ductal,both,29.856,32.182,32.182,
pancreas,02_pancreas_exocrine,CLDN1,ductal,both,21.44,14.895,21.44,
pancreas,02_pancreas_exocrine,CTRL,acinar,both,28.326,31.947,31.947,
pancreas,02_pancreas_exocrine,CUZD1,acinar,both,79.374,68.247,79.374,ubiquitous_candidate_non_specific
pancreas,02_pancreas_exocrine,HNF1B,ductal,canonical,11.215,17.919,17.919,
pancreas,02_pancreas_exocrine,MUC1,ductal,canonical,7.475,10.505,10.505,
pancreas,02_pancreas_exocrine,SOX9,ductal,canonical,15.268,17.427,17.427,
pancreas,02_pancreas_exocrine,VTCN1,ductal,both,5.141,5.264,5.264,
pancreas,13_fibroblast_stellate,ADAMTS2,,cellxgene,3.351,2.83,3.351,
pancreas,13_fibroblast_stellate,ADGRD1,,cellxgene,0.329,0.789,0.789,
pancreas,13_fibroblast_stellate,ANGPTL7,,cellxgene,0.134,0.073,0.134,
pancreas,13_fibroblast_stellate,BDKRB1,,cellxgene,0.165,0.122,0.165,
pancreas,13_fibroblast_stellate,COCH,,cellxgene,2.12,2.012,2.12,
pancreas,13_fibroblast_stellate,COL5A1,,both,6.941,4.792,6.941,
pancreas,13_fibroblast_stellate,COL5A2,,both,3.242,2.494,3.242,
pancreas,13_fibroblast_stellate,DDR2,,cellxgene,1.103,1.472,1.472,
pancreas,13_fibroblast_stellate,DPT,,both,4.534,3.145,4.534,
pancreas,13_fibroblast_stellate,FAP,,both,1.191,2.01,2.01,
pancreas,13_fibroblast_stellate,FGF7,,cellxgene,2.953,1.762,2.953,
pancreas,13_fibroblast_stellate,FGFR4,,cellxgene,3.986,4.659,4.659,
pancreas,13_fibroblast_stellate,GLA,,cellxgene,3.206,2.975,3.206,
pancreas,13_fibroblast_stellate,GXYLT2,,cellxgene,4.662,4.652,4.662,
pancreas,13_fibroblast_stellate,HSD11B1,,cellxgene,0.148,0.179,0.179,
pancreas,13_fibroblast_stellate,IL11,,cellxgene,0.2,0.054,0.2,
pancreas,13_fibroblast_stellate,IL1R1,,cellxgene,14.547,9.401,14.547,
pancreas,13_fibroblast_stellate,LAMC1,,cellxgene,9.777,7.607,9.777,
pancreas,13_fibroblast_stellate,MCTP2,,cellxgene,6.546,7.025,7.025,
pancreas,13_fibroblast_stellate,MFAP5,,both,0.604,0.344,0.604,
pancreas,13_fibroblast_stellate,MSC,,cellxgene,1.69,0.905,1.69,
pancreas,13_fibroblast_stellate,NES,stellate,canonical,2.284,2.32,2.32,
pancreas,13_fibroblast_stellate,NMB,,cellxgene,1.233,1.157,1.233,
pancreas,13_fibroblast_stellate,PDGFRA,,both,7.675,7.553,7.675,
pancreas,13_fibroblast_stellate,PDPN,,both,3.294,1.828,3.294,
pancreas,13_fibroblast_stellate,PLEKHH2,,cellxgene,2.344,2.445,2.445,
pancreas,13_fibroblast_stellate,POSTN,,both,1.149,0.464,1.149,
pancreas,13_fibroblast_stellate,PRDM6,,cellxgene,0.287,0.242,0.287,
pancreas,13_fibroblast_stellate,PRKD1,,cellxgene,1.556,1.756,1.756,
pancreas,13_fibroblast_stellate,PRRX1,,cellxgene,0.916,1.039,1.039,
pancreas,13_fibroblast_stellate,RAI14,,cellxgene,4.951,3.998,4.951,
pancreas,13_fibroblast_stellate,RBMS1,,cellxgene,3.63,3.38,3.63,
pancreas,13_fibroblast_stellate,RSPO2,,cellxgene,0.039,0.0,0.039,
pancreas,13_fibroblast_stellate,SLC5A5,,cellxgene,0.031,0.011,0.031,
pancreas,13_fibroblast_stellate,SLITRK4,,cellxgene,0.469,0.378,0.469,
pancreas,13_fibroblast_stellate,THBS2,,cellxgene,1.823,1.682,1.823,
pancreas,13_fibroblast_stellate,THY1,,canonical,4.527,3.897,4.527,
pancreas,13_fibroblast_stellate,TRPC6,,cellxgene,0.289,0.364,0.364,
pancreas,13_fibroblast_stellate,VEGFD,,cellxgene,0.231,0.159,0.231,
shared,03_immune_T_cell,AP3M2,,cellxgene,0.504,0.639,0.639,
shared,03_immune_T_cell,APOL2,,cellxgene,5.605,5.386,5.605,
shared,03_immune_T_cell,BCL11B,,cellxgene,0.083,0.146,0.146,
shared,03_immune_T_cell,CASP8,,cellxgene,2.154,2.786,2.786,
shared,03_immune_T_cell,CCDC86,,cellxgene,3.769,2.677,3.769,
shared,03_immune_T_cell,CCR4,,cellxgene,0.026,0.025,0.026,
shared,03_immune_T_cell,CCR6,,cellxgene,0.059,0.094,0.094,
shared,03_immune_T_cell,CCR9,,cellxgene,0.029,0.009,0.029,
shared,03_immune_T_cell,CD160,,cellxgene,0.056,0.047,0.056,
shared,03_immune_T_cell,CD1A,,cellxgene,0.034,0.01,0.034,
shared,03_immune_T_cell,CD1B,,cellxgene,0.017,0.0,0.017,
shared,03_immune_T_cell,CD1E,,cellxgene,0.053,0.023,0.053,
shared,03_immune_T_cell,CD2,,both,0.235,0.318,0.318,
shared,03_immune_T_cell,CD247,,both,0.221,0.492,0.492,
shared,03_immune_T_cell,CD28,,both,0.281,0.188,0.281,
shared,03_immune_T_cell,CD3E,,both,0.444,0.799,0.799,
shared,03_immune_T_cell,CD3G,,both,0.145,0.148,0.148,
shared,03_immune_T_cell,CD4,CD4,both,2.249,3.322,3.322,
