source,subpanel,gene,subtype_hint,evidence,detection_pct_r1,detection_pct_r2,det_max,specificity_flag
shared,15_neural_glial,ASCL1,neuron,both,2.914,3.607,3.607,
shared,15_neural_glial,MPZ,,canonical,1.632,2.061,2.061,
shared,15_neural_glial,NEFH,neuron,canonical,0.24,0.242,0.242,
shared,15_neural_glial,NEFL,neuron,both,0.654,0.129,0.654,
shared,15_neural_glial,NEFM,neuron,both,0.077,0.077,0.077,
shared,15_neural_glial,NGFR,,canonical,0.417,1.089,1.089,
shared,15_neural_glial,PHOX2B,neuron,both,0.054,0.096,0.096,
shared,15_neural_glial,PRPH,neuron,both,0.12,0.108,0.12,
shared,15_neural_glial,RET,neuron,canonical,0.188,0.413,0.413,
shared,15_neural_glial,SCN7A,,both,0.716,0.717,0.717,
shared,15_neural_glial,SNAP25,neuron,canonical,0.116,0.112,0.116,
shared,15_neural_glial,SOX10,,both,0.033,0.053,0.053,
shared,15_neural_glial,STMN2,neuron,both,0.064,0.099,0.099,
shared,15_neural_glial,SYP,neuron,canonical,0.584,0.63,0.63,
shared,15_neural_glial,TH,neuron,both,0.035,0.0,0.035,
shared,15_neural_glial,TUBB3,neuron,both,0.116,0.142,0.142,
shared,15_neural_glial,UCHL1,neuron,both,0.593,0.302,0.593,
shared,16_epithelial_general,CDH1,,both,8.095,4.528,8.095,
shared,16_epithelial_general,CLDN7,,both,0.642,0.79,0.79,
shared,16_epithelial_general,EPCAM,,both,1.555,1.083,1.555,
shared,16_epithelial_general,MUC1,,both,0.49,0.209,0.49,
thymus,01_thymic_epithelial_cortical,ASCL1,neuroendocrine,both,2.914,3.607,3.607,
thymus,01_thymic_epithelial_cortical,CCL25,cTEC,both,6.693,0.938,6.693,
thymus,01_thymic_epithelial_cortical,DLL4,,canonical,0.344,0.278,0.344,
thymus,01_thymic_epithelial_cortical,ENPEP,cTEC,canonical,0.772,0.546,0.772,
thymus,01_thymic_epithelial_cortical,EPCAM,,canonical,1.555,1.083,1.555,
thymus,01_thymic_epithelial_cortical,FOXN1,,both,1.49,0.925,1.49,
thymus,01_thymic_epithelial_cortical,LY75,cTEC,both,8.255,4.299,8.255,
thymus,01_thymic_epithelial_cortical,MGMT,,cellxgene,5.531,3.537,5.531,
thymus,01_thymic_epithelial_cortical,PAX1,,both,6.094,5.692,6.094,
thymus,01_thymic_epithelial_cortical,PITHD1,,cellxgene,5.192,2.648,5.192,
thymus,01_thymic_epithelial_cortical,PRSS16,cTEC,both,8.255,0.916,8.255,
thymus,01_thymic_epithelial_cortical,PSMB11,cTEC,canonical,0.17,0.109,0.17,
thymus,01_thymic_epithelial_cortical,SIX1,,cellxgene,1.086,1.547,1.547,
thymus,02_thymic_epithelial_medullary,AIRE,mTEC,both,1.029,0.641,1.029,
thymus,02_thymic_epithelial_medullary,ASCL1,neuroendocrine,both,2.914,3.607,3.607,
thymus,02_thymic_epithelial_medullary,CCL21,mTEC,canonical,0.79,0.616,0.79,
thymus,02_thymic_epithelial_medullary,CCL25,cTEC,both,6.693,0.938,6.693,
thymus,02_thymic_epithelial_medullary,CD40,mTEC,both,1.403,1.077,1.403,
thymus,02_thymic_epithelial_medullary,FEZF2,mTEC,canonical,0.707,0.539,0.707,
thymus,02_thymic_epithelial_medullary,KRT14,,canonical,11.92,8.983,11.92,
thymus,02_thymic_epithelial_medullary,LY75,cTEC,both,8.255,4.299,8.255,
thymus,02_thymic_epithelial_medullary,PAX1,,both,6.094,5.692,6.094,
thymus,02_thymic_epithelial_medullary,PRSS16,cTEC,both,8.255,0.916,8.255,
thymus,02_thymic_epithelial_medullary,SIX1,,cellxgene,1.086,1.547,1.547,
thymus,02_thymic_epithelial_medullary,SPIB,microfold,canonical,1.097,0.7,1.097,
thymus,02_thymic_epithelial_medullary,TNFRSF11A,microfold,canonical,1.294,0.871,1.294,
thymus,03_hassall_keratinized,DSG1,keratinocyte,both,0.34,0.306,0.34,
thymus,03_hassall_keratinized,DSG3,keratinocyte,both,4.487,3.053,4.487,
thymus,03_hassall_keratinized,KRT1,keratinocyte,canonical,8.811,8.175,8.811,
thymus,03_hassall_keratinized,KRT14,,canonical,11.92,8.983,11.92,
thymus,04_thymic_specialized_TEC,ASCL1,neuroendocrine,both,2.914,3.607,3.607,
thymus,04_thymic_specialized_TEC,CDH1,,canonical,8.095,4.528,8.095,
thymus,04_thymic_specialized_TEC,CFTR,ionocyte,canonical,0.187,0.161,0.187,
thymus,04_thymic_specialized_TEC,CHGA,neuroendocrine,canonical,0.311,0.24,0.311,
thymus,04_thymic_specialized_TEC,DCLK1,tuft,canonical,0.231,0.401,0.401,
thymus,04_thymic_specialized_TEC,EPCAM,,canonical,1.555,1.083,1.555,
thymus,04_thymic_specialized_TEC,FOXI1,ionocyte,canonical,0.161,0.09,0.161,
thymus,04_thymic_specialized_TEC,GNAT3,tuft,canonical,0.073,0.122,0.122,
thymus,04_thymic_specialized_TEC,INSM1,neuroendocrine,canonical,0.222,0.348,0.348,
thymus,04_thymic_specialized_TEC,NEUROD1,neuroendocrine,canonical,0.046,0.065,0.065,
thymus,04_thymic_specialized_TEC,POU2F3,tuft,canonical,0.149,0.149,0.149,
thymus,04_thymic_specialized_TEC,SOX9,tuft,canonical,0.629,0.626,0.629,
thymus,04_thymic_specialized_TEC,SPIB,microfold,canonical,1.097,0.7,1.097,
thymus,04_thymic_specialized_TEC,SYP,neuroendocrine,canonical,0.584,0.63,0.63,
thymus,05_thymic_myoid,CHRNA1,skeletal,canonical,0.405,0.442,0.442,
thymus,06_thymocyte_DN,AP3M2,,cellxgene,0.492,0.442,0.492,
thymus,06_thymocyte_DN,BCL11B,,cellxgene,3.184,3.17,3.184,
thymus,06_thymocyte_DN,CCR9,,cellxgene,3.038,1.99,3.038,
thymus,06_thymocyte_DN,CD1A,DP,both,0.119,0.269,0.269,
thymus,06_thymocyte_DN,CD1B,DP,both,0.136,0.348,0.348,
thymus,06_thymocyte_DN,CD1E,DP,both,0.256,0.657,0.657,
thymus,06_thymocyte_DN,CD2,,both,5.87,6.687,6.687,
thymus,06_thymocyte_DN,CD28,,cellxgene,3.111,4.378,4.378,
thymus,06_thymocyte_DN,CD34,DN,canonical,1.934,3.482,3.482,
thymus,06_thymocyte_DN,CD3E,,both,33.355,24.568,33.355,
thymus,06_thymocyte_DN,CD3G,,both,4.184,3.243,4.184,
thymus,06_thymocyte_DN,CD44,DN,canonical,9.984,9.665,9.984,
thymus,06_thymocyte_DN,CD5,,cellxgene,5.523,5.293,5.523,
thymus,06_thymocyte_DN,CD6,,cellxgene,4.666,5.481,5.481,
thymus,06_thymocyte_DN,CD7,,both,4.6,4.922,4.922,
thymus,06_thymocyte_DN,CD8A,CD8,both,10.524,22.256,22.256,
thymus,06_thymocyte_DN,CD8B,CD8,both,1.438,1.578,1.578,
thymus,06_thymocyte_DN,CORO1B,,cellxgene,3.426,3.297,3.426,
thymus,06_thymocyte_DN,CTLA4,Treg,both,3.159,1.655,3.159,
thymus,06_thymocyte_DN,DNTT,DN,both,0.348,0.396,0.396,
thymus,06_thymocyte_DN,ETS1,,cellxgene,11.402,7.083,11.402,
thymus,06_thymocyte_DN,GZMA,,cellxgene,0.236,0.334,0.334,
thymus,06_thymocyte_DN,GZMH,,cellxgene,0.051,0.072,0.072,
thymus,06_thymocyte_DN,GZMK,,cellxgene,0.19,0.203,0.203,
thymus,06_thymocyte_DN,ICOS,,cellxgene,1.231,1.175,1.231,
thymus,06_thymocyte_DN,IFNG,,cellxgene,0.073,0.156,0.156,
thymus,06_thymocyte_DN,IL7R,DN,canonical,27.132,10.793,27.132,
thymus,06_thymocyte_DN,ITK,,cellxgene,3.247,1.75,3.247,
thymus,06_thymocyte_DN,KIT,DN,canonical,0.404,0.291,0.404,
thymus,06_thymocyte_DN,LAT,,cellxgene,7.312,9.725,9.725,
thymus,06_thymocyte_DN,LCK,,both,6.358,6.631,6.631,
thymus,06_thymocyte_DN,LEF1,,cellxgene,14.048,12.949,14.048,
thymus,06_thymocyte_DN,LEPROTL1,,cellxgene,2.562,2.329,2.562,
thymus,06_thymocyte_DN,NEIL3,,cellxgene,0.17,0.193,0.193,
thymus,06_thymocyte_DN,PTCRA,,canonical,0.259,0.19,0.259,
thymus,06_thymocyte_DN,PTGER2,,cellxgene,0.191,0.199,0.199,
thymus,06_thymocyte_DN,PTPN2,,cellxgene,5.979,5.823,5.979,
thymus,06_thymocyte_DN,RAG1,DN,both,0.169,0.27,0.27,
thymus,06_thymocyte_DN,RAG2,DN,canonical,0.086,0.185,0.185,
thymus,06_thymocyte_DN,RASGRP1,,cellxgene,4.085,4.28,4.28,
thymus,06_thymocyte_DN,SATB1,,cellxgene,12.443,11.726,12.443,
thymus,06_thymocyte_DN,SH2D1A,,cellxgene,4.341,5.498,5.498,
thymus,06_thymocyte_DN,SIRPG,,cellxgene,3.173,3.302,3.302,
thymus,06_thymocyte_DN,SLC29A1,,cellxgene,3.226,2.599,3.226,
thymus,06_thymocyte_DN,TCF7,,cellxgene,8.886,10.967,10.967,
thymus,06_thymocyte_DN,THEMIS,,cellxgene,2.223,1.777,2.223,
thymus,06_thymocyte_DN,TIGIT,,cellxgene,1.352,0.762,1.352,
thymus,06_thymocyte_DN,ZAP70,,both,6.348,7.71,7.71,
thymus,07_thymocyte_DP,BCL11B,,cellxgene,3.184,3.17,3.184,
