gene,subtype_hint,evidence,note
AP3M2,,cellxgene,marks lineage (CL)
APOL2,,cellxgene,marks lineage (CL)
BCL11B,,cellxgene,marks lineage (CL)
CASP8,,cellxgene,marks lineage (CL)
CCDC86,,cellxgene,marks lineage (CL)
CCR4,,cellxgene,marks lineage (CL)
CCR6,,cellxgene,marks lineage (CL)
CCR9,,cellxgene,marks lineage (CL)
CD160,,cellxgene,marks lineage (CL)
CD1A,,cellxgene,marks lineage (CL)
CD1B,,cellxgene,marks lineage (CL)
CD1E,,cellxgene,marks lineage (CL)
CD2,,both,canonical identity marker
CD247,,both,canonical identity marker
CD28,,both,canonical identity marker
CD3E,,both,canonical identity marker
CD3G,,both,canonical identity marker
CD4,CD4,both,canonical identity marker
CD40LG,,cellxgene,marks lineage (CL)
CD5,,both,canonical identity marker
CD6,,both,canonical identity marker
CD7,,both,canonical identity marker
CD70,,cellxgene,marks lineage (CL)
CD8A,CD8,both,canonical identity marker
CD8B,CD8,both,canonical identity marker
CORO1B,,cellxgene,marks lineage (CL)
CRTAM,,cellxgene,marks lineage (CL)
CTBP1,,cellxgene,marks lineage (CL)
CTLA4,Treg,both,canonical identity marker
CXCR3,,cellxgene,marks lineage (CL)
CXCR6,,cellxgene,marks lineage (CL)
DAZAP1,,cellxgene,marks lineage (CL)
EIF2AK2,,cellxgene,marks lineage (CL)
ETS1,,cellxgene,marks lineage (CL)
FANCI,,cellxgene,marks lineage (CL)
FASLG,,cellxgene,marks lineage (CL)
FGFBP2,,cellxgene,marks lineage (CL)
FLT3LG,,cellxgene,marks lineage (CL)
FOXP3,Treg,both,canonical identity marker
GBP5,,cellxgene,marks lineage (CL)
GIMAP5,,cellxgene,marks lineage (CL)
GZMA,,cellxgene,marks lineage (CL)
GZMH,,cellxgene,marks lineage (CL)
GZMK,,cellxgene,marks lineage (CL)
HBS1L,,cellxgene,marks lineage (CL)
HNRNPUL1,,cellxgene,marks lineage (CL)
ICOS,,cellxgene,marks lineage (CL)
IFITM1,,cellxgene,marks lineage (CL)
IFNG,,cellxgene,marks lineage (CL)
IKZF2,Treg,both,canonical identity marker
IL17F,,cellxgene,marks lineage (CL)
IL2,,cellxgene,marks lineage (CL)
IL21R,,cellxgene,marks lineage (CL)
IL22,,cellxgene,marks lineage (CL)
IL2RA,Treg,both,canonical identity marker
IL9,,cellxgene,marks lineage (CL)
ITGAL,,cellxgene,marks lineage (CL)
ITK,,both,canonical identity marker
JAK3,,cellxgene,marks lineage (CL)
KLRG1,,cellxgene,marks lineage (CL)
KLRK1,,cellxgene,marks lineage (CL)
LAG3,,cellxgene,marks lineage (CL)
LAIR2,,cellxgene,marks lineage (CL)
LAT,,both,canonical identity marker
LCK,,both,canonical identity marker
LEF1,,cellxgene,marks lineage (CL)
LEPROTL1,,cellxgene,marks lineage (CL)
LTA,,cellxgene,marks lineage (CL)
LTK,,cellxgene,marks lineage (CL)
NEIL3,,cellxgene,marks lineage (CL)
PDCD1,,cellxgene,marks lineage (CL)
PMCH,,cellxgene,marks lineage (CL)
PRF1,,cellxgene,marks lineage (CL)
PTGER2,,cellxgene,marks lineage (CL)
PTPN2,,cellxgene,marks lineage (CL)
PTPN22,,cellxgene,marks lineage (CL)
RASGRP1,,cellxgene,marks lineage (CL)
RECQL,,cellxgene,marks lineage (CL)
RNF167,,cellxgene,marks lineage (CL)
S1PR5,,cellxgene,marks lineage (CL)
SATB1,,cellxgene,marks lineage (CL)
SEMA4D,,cellxgene,marks lineage (CL)
SH2D1A,,cellxgene,marks lineage (CL)
SHFL,,cellxgene,marks lineage (CL)
SIRPG,,cellxgene,marks lineage (CL)
SLAMF6,,cellxgene,marks lineage (CL)
SLC29A1,,cellxgene,marks lineage (CL)
SLFN5,,cellxgene,marks lineage (CL)
STAT4,,cellxgene,marks lineage (CL)
TCF7,,cellxgene,marks lineage (CL)
THEMIS,,both,canonical identity marker
TIGIT,,cellxgene,marks lineage (CL)
TNF,,cellxgene,marks lineage (CL)
TNFRSF9,,cellxgene,marks lineage (CL)
TNFSF14,,cellxgene,marks lineage (CL)
TRAF3IP3,,cellxgene,marks lineage (CL)
TREX1,,cellxgene,marks lineage (CL)
TSHR,,cellxgene,marks lineage (CL)
ZAP70,,both,canonical identity marker
ZC3H12D,,cellxgene,marks lineage (CL)
ZNF683,,cellxgene,marks lineage (CL)
