source,subpanel,gene,lineage_hint,cl_terms
shared,16_epithelial_general,ABCA3,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,ABCC3,Epithelial,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;paneth cell of epithelium of small intestine;hepatocyte;periportal region hepatocyte
shared,16_epithelial_general,ABCC8,Epithelial,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular secretory epithelial cell;enteroendocrine cell
shared,16_epithelial_general,ABHD11,Epithelial,fallopian tube secretory epithelial cell
shared,16_epithelial_general,ABTB2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell
shared,16_epithelial_general,ACE,Epithelial,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum
shared,16_epithelial_general,ACE2,Epithelial,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell
shared,16_epithelial_general,ACSL4,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell
shared,16_epithelial_general,ADAMTS19,Epithelial,interstitial cell of Cajal;taste receptor cell;cortical cell of adrenal gland;kidney glomerular epithelial cell;podocyte
shared,16_epithelial_general,AGER,Epithelial,epithelial cell;epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,AGR3,Epithelial,epithelial cell;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;multiciliated epithelial cell;multiciliated columnar cell of tracheobronchial tree;intestine goblet cell
shared,16_epithelial_general,AIRE,Epithelial,medullary thymic epithelial cell
shared,16_epithelial_general,AKR1C3,Epithelial,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;intrahepatic cholangiocyte;paneth cell of epithelium of small intestine;urothelial cell;bladder urothelial cell
shared,16_epithelial_general,AMH,Epithelial,duct epithelial cell;Sertoli cell;squamous epithelial cell;mesothelial cell
shared,16_epithelial_general,ANKRD30A,Epithelial,epithelial cell;duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell
shared,16_epithelial_general,ANPEP,Epithelial,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,ANXA2,Epithelial,basal cell of epithelium of bronchus;pancreatic ductal cell;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;bronchial epithelial cell;epithelial cell of urethra
shared,16_epithelial_general,APOB,Epithelial,epithelial cell;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;colonocyte;enterocyte of epithelium of small intestine
shared,16_epithelial_general,APOL6,Epithelial,respiratory tract epithelial cell;epithelial cell of lower respiratory tract;club cell
shared,16_epithelial_general,APOM,Epithelial,epithelial cell of proximal tubule
shared,16_epithelial_general,AQP5,Epithelial,epithelial cell;epithelial cell of lacrimal sac;glandular secretory epithelial cell;goblet cell;respiratory tract goblet cell;tracheal goblet cell
shared,16_epithelial_general,ARG2,Epithelial,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell
shared,16_epithelial_general,ATF3,Epithelial,ileal goblet cell;paneth cell of epithelium of small intestine;epithelial cell of uterus
shared,16_epithelial_general,ATOH8,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell
shared,16_epithelial_general,ATP1A1,Epithelial,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;pancreatic ductal cell;intrahepatic cholangiocyte;pulmonary alveolar epithelial cell;pulmonary alveolar type 2 cell
shared,16_epithelial_general,BACE2,Epithelial,basal epithelial cell of prostatic duct;lung goblet cell;luminal cell of prostate epithelium
shared,16_epithelial_general,BAIAP2,Epithelial,epithelial cell of lung;pulmonary alveolar epithelial cell;pulmonary alveolar type 1 cell;pulmonary alveolar type 2 cell
