gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323
ACOXL,,,,no,0.192,0.134,2195,1565,-0.517
ACTA2,,,,no,4.754,4.433,54445,51797,-0.101
ADCY3,,,,no,5.169,5.229,59204,61096,0.016
AFF3,,,,no,0.309,0.312,3535,3644,0.015
ALDH1A2,,,,no,1.302,1.029,14908,12028,-0.339
AMY1A,,,,no,76.385,68.227,874834,797218,-0.163
AQP3,nephron_specific,"Specific nephron segment; not in pancreas/LN. Some broadly-expressed kidney genes (e.g., RBP1, KL) deliberately kept.",,yes,7.158,11.942,81984,139542,0.738
B2M,,,,no,58.682,59.211,672086,691864,0.013
BMF,,,,no,2.449,3.786,28053,44235,0.628
CAMK4,,,,no,0.197,0.231,2258,2698,0.228
CCL21,,,,no,0.259,0.772,2972,9015,1.572
CCL5,,,,no,63.812,49.035,730834,572965,-0.38
CD24,,,,no,88.085,79.927,1008828,933930,-0.14
CD69,,,,no,0.397,0.977,4545,11420,1.3
CD74,,,,no,20.901,30.971,239383,361888,0.567
CD9,,,,no,20.254,19.719,231968,230415,-0.039
CHGA,,,,no,5.405,3.878,61900,45314,-0.479
CHRNA1,,,,no,0.11,0.029,1265,336,-1.942
CHST4,,,,no,1.718,2.752,19672,32151,0.68
COBL,,,,no,9.225,8.451,105648,98747,-0.126
COL6A1,,,,no,18.26,17.534,209126,204883,-0.058
COLEC11,,,,no,3.591,2.419,41122,28260,-0.57
DENND3,,,,no,2.194,3.544,25124,41410,0.692
ENTPD3,,,,no,3.98,4.913,45585,57404,0.304
ETS2,,,,no,11.893,10.402,136209,121539,-0.193
FBN1,,,,no,6.845,5.905,78390,69001,-0.213
FBXO27,,,,no,0.53,0.522,6068,6105,-0.02
FZD2,,,,no,0.373,0.421,4274,4925,0.176
GC,,,,no,4.813,8.948,55123,104554,0.895
GDF10,,,,no,4.06,5.539,46501,64724,0.448
GHRL,,,Sole Epsilon marker on the panel; 1-gene scoring caused 150K cells in 0041326 to be argmax-mislabeled Epsilon (see HANDOFF 2026-04-28). Either drop Epsilon from the celltype dict entirely (recommended) or expand the panel with co-markers (ARX is α-also; no clean Epsilon multi-gene panel exists in the 5K).,no,0.635,0.484,7270,5657,-0.391
GLIS3,,,,no,5.801,5.161,66437,60300,-0.169
GNG4,,,,no,1.814,0.963,20780,11248,-0.914
GPC5-AS1,,,,no,0.11,0.1,1259,1167,-0.138
GRIA4,,,,no,0.582,0.601,6667,7024,0.046
HAS1,,,,no,0.227,0.011,2603,126,-4.398
