gene,hIO_annotation,also_in_user_custom_100
A2M,,False
ACTA2,Stromal Cell,True
ACTB,Cytoskeleton,False
AIF1,Macrophage,False
ANXA1,Receptor Ligand,False
APOE,,False
AREG,Mast Cell,False
ARPC3,,False
ARPC5,,False
C1QB,Monocyte;Complement,False
C1R,Tumor;Complement,False
C1S,Tumor;Complement,False
CCL2,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,False
CCL21,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True
CCL3,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,False
CCL3L1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,False
CCL4,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,False
CCL5,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True
CD37,B Cell;CD Molecule,False
CD3D,T Cell;CD8+;Effector;CD Molecule,False
CD74,CD Molecule;Macrophage,True
CDK12,Tumorigenesis,False
CDKN2C,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,False
CDKN2D,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,False
CEACAM6,Epithelial Cell,False
CORO1A,T Cell;Macrophage;Apoptosis,False
COTL1,Tumor Suppression,False
CPA3,Mast Cell,False
CTSB,,False
CTSD,Tumor,False
CTSS,Tumor,False
CTSW,Tumor,False
CXCL1,Macrophage,False
CXCL14,Immune Cell Migration;Dendritic Cell;Chemokine,False
CXCL3,Oncogene,False
DCN,Fibroblast;Lineage Marker,False
DGKA,T Cell;Exhausted,False
DMBT1,Tumor Suppression,False
DUSP2,Tumorigenesis,False
ERBB4,Oncogene,False
FHIT,Tumor Supression,False
FLT1,Macrophage;Tumorigenesis;Metastasis,False
FN1,Fibroblast;Lineage Marker,False
FOS,Proto-Oncogene,False
G0S2,Cell Division,False
GNLY,T Cell;CD8+;Effector;Cytotoxic,False
GPR171,T Cell,False
GPR183,T Cell,False
HLA-B,,False
ID1,Tumorigenesis,False
ID2,Tumorigenesis,False
IFITM3,Tumorigenesis,True
IGFBP7,Oncogene,False
IGHG1,Plasma Cell,False
IGHG2,Plasma Cell,False
IGHG3,Plasma Cell,False
IGHG4,Plasmablast,False
IGHGP,Plasma Cell,False
IGHM,B Cell;Naive;Plasma Cell;Plasmablast,False
IGKC,Plasma Cell;Plasmablast,False
IGLC3,Plasmablast,False
IL22RA2,Immune Cell Regulation;T Cell,False
IL7R,T Cell;Survival;Memory,True
IRF2,,False
ISG15,,True
JCHAIN,Plasma Cell;Plasmablast,False
JUN,Proto-Oncogene,False
JUNB,Proto-Oncogene,False
KMT2C,,False
LTB,TNF Superfamily,True
LUM,Fibroblast,False
LY6E,,False
MCEMP1,Macrophage,False
MGP,,False
MIS18BP1,Monocyte;Non-Classical,False
MPEG1,Dendritic Cell;Plasmacytoid,False
NELL2,,False
NKG7,Natural Killer Cell,True
NOSIP,,False
PGA5,Chief Cell;Lineage Marker,False
PLD4,Dendritic Cell;Lineage Marker,False
PLEK,,False
PRDX4,Plasma Cell,False
PSMB10,,True
PTPRC,,True
REG4,Intestinal Cell;Lineage Marker,False
RGS1,,True
S100A9,Neutrophils,False
S100B,Dendritic Cell;Myeloid,False
SAMD3,Natural Killer Cell,False
SDC1,Plasma Cell,True
SPARC,,False
SPARCL1,,True
SSR4,Plasma Cell,False
TFF3,Intestinal;Lineage Marker,False
TRAT1,,False
TUBA1B,,False
TXLNA,,False
VCAN,Macrophage;M1,False
