gene,ensembl_id,num_probesets,codewords,annotation,in_5K_reference,in_audit_kept_5K_pool,cell_type,cellchat_pathway
A2M,ENSG00000175899,2,1,,False,False,,
ACE2,ENSG00000130234,8,1,Hormone Processing,True,True,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell;epithelial cell of small intestine,
ACTA2,ENSG00000107796,8,1,Stromal Cell,False,False,,
ACTB,ENSG00000075624,2,1,Cytoskeleton,False,False,,
ADAM28,ENSG00000042980,4,1,B cell,True,True,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,
AIF1,ENSG00000204472,2,1,Macrophage,False,False,,
AIRE,ENSG00000160224,4,1,T Cell;Thymus,True,True,medullary thymic epithelial cell,
AKT1,ENSG00000142208,8,1,Cancer Signalling,True,True,,
ANPEP,ENSG00000166825,8,1,Tumor,True,True,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,
ANXA1,ENSG00000135046,3,1,Receptor Ligand,False,False,,
APOE,ENSG00000130203,2,1,,False,False,,
AREG,ENSG00000109321,4,1,Mast Cell,False,False,,
ARG1,ENSG00000118520,8,1,Myeloid Derived Suppressor Cell,True,False,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;blood cell;granulocyte;neutrophil;immature neutrophil;myelocyte;granulocytopoietic cell,
ARID1A,ENSG00000117713,8,1,Tumor,True,True,,
ARPC3,ENSG00000111229,2,1,,False,False,,
ARPC5,ENSG00000162704,3,1,,False,False,,
ATM,ENSG00000149311,8,1,DNA Damage,True,True,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",
BANK1,ENSG00000153064,8,1,B Cell,True,True,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;B cell;immature B cell;transitional stage B cell;plasma cell,
BATF3,ENSG00000123685,4,1,T Cell,True,True,"hematopoietic cell;blood cell;granulocyte;CD141-positive myeloid dendritic cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;pre-conventional dendritic cell",
BCL2,ENSG00000171791,8,1,Apoptosis,True,True,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
BRAF,ENSG00000157764,8,1,Proto-Oncogene,True,True,,
C1QB,ENSG00000173369,2,1,Monocyte;Complement,False,False,,
C1QBP,ENSG00000108561,8,1,Tumorigenesis;Complement,True,True,erythroid progenitor cell;proerythroblast;macrophage dendritic cell progenitor;pre-conventional dendritic cell,
C1R,ENSG00000159403,8,1,Tumor;Complement,False,False,,
C1S,ENSG00000182326,8,1,Tumor;Complement,False,False,,
CCL11,ENSG00000172156,7,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True,True,,CCL
CCL13,ENSG00000181374,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True,True,,CCL
CCL14,ENSG00000276409,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True,True,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;basal cell of prostate epithelium;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus,CCL
CCL15,ENSG00000275718,2,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,True,True,enterocyte of epithelium of large intestine;enterocyte of colon;intestine goblet cell;large intestine goblet cell;colon goblet cell;paneth cell;paneth cell of colon;microfold cell of epithelium of small intestine;epithelial cell of large intestine;colon epithelial cell,CCL
