subpanel,n_5K_kept,n_in_hIO,n_lost_if_hIO_only,pct_lost
16_epithelial_general,779,49,730,93.7
03_immune_T_cell,783,131,652,83.3
15_neural_glial,457,31,426,93.2
06_immune_myeloid,484,93,391,80.8
11_endothelial_vascular,348,20,328,94.3
13_fibroblast_stellate,342,22,320,93.6
12_pericyte_smooth_muscle,232,11,221,95.3
04_immune_B_plasma,228,46,182,79.8
07_immune_granulocyte,217,39,178,82.0
01_pancreas_endocrine,168,6,162,96.4
05_immune_NK_ILC,208,51,157,75.5
09_cytokines_chemokines,126,62,64,50.8
20_signaling_pathways_developmental,61,5,56,91.8
14_ECM_remodeling,57,5,52,91.2
02_pancreas_exocrine,53,6,47,88.7
18_apoptosis_cell_death,48,6,42,87.5
17_cell_cycle_proliferation,46,13,33,71.7
10_interferon_antiviral,48,18,30,62.5
19_ER_stress_UPR,20,1,19,95.0
08_antigen_presentation_MHC,17,6,11,64.7
