gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABCA1,,,,no,4.024,9.526,46086,111313,1.243,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA
ACAP1,,,,no,0.377,0.869,4316,10157,1.206,ENSG00000072818,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",Recycling endosome membrane,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",
ADAM8,,,,no,1.243,2.199,14233,25691,0.823,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",
ADGRE5,,,,no,12.141,11.433,139049,133592,-0.087,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE
AFAP1L2,,,,no,7.496,5.21,85851,60872,-0.525,ENSG00000169129,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",
AHR,,,,no,5.117,6.008,58600,70198,0.232,ENSG00000106546,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),Cytoplasm,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",
ANP32E,,,,no,4.221,3.748,48345,43789,-0.172,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",
AOAH,,,,no,0.894,2.817,10237,32916,1.656,ENSG00000136250,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",
AP2A2,,,,no,9.342,10.757,106988,125691,0.204,ENSG00000183020,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Cell membrane,Kupffer cell;immature innate lymphoid cell,
APMAP,,,,no,8.848,7.818,101340,91354,-0.179,ENSG00000101474,Adipocyte plasma membrane-associated protein (Protein BSCv),Membrane,"placental villous trophoblast;syncytiotrophoblast cell;innate lymphoid cell;natural killer cell;CD16-positive, CD56-dim natural killer cell, human;ILC1, human;white fat cell;sebaceous gland cell",
APOBEC3C,,,,no,2.812,2.273,32208,26558,-0.307,ENSG00000244509,DNA dC->dU-editing enzyme APOBEC-3C (A3C),Nucleus,"decidual natural killer cell, human",
APOBEC3G,,,,no,0.489,0.712,5599,8315,0.542,ENSG00000239713,DNA dC->dU-editing enzyme APOBEC-3G,Cytoplasm;Nucleus;Cytoplasm,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",
ARF6,,,,no,11.185,8.344,128105,97494,-0.423,ENSG00000165527,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",
ATG7,,,,no,1.781,2.171,20399,25366,0.285,ENSG00000197548,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein),Cytoplasm,Kupffer cell;immature innate lymphoid cell,
