gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABCA1,,,,no,4.024,9.526,46086,111313,1.243,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA
ABCC4,,,,no,1.253,1.428,14351,16690,0.189,ENSG00000125257,ATP-binding cassette sub-family C member 4,Basolateral cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;luminal cell of prostate epithelium;tissue-resident macrophage;central nervous system macrophage;enucleate erythrocyte;epidermal Langerhans cell,
ABCG1,,,,no,1.01,1.901,11562,22217,0.913,ENSG00000160179,ATP-binding cassette sub-family G member 1,Endoplasmic reticulum membrane,alveolar macrophage;lung macrophage,
ABI3,,,,no,2.192,3.035,25102,35467,0.47,ENSG00000108798,ABI gene family member 3 (New molecule including SH3) (Nesh),Cytoplasm,"colon macrophage;Langerhans cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;peripheral blood mononuclear cell;pre-conventional dendritic cell",
ACHE,,,,no,0.76,0.781,8703,9128,0.04,ENSG00000087085,Acetylcholinesterase (AChE),Synapse,medullary thymic epithelial cell;follicular dendritic cell,
ACP5,,,,no,0.357,0.405,4090,4731,0.181,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,
ADA,,,,no,1.192,1.529,13652,17862,0.359,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",
ADAM17,,,,no,4.807,4.935,55055,57662,0.038,ENSG00000151694,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,
ADAM28,,,,no,0.421,0.986,4827,11525,1.227,ENSG00000042980,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,
ADAM8,,,,no,1.243,2.199,14233,25691,0.823,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",
ADAMDEC1,,,,no,0.138,0.105,1586,1226,-0.4,ENSG00000134028,ADAM DEC1,Secreted,mononuclear phagocyte;smooth muscle fiber of ileum;myofibroblast cell;mesenchymal cell,
ADGRE2,,,,no,0.872,1.211,9984,14149,0.474,ENSG00000127507,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE
ADGRE5,,,,no,12.141,11.433,139049,133592,-0.087,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE
ADM,,,,no,2.236,1.678,25611,19603,-0.415,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM
AHCY,,,,no,27.863,22.805,319108,266476,-0.289,ENSG00000101444,Adenosylhomocysteinase (AdoHcyase),Cytoplasm,macrophage dendritic cell progenitor,
ALDH2,,,,no,14.451,12.373,165503,144576,-0.224,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",
ALDOA,,,,no,8.833,8.515,101165,99499,-0.053,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,
ALOX5,,,,no,4.407,4.796,50476,56036,0.122,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,
ALYREF,,,,no,7.56,8.181,86586,95597,0.114,ENSG00000183684,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),Nucleus,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,
AMFR,,,,no,9.498,8.472,108777,98996,-0.165,ENSG00000159461,E3 ubiquitin-protein ligase AMFR,Endoplasmic reticulum membrane,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",
ANKRD44,,,,no,1.379,1.947,15799,22749,0.497,ENSG00000065413,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44),,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;mature microglial cell;melanocyte of skin,
ANP32E,,,,no,4.221,3.748,48345,43789,-0.172,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",
ANXA5,,,,no,36.744,27.541,420822,321811,-0.416,ENSG00000164111,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),,skeletal muscle satellite stem cell;pancreatic PP cell;PP cell;ovarian surface epithelial cell;elicited macrophage;alternatively activated macrophage;myeloid leukocyte;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,
AOAH,,,,no,0.894,2.817,10237,32916,1.656,ENSG00000136250,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",
APEX1,,,,no,16.68,16.64,191030,194432,-0.003,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,
