gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ACKR3,,,,no,2.553,4.156,29239,48561,0.703,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF
ACVR1,,,,no,2.394,2.484,27418,29028,0.053,ENSG00000115170,Activin receptor type-1,Membrane,,TGFb;BMP;AMH
ACVR1B,,,,no,9.007,10.08,103155,117777,0.162,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN
CCL1,,,,no,0.023,,267,0,,ENSG00000108702,C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309),Secreted,,CCL
CCL11,,,,no,1.405,0.65,16091,7599,-1.111,ENSG00000172156,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),Secreted,,CCL
CCL13,,,,no,0.513,0.297,5870,3467,-0.789,ENSG00000181374,C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13),Secreted,,CCL
CCL14,,,,no,2.491,3.249,28524,37966,0.384,ENSG00000276409,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14),Secreted,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;retinal blood vessel endothelial cell;kidney capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;basal cell of prostate epithelium;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus,CCL
CCL15,,,,no,0.066,0.026,751,301,-1.348,ENSG00000275718,C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15),Secreted,enterocyte of epithelium of large intestine;enterocyte of colon;intestine goblet cell;large intestine goblet cell;colon goblet cell;paneth cell;paneth cell of colon;microfold cell of epithelium of small intestine;epithelial cell of large intestine;colon epithelial cell,CCL
CCL16,,,,no,0.076,0.11,868,1281,0.533,ENSG00000275152,C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16),Secreted,,CCL
CCL17,,,,no,0.019,0.015,213,173,-0.329,ENSG00000102970,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),Secreted,"mononuclear phagocyte;myeloid dendritic cell, human",CCL
