gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ASPM,,,,no,0.215,0.128,2463,1491,-0.753,ENSG00000066279,Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog),Cytoplasm,DN4 thymocyte;erythroid lineage cell;pro-B cell;salivary gland cell;transit amplifying cell of small intestine,
AURKA,,,,no,0.499,0.361,5715,4224,-0.465,ENSG00000087586,Aurora kinase A,Cytoplasm,,
AURKB,,,,no,0.305,0.272,3488,3183,-0.161,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,
BIRC5,,,,no,0.708,0.358,8109,4186,-0.983,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",
BUB1,,,,no,0.225,0.211,2580,2471,-0.091,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,
BUB1B,,,,no,0.215,0.158,2462,1843,-0.447,ENSG00000156970,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Cytoplasm;Nucleus;Chromosome,,
CCNA2,,,,no,0.328,0.284,3756,3318,-0.208,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",
CCNB1,,,,no,0.945,0.918,10827,10722,-0.043,ENSG00000134057,G2/mitotic-specific cyclin-B1,Cytoplasm;Nucleus;Cytoplasm,enucleated reticulocyte,
CCNB2,,,,no,0.177,0.116,2027,1350,-0.615,ENSG00000157456,G2/mitotic-specific cyclin-B2,,"double-positive, alpha-beta thymocyte;DN4 thymocyte",
CCND1,,,,no,9.831,5.998,112592,70080,-0.713,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,
CCND2,,,,no,17.11,16.337,195956,190890,-0.067,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",
CCND3,,,,no,2.449,1.864,28049,21786,-0.393,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",
CCNE1,,,,no,0.241,0.336,2755,3925,0.482,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,
CDC20,,,,no,0.373,0.301,4268,3516,-0.309,ENSG00000117399,Cell division cycle protein 20 homolog (p55CDC),Cytoplasm,,
CDC25A,,,,no,0.369,0.252,4223,2946,-0.548,ENSG00000164045,M-phase inducer phosphatase 1,,,
CDC25C,,,,no,0.089,0.046,1021,538,-0.953,ENSG00000158402,M-phase inducer phosphatase 3,Nucleus,,
CDC6,,,,no,0.849,1.225,9724,14311,0.529,ENSG00000094804,Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6),Nucleus,,
CDK1,,,,no,0.48,0.229,5502,2671,-1.071,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",
CDK2,,,,no,2.645,2.406,30290,28108,-0.137,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,
CDK4,,,,no,7.883,8.209,90289,95916,0.058,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,
