gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ACVR1,,,,no,2.394,2.484,27418,29028,0.053,ENSG00000115170,Activin receptor type-1,Membrane,,TGFb;BMP;AMH
ACVR1B,,,,no,9.007,10.08,103155,117777,0.162,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN
ACVR2A,,,,no,3.543,4.317,40583,50440,0.285,ENSG00000121989,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN
BMP2,,,,no,6.312,3.984,72291,46556,-0.664,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP
BMP4,,,,no,0.318,0.391,3647,4571,0.297,ENSG00000125378,Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B),Secreted,mesodermal cell;connective tissue cell;fibroblast;fibroblast of lung;bronchus fibroblast of lung;mesenchymal cell,BMP
BMP5,,,,no,0.538,0.205,6167,2395,-1.393,ENSG00000112175,Bone morphogenetic protein 5 (BMP-5),Secreted,fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;chondrocyte;pericyte,BMP
BMP6,,,,no,0.161,0.185,1844,2162,0.201,ENSG00000153162,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1),Secreted,cardiac endothelial cell,BMP
BMP7,,,,no,0.075,0.057,863,670,-0.394,ENSG00000101144,Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa),Secreted,,BMP
BMP8A,,,,no,1.17,1.149,13400,13422,-0.027,ENSG00000183682,Bone morphogenetic protein 8A (BMP-8A),Secreted,,BMP
BMP8B,,,,no,0.775,0.771,8881,9005,-0.009,ENSG00000116985,Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2),Secreted,,BMP
BMPR1A,,,,no,6.309,5.574,72253,65128,-0.179,ENSG00000107779,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A),Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell,BMP;AMH
