gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ACAA2,,,,no,9.261,7.544,106070,88153,-0.296,ENSG00000167315,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,
ACACA,,,,no,4.505,3.282,51594,38348,-0.457,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,
ACACB,,,,no,7.998,9.016,91596,105344,0.173,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
ACAT1,,,,no,7.2,7.078,82463,82705,-0.025,ENSG00000075239,"Acetyl-CoA acetyltransferase, mitochondrial",Mitochondrion,kidney collecting duct intercalated cell;renal intercalated cell,
ACLY,,,,no,17.235,15.518,197392,181327,-0.151,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,
ACYP2,,,,no,3.593,3.221,41147,37640,-0.157,ENSG00000170634,Acylphosphatase-2,,pancreatic D cell,
AIFM1,,,,no,6.156,5.964,70509,69692,-0.046,ENSG00000156709,"Apoptosis-inducing factor 1, mitochondrial",Mitochondrion intermembrane space,,
ALDH1B1,,,,no,5.797,5.269,66398,61569,-0.138,ENSG00000137124,"Aldehyde dehydrogenase X, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell;intestinal crypt stem cell of colon,
ALDH2,,,,no,14.451,12.373,165503,144576,-0.224,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",
ALDH3A2,,,,no,17.111,20.1,195977,234864,0.232,ENSG00000072210,Aldehyde dehydrogenase family 3 member A2,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea,
