gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ACKR3,,,,no,2.553,4.156,29239,48561,0.703,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF
ADM,,,,no,2.236,1.678,25611,19603,-0.415,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM
ADORA2B,,,,no,0.172,0.132,1970,1548,-0.377,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ALDOA,,,,no,8.833,8.515,101165,99499,-0.053,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,
ANGPT1,,,,no,0.497,0.488,5697,5705,-0.027,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT
ANGPT2,,,,no,0.184,0.145,2110,1697,-0.343,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT
ANGPTL4,,,,no,12.861,3.047,147301,35608,-2.077,ENSG00000167772,Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP),Secreted,endothelial tip cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mature astrocyte;subcutaneous fat cell;epicardial adipocyte,ANGPTL
ANKZF1,,,,no,4.957,6.657,56771,77791,0.426,ENSG00000163516,tRNA endonuclease ANKZF1,Cytoplasm,,
ANXA2,,,,no,39.275,44.388,449817,518659,0.177,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,
ARNT,,,,no,7.834,8.125,89721,94936,0.053,ENSG00000143437,"Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)",Nucleus,,
ATF3,,,,no,5.902,2.359,67595,27560,-1.323,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,
ATP7A,,,,no,2.574,2.479,29484,28964,-0.055,ENSG00000165240,Copper-transporting ATPase 1,Golgi apparatus,pulmonary ionocyte;ionocyte,
BCAN,,,,no,0.043,0.011,492,126,-1.994,ENSG00000132692,Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB) (Chondroitin sulfate proteoglycan 7),Secreted,radial glial cell;forebrain radial glial cell;neural progenitor cell,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
CA12,,,,no,15.295,17.295,175172,202089,0.177,ENSG00000074410,Carbonic anhydrase 12,Membrane,kidney collecting duct epithelial cell;kidney collecting duct intercalated cell;corneal endothelial cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;mesothelial fibroblast;kidney cell;kidney collecting duct cell,
CA9,,,,no,0.46,0.708,5263,8275,0.624,ENSG00000107159,Carbonic anhydrase 9,Nucleus,ovarian surface epithelial cell,
CAMK2A,,,,no,0.038,0.012,431,141,-1.641,ENSG00000070808,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha),Synapse,,
