gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ACACA,,,,no,4.505,3.282,51594,38348,-0.457,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,
ACACB,,,,no,7.998,9.016,91596,105344,0.173,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
ACLY,,,,no,17.235,15.518,197392,181327,-0.151,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,
ADCY2,,,,no,0.284,0.174,3247,2028,-0.708,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,
ADIPOQ,,,,no,0.055,0.024,630,275,-1.225,ENSG00000181092,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",Secreted,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN
ADIPOR1,,,,no,18.988,18.573,217470,217019,-0.032,ENSG00000159346,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Cell membrane,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,ADIPONECTIN
ADIPOR2,,,,no,2.964,2.061,33952,24088,-0.524,ENSG00000006831,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Cell membrane,melanocyte;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN
ADRA1A,,,,no,0.123,0.086,1405,1008,-0.508,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ALDOA,,,,no,8.833,8.515,101165,99499,-0.053,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,
ANGPT1,,,,no,0.497,0.488,5697,5705,-0.027,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT
ANGPT2,,,,no,0.184,0.145,2110,1697,-0.343,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT
AP2M1,,,,no,23.862,23.097,273285,269882,-0.047,ENSG00000161203,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),Cell membrane,fallopian tube secretory epithelial cell;Hofbauer cell,
ARF1,,,,no,31.315,26.707,358646,312064,-0.23,ENSG00000143761,ADP-ribosylation factor 1,Golgi apparatus membrane,pancreatic D cell,
ATF1,,,,no,2.801,2.686,32075,31387,-0.06,ENSG00000123268,Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36),Nucleus,,
ATF2,,,,no,7.302,6.753,83635,78904,-0.113,ENSG00000115966,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),Nucleus;Cytoplasm;Mitochondrion outer membrane,,
ATF4,,,,no,51.875,47.634,594118,556593,-0.123,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,
ATP2A2,,,,no,14.018,12.195,160553,142491,-0.201,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,
ATP6V1B1,,,,no,0.42,0.459,4806,5363,0.129,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,
ATP6V1H,,,,no,3.994,4.168,45738,48703,0.062,ENSG00000047249,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),Cytoplasmic vesicle,renal beta-intercalated cell;renal alpha-intercalated cell;osteoclast,
AURKA,,,,no,0.499,0.361,5715,4224,-0.465,ENSG00000087586,Aurora kinase A,Cytoplasm,,
BAD,,,,no,0.348,0.301,3987,3518,-0.209,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
BCL2L1,,,,no,18.876,18.984,216190,221821,0.008,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,
BCL2L11,,,,no,1.776,1.509,20337,17629,-0.235,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,
BDNF,,,,no,0.067,0.034,765,403,-0.954,ENSG00000176697,Brain-derived neurotrophic factor (BDNF) (Abrineurin),Secreted,,NT
BRAF,,,,no,9.828,9.385,112563,109665,-0.067,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,
BRCA1,,,,no,0.771,0.492,8835,5745,-0.65,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,
BUB1,,,,no,0.225,0.211,2580,2471,-0.091,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,
CACYBP,,,,no,5.882,4.101,67370,47923,-0.52,ENSG00000116161,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),Nucleus,pancreatic D cell;mast cell;mucosal type mast cell;double negative thymocyte;proerythroblast;early T lineage precursor,
CANX,,,,no,50.662,44.115,580234,515474,-0.2,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,
CASP9,,,,no,1.897,2.254,21722,26333,0.249,ENSG00000132906,Caspase-9 (CASP-9),,,
CCNA1,,,,no,0.031,0.009,357,109,-1.741,ENSG00000133101,Cyclin-A1,Nucleus,,
CCNA2,,,,no,0.328,0.284,3756,3318,-0.208,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",
CCND1,,,,no,9.831,5.998,112592,70080,-0.713,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,
CCND2,,,,no,17.11,16.337,195956,190890,-0.067,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",
CCND3,,,,no,2.449,1.864,28049,21786,-0.393,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",
CCNE1,,,,no,0.241,0.336,2755,3925,0.482,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,
CCT6A,,,,no,20.029,19.83,229390,231710,-0.014,ENSG00000146731,T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20),Cytoplasm,"activated CD4-positive, alpha-beta T cell;proerythroblast",
CD19,,,,no,0.078,0.132,897,1538,0.749,ENSG00000177455,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;early T lineage precursor,
CD36,,,,no,2.321,2.918,26582,34098,0.33,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS
CDC25A,,,,no,0.369,0.252,4223,2946,-0.548,ENSG00000164045,M-phase inducer phosphatase 1,,,
CDC37,,,,no,10.436,11.507,119519,134452,0.141,ENSG00000105401,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37),Cytoplasm,endothelial tip cell,
CDK1,,,,no,0.48,0.229,5502,2671,-1.071,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",
CDK2,,,,no,2.645,2.406,30290,28108,-0.137,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,
CDK4,,,,no,7.883,8.209,90289,95916,0.058,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,
CDK6,,,,no,4.843,5.728,55469,66927,0.242,ENSG00000105810,Cyclin-dependent kinase 6,Cytoplasm;Nucleus;Cell projection,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",
CDKN1A,,,,no,15.485,12.015,177354,140389,-0.366,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,
CDKN1B,,,,no,8.969,11.332,102727,132413,0.337,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",
CFP,,,,no,0.317,0.316,3626,3697,-0.001,ENSG00000126759,Properdin (Complement factor P),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell",
CFTR,,,,no,29.856,32.182,341934,376037,0.108,ENSG00000001626,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase),Apical cell membrane,intestinal crypt stem cell of colon;pancreatic ductal cell;cholangiocyte;columnar/cuboidal epithelial cell;pulmonary ionocyte;lung goblet cell;bronchial goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;periportal region hepatocyte;M cell of gut;ionocyte,
CHAD,,,,no,0.408,0.83,4676,9701,1.024,ENSG00000136457,Chondroadherin (Cartilage leucine-rich protein),Secreted,osteoblast;chondrocyte,CHAD
