gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ADAR,,,,no,15.238,17.381,174520,203088,0.19,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,
AIM2,,,,no,0.059,0.081,673,943,0.458,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ATG16L1,,,,no,2.21,2.376,25308,27765,0.105,ENSG00000085978,Autophagy-related protein 16-1 (APG16-like 1),Cytoplasm,,
ATG5,,,,no,4.701,4.044,53843,47254,-0.217,ENSG00000057663,Autophagy protein 5 (APG5-like) (Apoptosis-specific protein),Cytoplasm,,
BCL10,,,,no,4.167,3.776,47720,44124,-0.142,ENSG00000142867,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),Cytoplasm,luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell;epithelial cell of urethra,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
BCL2L1,,,,no,18.876,18.984,216190,221821,0.008,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,
BCL3,,,,no,5.805,4.246,66479,49613,-0.451,ENSG00000069399,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),Nucleus;Cytoplasm,,
BIRC2,,,,no,15.907,16.978,182178,198387,0.094,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,
CALM3,,,,no,16.504,14.013,189023,163741,-0.236,ENSG00000160014,Calmodulin-3,Cytoplasm,pancreatic A cell;Hofbauer cell;platelet;T-helper 17 cell;large pre-B-II cell;myeloid cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,
CALML3,,,,no,0.033,,378,0,,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,
