gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABL1,,,,no,8.123,7.796,93037,91090,-0.059,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,
ACTN4,,,,no,33.487,34.258,383523,400293,0.033,ENSG00000130402,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,
AIMP2,,,,no,3.185,3.022,36473,35313,-0.076,ENSG00000106305,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Cytoplasm,,
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ANAPC1,,,,no,6.197,7.201,70976,84141,0.217,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,
ANP32E,,,,no,4.221,3.748,48345,43789,-0.172,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",
APC,,,,no,2.242,1.79,25676,20918,-0.325,ENSG00000134982,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),Cell junction,enteroendocrine cell of small intestine;astrocyte,
APEX1,,,,no,16.68,16.64,191030,194432,-0.003,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,
ARF6,,,,no,11.185,8.344,128105,97494,-0.423,ENSG00000165527,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",
ARHGEF2,,,,no,4.689,7.396,53702,86415,0.657,ENSG00000116584,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),Cytoplasm,,
ARHGEF7,,,,no,2.982,3.78,34157,44169,0.342,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,
ASF1B,,,,no,0.248,0.148,2836,1731,-0.741,ENSG00000105011,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),Nucleus,precursor B cell;large pre-B-II cell;pro-B cell,
ATM,,,,no,9.108,10.276,104310,120077,0.174,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",
ATR,,,,no,3.923,3.607,44927,42144,-0.121,ENSG00000175054,Serine/threonine-protein kinase ATR,Nucleus,,
ATRX,,,,no,11.521,10.23,131955,119531,-0.172,ENSG00000085224,Transcriptional regulator ATRX,Nucleus;Chromosome,,
AURKA,,,,no,0.499,0.361,5715,4224,-0.465,ENSG00000087586,Aurora kinase A,Cytoplasm,,
AURKB,,,,no,0.305,0.272,3488,3183,-0.161,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,
