gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ADD1,,,,no,18.293,20.894,209506,244146,0.192,ENSG00000087274,Alpha-adducin (Erythrocyte adducin subunit alpha),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,
AMFR,,,,no,9.498,8.472,108777,98996,-0.165,ENSG00000159461,E3 ubiquitin-protein ligase AMFR,Endoplasmic reticulum membrane,"kidney collecting duct intercalated cell;phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-positive, alpha-beta T cell;mature gamma-delta T cell;megakaryocyte",
ATF3,,,,no,5.902,2.359,67595,27560,-1.323,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,
ATF4,,,,no,51.875,47.634,594118,556593,-0.123,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,
ATF6,,,,no,14.434,14.665,165310,171358,0.023,ENSG00000118217,Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha),Endoplasmic reticulum membrane,,
ATXN3,,,,no,6.574,6.332,75297,73982,-0.054,ENSG00000066427,Ataxin-3,Nucleus matrix,,
BAG2,,,,no,1.324,1.035,15159,12097,-0.354,ENSG00000112208,BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2),,uterine smooth muscle cell,
BAG3,,,,no,4.188,4.916,47963,57439,0.231,ENSG00000151929,BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1),Nucleus,mesenchymal stem cell;skeletal muscle satellite stem cell;vasa recta ascending limb cell;skeletal muscle satellite cell;fibroblast of connective tissue of nonglandular part of prostate;tendon cell,
BAK1,,,,no,3.058,2.46,35028,28744,-0.314,ENSG00000030110,Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK) (Bcl-2-like protein 7) (Bcl2-L-7),Mitochondrion outer membrane,,
BAX,,,,no,1.317,1.334,15080,15593,0.019,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
CANX,,,,no,50.662,44.115,580234,515474,-0.2,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,
CAPN1,,,,no,5.531,5.052,63351,59034,-0.131,ENSG00000014216,Calpain-1 catalytic subunit,Cytoplasm,club cell,
CKAP4,,,,no,15.566,15.24,178280,178073,-0.031,ENSG00000136026,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),Endoplasmic reticulum membrane,immature neutrophil;myelocyte;osteoblast,
CRYAA,,,,no,0.022,,251,0,,ENSG00000160202,Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4),Cytoplasm,,
CUL1,,,,no,7.809,7.835,89436,91550,0.005,ENSG00000055130,Cullin-1 (CUL-1),,,
DCTN1,,,,no,10.179,12.928,116576,151055,0.345,ENSG00000204843,Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued),Cytoplasm,,
DDIT3,,,,no,0.975,1.594,11171,18628,0.709,ENSG00000175197,DNA damage-inducible transcript 3 protein (DDIT-3) (C/EBP zeta) (C/EBP-homologous protein) (CHOP) (C/EBP-homologous protein 10) (CHOP-10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA damage-inducible protein GADD153),Cytoplasm,epithelial cell of uterus;B cell;Mueller cell,
DDX10,,,,no,4.97,4.873,56922,56945,-0.028,ENSG00000178105,Probable ATP-dependent RNA helicase DDX10,,,
DERL3,,,,no,3.463,7.242,39662,84624,1.064,ENSG00000099958,Derlin-3 (Degradation in endoplasmic reticulum protein 3) (DERtrin-3) (Der1-like protein 3),Endoplasmic reticulum membrane,"dendritic cell;plasmacytoid dendritic cell;plasmacytoid dendritic cell, human;dendritic cell, human;mature B cell;plasmablast;IgA plasmablast;plasma cell;IgG plasma cell;IgM plasma cell;IgA plasma cell",
DIS3,,,,no,6.288,6.944,72013,81134,0.143,ENSG00000083520,Exosome complex exonuclease RRP44,Cytoplasm,,
DKC1,,,,no,10.999,10.735,125966,125439,-0.035,ENSG00000130826,H/ACA ribonucleoprotein complex subunit DKC1,Cytoplasm,megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;proerythroblast;hematopoietic precursor cell;common myeloid progenitor,
