gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABCC8,,,,no,1.942,1.117,22243,13049,-0.798,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,
ACACA,,,,no,4.505,3.282,51594,38348,-0.457,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,
ACACB,,,,no,7.998,9.016,91596,105344,0.173,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
ADCY2,,,,no,0.284,0.174,3247,2028,-0.708,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,
ADCYAP1,,,,no,0.594,0.05,6807,581,-3.579,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP
ADCYAP1R1,,,,no,0.213,0.204,2441,2382,-0.064,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP
ADIPOQ,,,,no,0.055,0.024,630,275,-1.225,ENSG00000181092,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",Secreted,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN
ADRA2A,,,,no,5.189,7.022,59428,82047,0.436,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline
ADRA2C,,,,no,0.883,0.39,10109,4555,-1.179,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline
AGER,,,,no,0.3,0.631,3439,7373,1.071,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,
AGTR1,,,,no,0.529,0.703,6055,8213,0.411,ENSG00000144891,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor),Cell membrane,,
AKT1,,,,no,21.471,16.765,245908,195890,-0.357,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,
AKT2,,,,no,14.34,16.101,164236,188133,0.167,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,
AKT3,,,,no,6.099,7.575,69847,88506,0.313,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,
ATF2,,,,no,7.302,6.753,83635,78904,-0.113,ENSG00000115966,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),Nucleus;Cytoplasm;Mitochondrion outer membrane,,
ATF4,,,,no,51.875,47.634,594118,556593,-0.123,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,
ATP1A1,,,,no,56.009,55.094,641463,643760,-0.024,ENSG00000163399,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit),Basolateral cell membrane,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pulmonary ionocyte;microfold cell of epithelium of small intestine;epithelial cell of small intestine;kidney distal convoluted tubule epithelial cell;macula densa epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell;ionocyte;transit amplifying cell of small intestine;serous cell of epithelium of trachea;lung secretory cell,
BAD,,,,no,0.348,0.301,3987,3518,-0.209,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,
BAX,,,,no,1.317,1.334,15080,15593,0.019,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,
BCL2,,,,no,1.295,1.556,14831,18181,0.265,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,
BRAF,,,,no,9.828,9.385,112563,109665,-0.067,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,
C1QTNF1,,,,no,1.445,0.78,16553,9116,-0.89,ENSG00000173918,Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP),Secreted,preosteoblast;vascular associated smooth muscle cell;osteoblast,
CACNA1B,,,,no,0.152,0.123,1741,1440,-0.303,ENSG00000148408,"Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)",Membrane,neural cell;neuron;interneuron;ganglion interneuron;inhibitory interneuron;amacrine cell;GABAergic neuron;glutamatergic neuron,
CACNA1C,,,,no,1.333,1.217,15270,14215,-0.132,ENSG00000151067,"Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)",Cell membrane,pigmented epithelial cell;pigmented ciliary epithelial cell;muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;smooth muscle cell of sphincter of pupil;muscle precursor cell;smooth muscle myoblast;cardiac muscle myoblast;retina horizontal cell;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;kidney interstitial fibroblast;renal interstitial pericyte;kidney interstitial cell,
CACNA1D,,,,no,1.15,0.96,13170,11215,-0.261,ENSG00000157388,"Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)",Membrane,non-pigmented ciliary epithelial cell;corneal epithelial cell;kidney distal convoluted tubule epithelial cell;retinal pigment epithelial cell;amacrine cell;alveolar type 2 fibroblast cell,
CACNA1G,,,,no,0.061,0.032,695,379,-0.904,ENSG00000006283,Voltage-dependent T-type calcium channel subunit alpha-1G (Cav3.1c) (NBR13) (Voltage-gated calcium channel subunit alpha Cav3.1),Cell membrane,,
CALM3,,,,no,16.504,14.013,189023,163741,-0.236,ENSG00000160014,Calmodulin-3,Cytoplasm,pancreatic A cell;Hofbauer cell;platelet;T-helper 17 cell;large pre-B-II cell;myeloid cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,
CALML3,,,,no,0.033,,378,0,,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,
CAMK2A,,,,no,0.038,0.012,431,141,-1.641,ENSG00000070808,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha),Synapse,,
CAMK2B,,,,no,0.397,0.229,4543,2680,-0.79,ENSG00000058404,Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta),Cytoplasm,bipolar neuron;retinal bipolar neuron;ON-bipolar cell;rod bipolar cell;OFF-bipolar cell,
CAMK2D,,,,no,3.496,4.151,40034,48503,0.248,ENSG00000145349,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta),Cell membrane,cardiac muscle cell;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;preadipocyte;brown preadipocyte,
CAMK2G,,,,no,2.392,3.066,27398,35823,0.358,ENSG00000148660,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma),Sarcoplasmic reticulum membrane,astrocyte,
CASP3,,,,no,4.989,4.109,57135,48018,-0.28,ENSG00000164305,Caspase-3 (CASP-3),Cytoplasm,"erythroid progenitor cell;erythroid progenitor cell, mammalian",
CBL,,,,no,2.216,2.928,25378,34217,0.402,ENSG00000110395,E3 ubiquitin-protein ligase CBL,Cytoplasm;Cell membrane;Cell projection,,
CBLB,,,,no,2.722,3.109,31172,36323,0.192,ENSG00000114423,E3 ubiquitin-protein ligase CBL-B,Cytoplasm,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,
CCK,,,,no,0.042,0.011,480,131,-1.902,ENSG00000187094,Cholecystokinin (CCK),Secreted,type L enteroendocrine cell;neuron;cortical interneuron;cerebral cortex GABAergic interneuron;Cajal-Retzius cell;fibroblast of connective tissue of nonglandular part of prostate,CCK
CCKAR,,,,no,0.027,0.01,311,113,-1.489,ENSG00000163394,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),Cell membrane,,CCK
CCND1,,,,no,9.831,5.998,112592,70080,-0.713,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,
CD28,,,,no,0.281,0.188,3220,2198,-0.58,ENSG00000178562,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),Membrane,"T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive, alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;CD4-positive, alpha-beta memory T cell;CD4-positive, alpha-beta memory T cell, CD45RO-positive;effector memory CD4-positive, alpha-beta T cell;effector CD4-positive, alpha-beta T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature T cell;regulatory T cell;cytotoxic T cell;intraepithelial lymphocyte;DN4 thymocyte;double negative T regulatory cell",CD80;CD86;ICOS
CD36,,,,no,2.321,2.918,26582,34098,0.33,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS
CD80,,,,no,0.065,0.083,745,970,0.352,ENSG00000121594,T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80),Membrane,,CD80
CD86,,,,no,0.418,0.591,4791,6904,0.498,ENSG00000114013,T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (B70) (BU63) (CTLA-4 counter-receptor B7.2) (FUN-1) (CD antigen CD86),Cell membrane,"phagocyte;macrophage;inflammatory macrophage;tissue-resident macrophage;colon macrophage;mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;myeloid leukocyte;myeloid cell",CD86
CDC42,,,,no,17.037,15.31,195127,178895,-0.154,ENSG00000070831,Cell division control protein 42 homolog,Cell membrane,mast cell;mucosal type mast cell;peripheral blood mononuclear cell,
CDK4,,,,no,7.883,8.209,90289,95916,0.058,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,
CDKN1B,,,,no,8.969,11.332,102727,132413,0.337,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",
CHRM3,,,,no,2.547,2.524,29172,29490,-0.013,ENSG00000133019,Muscarinic acetylcholine receptor M3,Cell membrane,kidney capillary endothelial cell;epithelial cell of sweat gland;smooth muscle cell of sphincter of pupil;ciliary muscle cell;stellate neuron;visceromotor neuron,Ach
COL4A1,,,,no,16.921,10.786,193799,126026,-0.65,ENSG00000187498,Collagen alpha-1(IV) chain,Secreted,mesenchymal stem cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;skeletal muscle fibroblast;extravillous trophoblast;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;mural cell,COLLAGEN;ADGRG
COL4A2,,,,no,10.108,7.19,115761,84017,-0.491,ENSG00000134871,Collagen alpha-2(IV) chain,Secreted,mesenchymal stem cell;lens epithelial cell;anterior lens cell;endothelial tip cell;smooth muscle myoblast;brown preadipocyte;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,COLLAGEN;ADGRG
