gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABI3BP,,,,no,1.96,2.415,22450,28220,0.301,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,
ADAM12,,,,no,0.511,0.239,5851,2788,-1.098,ENSG00000148848,Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12),Secreted,preosteoblast;trophoblast giant cell;extravillous trophoblast;preadipocyte;brown preadipocyte;white fat cell;mesangial cell,
ANPEP,,,,no,59.817,58.898,685081,688203,-0.022,ENSG00000166825,Aminopeptidase N (AP-N) (hAPN),Cell membrane,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,
BDNF,,,,no,0.067,0.034,765,403,-0.954,ENSG00000176697,Brain-derived neurotrophic factor (BDNF) (Abrineurin),Secreted,,NT
CCN1,,,,no,6.646,11.12,76119,129936,0.743,ENSG00000142871,CCN family member 1 (Cellular communication network factor 1) (Cysteine-rich angiogenic inducer 61) (Insulin-like growth factor-binding protein 10) (IBP-10) (IGF-binding protein 10) (IGFBP-10) (Protein CYR61) (Protein GIG1),Secreted,glioblast;Schwann cell precursor;skeletal muscle satellite stem cell;myoepithelial cell;myoepithelial cell of mammary gland;epithelial cell of uterus;basal cell of prostate epithelium;uterine smooth muscle cell;tracheobronchial smooth muscle cell;skeletal muscle satellite cell;decidual cell;tendon cell;theca cell,
CCN2,,,,no,6.815,6.411,78050,74916,-0.088,ENSG00000118523,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),Secreted,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;endothelial cell of umbilical vein;pancreatic PP cell;PP cell;endothelial cell of uterus;kidney glomerular epithelial cell;parietal epithelial cell;enteric smooth muscle cell;glutamatergic neuron;tendon cell,
CD44,,,,no,47.499,46.665,544000,545266,-0.026,ENSG00000026508,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cell membrane,intestinal crypt stem cell of large intestine;pancreatic ductal cell;pancreatic acinar cell;elicited macrophage;alternatively activated macrophage;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;mast cell;B cell;myeloid cell;early T lineage precursor;fibroblast of breast,MIF;SPP1;GALECTIN;COLLAGEN;FN1;LAMININ;SELE
CD59,,,,no,16.947,12.598,194095,147205,-0.428,ENSG00000085063,CD59 glycoprotein (1F5 antigen) (20 kDa homologous restriction factor) (HRF-20) (HRF20) (MAC-inhibitory protein) (MAC-IP) (MEM43 antigen) (Membrane attack complex inhibition factor) (MACIF) (Membrane inhibitor of reactive lysis) (MIRL) (Protectin) (CD antigen CD59),Cell membrane,pancreatic ductal cell;blood vessel endothelial cell;vein endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;endothelial cell of vascular tree;epithelial cell of urethra;fibroblast of breast;serous cell of epithelium of trachea,
CDH11,,,,no,1.414,1.718,16193,20071,0.281,ENSG00000140937,Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin),Cell membrane,endocardial cell;preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;bronchus fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPTL
CDH2,,,,no,0.194,0.109,2224,1272,-0.835,ENSG00000170558,Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325),Cell membrane,lens epithelial cell;cardiac muscle cell;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast,CDH
