gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABCA1,,,,no,4.024,9.526,46086,111313,1.243,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA
ABCA3,,,,no,4.203,3.748,48142,43789,-0.166,ENSG00000167972,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
ABCB1,,,,no,0.585,1.304,6696,15240,1.158,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,
ABCB4,,,,no,0.121,0.148,1386,1724,0.286,ENSG00000005471,Phosphatidylcholine translocator ABCB4,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,
ABCB6,,,,no,1.743,1.89,19967,22079,0.116,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,
ABCC1,,,,no,6.524,7.135,74719,83365,0.129,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,
ABCC8,,,,no,1.942,1.117,22243,13049,-0.798,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,
ABCD1,,,,no,1.601,2.604,18332,30427,0.702,ENSG00000101986,ATP-binding cassette sub-family D member 1,Peroxisome membrane,,
ABCD3,,,,no,6.961,7.227,79719,84448,0.054,ENSG00000117528,ATP-binding cassette sub-family D member 3,Peroxisome membrane,epithelial cell of lung;centrilobular region hepatocyte;lung secretory cell,
ABCD4,,,,no,2.186,2.757,25040,32214,0.335,ENSG00000119688,Lysosomal cobalamin transporter ABCD4,Endoplasmic reticulum membrane,,
ABCG2,,,,no,0.185,0.234,2121,2730,0.335,ENSG00000118777,Broad substrate specificity ATP-binding cassette transporter ABCG2,Cell membrane,prostate gland microvascular endothelial cell;cerebral cortex endothelial cell,
ACAA2,,,,no,9.261,7.544,106070,88153,-0.296,ENSG00000167315,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,
ACACA,,,,no,4.505,3.282,51594,38348,-0.457,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,
ACLY,,,,no,17.235,15.518,197392,181327,-0.151,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,
ACP5,,,,no,0.357,0.405,4090,4731,0.181,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,
