gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ALYREF,,,,no,7.56,8.181,86586,95597,0.114,ENSG00000183684,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),Nucleus,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,
CNOT1,,,,no,13.898,14.413,159176,168415,0.052,ENSG00000125107,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1),Cytoplasm,,
CPSF6,,,,no,19.55,20.923,223909,244477,0.098,ENSG00000111605,Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7),Nucleus,,
DAZAP1,,,,no,14.777,14.572,169237,170266,-0.02,ENSG00000071626,DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1),Cytoplasm,DN4 thymocyte,
DDX19A,,,,no,3.519,3.217,40308,37588,-0.13,ENSG00000168872,ATP-dependent RNA helicase DDX19A,Cytoplasm,,
DDX39B,,,,no,34.717,42.219,397607,493322,0.282,ENSG00000198563,Spliceosome RNA helicase DDX39B,Nucleus;Nucleus speckle;Cytoplasm,"CD34-positive, CD38-negative hematopoietic stem cell;myoepithelial cell;myoepithelial cell of mammary gland;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;myeloid lineage restricted progenitor cell;common lymphoid progenitor",
DDX6,,,,no,23.123,23.643,264823,276265,0.032,ENSG00000110367,Probable ATP-dependent RNA helicase DDX6,Cytoplasm,,
DIS3,,,,no,6.288,6.944,72013,81134,0.143,ENSG00000083520,Exosome complex exonuclease RRP44,Cytoplasm,,
EFTUD2,,,,no,3.433,4.271,39322,49903,0.315,ENSG00000108883,"116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)",Nucleus,,
EIF2S1,,,,no,10.471,7.707,119922,90053,-0.442,ENSG00000134001,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),Cytoplasm,,
EIF3A,,,,no,41.726,44.37,477885,518455,0.089,ENSG00000107581,Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185),Cytoplasm,erythroid progenitor cell,
EIF3C,,,,no,61.314,40.64,702222,474870,-0.593,ENSG00000184110,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),Cytoplasm,basal cell of epithelium of trachea;lung neuroendocrine cell,
EIF4A1,,,,no,47.106,46.623,539504,544777,-0.015,ENSG00000161960,Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I),,"CD34-positive, CD38-negative hematopoietic stem cell;myoepithelial cell;myoepithelial cell of mammary gland;prostate gland microvascular endothelial cell;basal cell of prostate epithelium;epithelial cell of urethra;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;T-helper 17 cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;proerythroblast;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate",
EIF4A3,,,,no,5.136,6.0,58826,70108,0.224,ENSG00000141543,Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III),Nucleus,T follicular helper cell;precursor B cell;fibroblast of connective tissue of nonglandular part of prostate,
EIF4E,,,,no,8.075,5.819,92483,67991,-0.473,ENSG00000151247,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Cytoplasm,,
EIF4EBP1,,,,no,32.9,30.067,376798,351319,-0.13,ENSG00000187840,Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I),,endothelial cell of umbilical vein;osteoclast,
EIF4G1,,,,no,44.834,41.572,513487,485760,-0.109,ENSG00000114867,Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220),Cytoplasm,fallopian tube secretory epithelial cell,
ENO2,,,,no,0.501,0.665,5740,7770,0.408,ENSG00000111674,Gamma-enolase,Cytoplasm,ON-bipolar cell;rod bipolar cell;OFF-bipolar cell;Cajal-Retzius cell;retinal ganglion cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;glycinergic neuron,
EXOSC10,,,,no,5.974,6.612,68416,77265,0.147,ENSG00000171824,Exosome component 10,Cytoplasm;Nucleus,,
FIP1L1,,,,no,6.579,8.357,75354,97645,0.345,ENSG00000145216,Pre-mRNA 3'-end-processing factor FIP1 (hFip1) (FIP1-like 1 protein) (Factor interacting with PAP) (Rearranged in hypereosinophilia),Nucleus,,
FUS,,,,no,9.255,12.992,105996,151810,0.489,ENSG00000089280,RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein),Nucleus,glioblast;Schwann cell precursor;common dendritic progenitor;common lymphoid progenitor,
HBS1L,,,,no,6.166,5.469,70618,63898,-0.173,ENSG00000112339,HBS1-like protein,Cytoplasm,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",
HNRNPA1L2,,,,no,48.535,53.922,555871,630060,0.152,ENSG00000139675,Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2),Nucleus,"neural crest cell;interstitial cell of Cajal;mesodermal cell;CD4-positive, alpha-beta thymocyte;CD8-positive, alpha-beta thymocyte;enteric neuron;theca cell",
