gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ANPEP,,,,no,59.817,58.898,685081,688203,-0.022,ENSG00000166825,Aminopeptidase N (AP-N) (hAPN),Cell membrane,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,
CD14,,,,no,6.434,7.258,73687,84803,0.174,ENSG00000170458,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14),Cell membrane,"acinar cell of salivary gland;phagocyte;macrophage;elicited macrophage;inflammatory macrophage;alternatively activated macrophage;microglial cell;kidney resident macrophage;colon macrophage;Hofbauer cell;classical monocyte;CD14-positive, CD16-negative classical monocyte;blood cell;granulocyte;dendritic cell, human;myeloid leukocyte;monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;intermediate monocyte;myeloid cell;salivary gland cell",
CD19,,,,no,0.078,0.132,897,1538,0.749,ENSG00000177455,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;early T lineage precursor,
CD1A,,,,no,0.034,0.01,389,113,-1.812,ENSG00000158477,T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6) (hTa1 thymocyte antigen) (CD antigen CD1a),Cell membrane,"Langerhans cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD1B,,,,no,0.017,,189,0,,ENSG00000158485,T-cell surface glycoprotein CD1b (CD antigen CD1b),Cell membrane,"lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD1C,,,,no,0.049,0.07,564,815,0.502,ENSG00000158481,T-cell surface glycoprotein CD1c (CD antigen CD1c),Cell membrane,"mononuclear phagocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;myeloid dendritic cell, human;CD1c-positive myeloid dendritic cell;dendritic cell, human;unswitched memory B cell;B-1a B cell;B-1b B cell;follicular B cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;transitional stage B cell",
CD1D,,,,no,0.54,0.965,6181,11275,0.838,ENSG00000158473,Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d),Cell membrane,mononuclear phagocyte;dendritic cell;conventional dendritic cell;Langerhans cell,CEACAM
CD1E,,,,no,0.053,0.023,602,268,-1.196,ENSG00000158488,"T-cell surface glycoprotein CD1e, membrane-associated (hCD1e) (R2G1) (CD antigen CD1e)",Lysosome lumen,"mononuclear phagocyte;Langerhans cell;dendritic cell, human;lymphocyte;T cell;alpha-beta T cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;gamma-delta T cell;intraepithelial lymphocyte;immature T cell;thymocyte;double negative thymocyte",
CD2,,,,no,0.235,0.318,2697,3711,0.432,ENSG00000116824,T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Cell membrane,"hematopoietic cell;leukocyte;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD4-positive helper T cell;T-helper 1 cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;memory regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD4-positive, alpha-beta T cell, human;effector memory CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta cytotoxic T cell;effector CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell, human;CD8-positive, alpha-beta memory T cell;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell;mature NK T cell;type I NK T cell;CD8-alpha alpha positive, gamma-delta intraepithelial T cell;mature T cell;regulatory T cell;cytotoxic T cell;exhausted T cell;intraepithelial lymphocyte;DN3 thymocyte;DN1 thymic pro-T cell",
CD22,,,,no,0.214,0.261,2447,3046,0.287,ENSG00000012124,B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22),Cell membrane,"professional antigen presenting cell;dendritic cell, human;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;B cell;immature B cell;transitional stage B cell",CD45
