gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABHD6,,,,no,2.274,1.57,26042,18340,-0.535,ENSG00000163686,Monoacylglycerol lipase ABHD6,Late endosome membrane,,
ACKR3,,,,no,2.553,4.156,29239,48561,0.703,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF
ADCY2,,,,no,0.284,0.174,3247,2028,-0.708,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,
ADCYAP1,,,,no,0.594,0.05,6807,581,-3.579,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP
ADCYAP1R1,,,,no,0.213,0.204,2441,2382,-0.064,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP
ADGRE1,,,,no,0.099,0.112,1135,1310,0.178,ENSG00000174837,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),Cell membrane,,
ADGRE2,,,,no,0.872,1.211,9984,14149,0.474,ENSG00000127507,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE
ADGRE5,,,,no,12.141,11.433,139049,133592,-0.087,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE
ADM,,,,no,2.236,1.678,25611,19603,-0.415,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM
ADORA1,,,,no,4.512,4.74,51675,55388,0.071,ENSG00000163485,Adenosine receptor A1,Cell membrane,,CD39;Adenosine
ADORA2A,,,,no,0.263,0.281,3014,3288,0.097,ENSG00000128271,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine
ADORA2B,,,,no,0.172,0.132,1970,1548,-0.377,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine
ADORA3,,,,no,0.785,0.683,8986,7982,-0.2,ENSG00000282608,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine
ADRA1A,,,,no,0.123,0.086,1405,1008,-0.508,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline
ADRA1B,,,,no,0.176,0.094,2014,1096,-0.907,ENSG00000170214,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline
ADRA1D,,,,no,0.061,,694,0,,ENSG00000171873,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),Cell membrane,,Adrenaline;Noradrenaline
ADRA2A,,,,no,5.189,7.022,59428,82047,0.436,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline
ADRA2B,,,,no,0.254,0.214,2912,2505,-0.246,ENSG00000274286,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Cell membrane,,Adrenaline;Noradrenaline
ADRA2C,,,,no,0.883,0.39,10109,4555,-1.179,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline
ADRB1,,,,no,0.657,0.24,7522,2802,-1.454,ENSG00000043591,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline
ADRB2,,,,no,0.311,0.488,3558,5697,0.65,ENSG00000169252,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,stem cell of epidermis;keratinocyte;epidermal cell;mast cell,Adrenaline;Noradrenaline
