gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
ABCC8,,,,no,1.942,1.117,22243,13049,-0.798,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,
ABCC9,,,,no,3.259,3.202,37321,37411,-0.025,ENSG00000069431,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,capillary endothelial cell;pancreatic PP cell;ciliary muscle cell;pericyte;mural cell,
ANO1,,,,no,1.94,2.101,22221,24553,0.115,ENSG00000131620,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2),Apical cell membrane,basal cell;interstitial cell of Cajal,
ANO3,,,,no,0.674,0.231,7714,2701,-1.543,ENSG00000134343,Anoctamin-3 (Transmembrane protein 16C),Cell membrane,renal interstitial pericyte;kidney interstitial cell,
ASIC1,,,,no,0.317,0.398,3633,4655,0.329,ENSG00000110881,"Acid-sensing ion channel 1 (ASIC1) (Amiloride-sensitive cation channel 2, neuronal) (Brain sodium channel 2) (BNaC2)",Cell membrane,,
ATP10D,,,,no,3.528,2.767,40402,32333,-0.35,ENSG00000145246,Phospholipid-transporting ATPase VD,Cell membrane,kidney interstitial fibroblast;kidney interstitial cell,
ATP13A2,,,,no,7.647,8.152,87584,95256,0.092,ENSG00000159363,Polyamine-transporting ATPase 13A2,Lysosome membrane,retinal ganglion cell,
ATP2A2,,,,no,14.018,12.195,160553,142491,-0.201,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,
ATP2B1,,,,no,4.903,4.146,56153,48450,-0.242,ENSG00000070961,Plasma membrane calcium-transporting ATPase 1,Cell membrane,,
ATP6V1B1,,,,no,0.42,0.459,4806,5363,0.129,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,
