gene,detection_pct_0041323,detection_pct_0041326,cell_type,cellchat_pathway,full_name,HALLMARK,KEGG,REACTOME
AAR2,3.037,2.659,,,Protein AAR2 homolog (AAR2 splicing factor homolog),,,
AARSD1,3.496,4.187,,,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),,,
ABAT,11.983,12.785,,,"4-aminobutyrate aminotransferase, mitochondrial",Estrogen Response Early;p53 Pathway,"Alanine, aspartate and glutamate metabolism;Butanoate metabolism;GABAergic synapse;Propanoate metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism","GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590;Neuronal System R-HSA-112316;Neurotransmitter Release Cycle R-HSA-112310;Transmission Across Chemical Synapses R-HSA-112315"
ABCA7,4.959,3.792,extravillous trophoblast,,Phospholipid-transporting ATPase ABCA7,,ABC transporters,ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Transport Of Small Molecules R-HSA-382551
ABCB4,0.121,0.148,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,Phosphatidylcholine translocator ABCB4,Pperoxisome,ABC transporters;Bile secretion,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Transport Of Small Molecules R-HSA-382551
ABCB6,1.743,1.89,,,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Glycolysis;heme Metabolism,ABC transporters,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551
ABCC1,6.524,7.135,,,Multidrug resistance-associated protein 1,Reactive Oxygen Species Pathway;UV Response Dn,ABC transporters;MicroRNAs in cancer;Sphingolipid signaling pathway;Vitamin digestion and absorption,"ABC-family Proteins Mediated Transport R-HSA-382556;Arachidonic Acid Metabolism R-HSA-2142753;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Cytoprotection By HMOX1 R-HSA-9707564;Drug ADME R-HSA-9748784;Fatty Acid Metabolism R-HSA-8978868;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Paracetamol ADME R-HSA-9753281;Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691;Transport Of RCbl Within Body R-HSA-9758890;Transport Of Small Molecules R-HSA-382551"
ABCC12,0.042,,,,ATP-binding cassette sub-family C member 12 (Multidrug resistance-associated protein 9),,ABC transporters,
ABCC2,0.46,0.506,hepatocyte;centrilobular region hepatocyte,,ATP-binding cassette sub-family C member 2,Xenobiotic Metabolism,ABC transporters;Bile secretion,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Aspirin ADME R-HSA-9749641;Atorvastatin ADME R-HSA-9754706;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Transport Of Small Molecules R-HSA-382551
ABCC6,3.087,2.943,hepatoblast,,ATP-binding cassette sub-family C member 6,,ABC transporters,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551
ABCD1,1.601,2.604,,,ATP-binding cassette sub-family D member 1,Bile Acid Metabolism;Pperoxisome,ABC transporters;Peroxisome,ABC Transporter Disorders R-HSA-5619084;ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247;Class I Peroxisomal Membrane Protein Import R-HSA-9603798;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Fatty Acid Metabolism R-HSA-8978868;Linoleic Acid (LA) Metabolism R-HSA-2046105;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Peroxisomal Lipid Metabolism R-HSA-390918;Protein Localization R-HSA-9609507;Transport Of Small Molecules R-HSA-382551;Alpha-Linolenic (Omega3) And Linoleic (Omega6) Acid Metabolism R-HSA-2046104
ABCD4,2.186,2.757,,,Lysosomal cobalamin transporter ABCD4,,ABC transporters;Peroxisome,"ABC Transporter Disorders R-HSA-5619084;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Defects In Cobalamin (B12) Metabolism R-HSA-3296469;Defects In Vitamin And Cofactor Metabolism R-HSA-3296482;Disease R-HSA-1643685;Diseases Of Metabolism R-HSA-5668914;Disorders Of Transmembrane Transporters R-HSA-5619115;Metabolism R-HSA-1430728;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Transport Of RCbl Within Body R-HSA-9758890;Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881"
ABCF3,4.089,4.747,,,ATP-binding cassette sub-family F member 3,,,
