gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
A2ML1,,,,no,0.029,,329,0,,ENSG00000166535,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),Secreted,stem cell;basal cell;epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell,
AAMP,,,,no,9.846,9.948,112762,116241,0.015,ENSG00000127837,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,
AAR2,,,,no,3.037,2.659,34781,31072,-0.192,ENSG00000131043,Protein AAR2 homolog (AAR2 splicing factor homolog),,,
AARSD1,,,,no,3.496,4.187,40035,48920,0.26,ENSG00000266967,Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1),Cytoplasm,,
ABAT,,,,no,11.983,12.785,137237,149384,0.093,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,
ABCA1,,,,no,4.024,9.526,46086,111313,1.243,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA
ABCA3,,,,no,4.203,3.748,48142,43789,-0.166,ENSG00000167972,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
ABCA4,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.064,0.021,732,250,-1.579,ENSG00000198691,Retinal-specific phospholipid-transporting ATPase ABCA4,Membrane,pigmented ciliary epithelial cell;non-pigmented ciliary epithelial cell;small intestine goblet cell;kidney loop of Henle thin ascending limb epithelial cell;retinal pigment epithelial cell;neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal cone cell;retinal rod cell,
ABCA7,,,,no,4.959,3.792,56795,44304,-0.387,ENSG00000064687,Phospholipid-transporting ATPase ABCA7,Cell membrane,extravillous trophoblast,
ABCB1,,,,no,0.585,1.304,6696,15240,1.158,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,
ABCB4,,,,no,0.121,0.148,1386,1724,0.286,ENSG00000005471,Phosphatidylcholine translocator ABCB4,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,
ABCB6,,,,no,1.743,1.89,19967,22079,0.116,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,
ABCC1,,,,no,6.524,7.135,74719,83365,0.129,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,
