gene,Ensembl_ID,Num_Probesets,Codewords,Annotation
ABCC11,ENSG00000121270,7,1,Breast cancer
ACTA2,ENSG00000107796,8,1,Smooth muscle cells
ACTG2,ENSG00000163017,8,1,Breast myoepithelial cells
ADAM9,ENSG00000168615,8,1,Breast glandular cells
ADGRE5,ENSG00000123146,8,1,Dendritic cells
ADH1B,ENSG00000196616,8,1,Adipocytes
ADIPOQ,ENSG00000181092,7,1,Adipocytes
AGR3,ENSG00000173467,8,1,Breast glandular cells
AIF1,ENSG00000204472,7,1,Macrophages
AKR1C1,ENSG00000187134,8,1,Smooth muscle cells
AKR1C3,ENSG00000196139,8,1,Endothelial cells
ALDH1A3,ENSG00000184254,8,1,Breast glandular cells
ANGPT2,ENSG00000091879,8,1,Endothelial cells
ANKRD28,ENSG00000206560,8,1,B cells
ANKRD29,ENSG00000154065,8,1,Adipocytes
ANKRD30A,ENSG00000148513,7,1,Epithelial cells
APOBEC3A,ENSG00000128383,8,1,B cells
APOBEC3B,ENSG00000179750,8,1,Breast cancer
APOC1,ENSG00000130208,2,1,Macrophages
AQP1,ENSG00000240583,8,1,Endothelial cells
AQP3,ENSG00000165272,8,1,Breast glandular cells
AR,ENSG00000169083,8,1,Breast cancer
AVPR1A,ENSG00000166148,8,1,Smooth muscle cells
BACE2,ENSG00000182240,8,1,Breast glandular cells
BANK1,ENSG00000153064,8,1,B cells
BASP1,ENSG00000176788,8,1,Macrophages
C15orf48,ENSG00000166920,6,1,Breast glandular cells
C1QA,ENSG00000173372,4,1,Macrophages
C1QC,ENSG00000159189,2,1,Macrophages
C2orf42,ENSG00000115998,8,1,B cells
C5orf46,ENSG00000178776,6,1,Breast glandular cells
C6orf132,ENSG00000188112,8,1,Breast myoepithelial cells
CAV1,ENSG00000105974,8,1,Breast cancer
CAVIN2,ENSG00000168497,8,1,Adipocytes
CCDC6,ENSG00000108091,8,1,Breast glandular cells
CCDC80,ENSG00000091986,8,1,Fibroblasts
CCL5,ENSG00000271503,5,1,T cells
CCL8,ENSG00000108700,6,1,Smooth muscle cells
CCND1,ENSG00000110092,8,1,Breast cancer
CCPG1,ENSG00000260916,8,1,B cells
CCR7,ENSG00000126353,8,1,T cells
CD14,ENSG00000170458,8,1,Monocytes
CD163,ENSG00000177575,8,1,Macrophages
CD19,ENSG00000177455,8,1,B cells
CD247,ENSG00000198821,8,1,NK cells
CD27,ENSG00000139193,5,1,B cells
CD274,ENSG00000120217,8,1,T cells
CD3E,ENSG00000198851,13,1,T cells
CD3G,ENSG00000160654,9,1,T cells
CD4,ENSG00000010610,16,1,T cells
CD68,ENSG00000129226,6,1,Macrophages
CD69,ENSG00000110848,8,1,T cells
CD79A,ENSG00000105369,3,1,B cells
CD79B,ENSG00000007312,5,1,B cells
CD80,ENSG00000121594,8,1,Macrophages
CD83,ENSG00000112149,8,1,Dendritic cells
CD86,ENSG00000114013,8,1,Macrophages
CD8A,ENSG00000153563,12,1,T cells
CD9,ENSG00000010278,5,1,Breast glandular cells
CD93,ENSG00000125810,8,1,Endothelial cells
CDC42EP1,ENSG00000128283,2,1,Breast glandular cells
CDH1,ENSG00000039068,8,1,Breast cancer
CEACAM6,ENSG00000086548,8,1,Breast cancer
CEACAM8,ENSG00000124469,7,1,Neutrophils
CENPF,ENSG00000117724,8,1,Breast cancer
CLEC14A,ENSG00000176435,8,1,Adipocytes
CLEC9A,ENSG00000197992,8,1,Dendritic cells
CLECL1,ENSG00000184293,7,1,B cells
CLIC6,ENSG00000159212,8,1,Breast glandular cells
CPA3,ENSG00000163751,8,1,Mast cells
CRISPLD2,ENSG00000103196,7,1,Smooth muscle cells
CTH,ENSG00000116761,8,1,Smooth muscle cells
CTLA4,ENSG00000163599,8,1,T cells
CTSG,ENSG00000100448,5,1,Mast cells
CTTN,ENSG00000085733,8,1,Breast glandular cells
CX3CR1,ENSG00000168329,8,1,Macrophages
CXCL12,ENSG00000107562,8,1,Breast cancer
CXCL16,ENSG00000161921,7,1,Macrophages
CXCL5,ENSG00000163735,8,1,Macrophages
CXCR4,ENSG00000121966,8,1,T cells
CYTIP,ENSG00000115165,8,1,T cells
DAPK3,ENSG00000167657,2,1,Breast glandular cells
DMKN,ENSG00000161249,4,1,Breast glandular cells
DNAAF1,ENSG00000154099,8,1,B cells
DNTTIP1,ENSG00000101457,7,1,Breast glandular cells
DPT,ENSG00000143196,8,1,Fibroblasts
DSC2,ENSG00000134755,8,1,Breast glandular cells
DSP,ENSG00000096696,8,1,Breast myoepithelial cells
DST,ENSG00000151914,8,1,Breast myoepithelial cells
DUSP2,ENSG00000158050,6,1,T cells
DUSP5,ENSG00000138166,7,1,B cells
EGFL7,ENSG00000172889,3,1,Adipocytes
EGFR,ENSG00000146648,8,1,Breast cancer
EIF4EBP1,ENSG00000187840,4,1,Breast glandular cells
ENAH,ENSG00000154380,8,1,Breast glandular cells
EPCAM,ENSG00000119888,8,1,Epithelial cells
ERBB2,ENSG00000141736,8,1,Breast cancer
ERN1,ENSG00000178607,8,1,B cells
ESM1,ENSG00000164283,8,1,Endothelial cells
ESR1,ENSG00000091831,8,1,Breast cancer
FAM107B,ENSG00000065809,8,1,B cells
FAM49A,ENSG00000197872,7,1,Macrophages
FASN,ENSG00000169710,8,1,Breast glandular cells
FBLN1,ENSG00000077942,8,1,Fibroblasts
FCER1A,ENSG00000179639,8,1,Dendritic cells
FCER1G,ENSG00000158869,7,1,NK cells
FCGR3A,ENSG00000203747,8,1,Monocytes
FGL2,ENSG00000127951,8,1,Macrophages
FLNB,ENSG00000136068,8,1,Breast glandular cells
FOXA1,ENSG00000129514,8,1,Breast cancer
FOXC2,ENSG00000176692,6,1,Smooth muscle cells
FOXP3,ENSG00000049768,7,1,T cells
FSTL3,ENSG00000070404,8,1,Smooth muscle cells
GATA3,ENSG00000107485,8,1,Breast cancer
GJB2,ENSG00000165474,8,1,Macrophages
GLIPR1,ENSG00000139278,8,1,Breast myoepithelial cells
GNLY,ENSG00000115523,5,1,NK cells
GPR183,ENSG00000169508,7,1,T cells
GZMA,ENSG00000145649,8,1,T cells
GZMK,ENSG00000113088,8,1,T cells
HAVCR2,ENSG00000135077,8,1,T cells
HMGA1,ENSG00000137309,7,1,Breast glandular cells
HOOK2,ENSG00000095066,7,1,Breast glandular cells
HOXD8,ENSG00000175879,8,1,Adipocytes
HOXD9,ENSG00000128709,7,1,Adipocytes
HPX,ENSG00000110169,8,1,Breast glandular cells
IGF1,ENSG00000017427,8,1,Fibroblasts
IGSF6,ENSG00000140749,8,1,Macrophages
IL2RA,ENSG00000134460,8,1,T cells
IL2RG,ENSG00000147168,8,1,Dendritic cells
IL3RA,ENSG00000185291,8,1,Dendritic cells
IL7R,ENSG00000168685,8,1,T cells
ITGAM,ENSG00000169896,7,1,Myeloid cells
ITGAX,ENSG00000140678,8,1,Dendritic cells
ITM2C,ENSG00000135916,6,1,B cells
JUP,ENSG00000173801,8,1,Breast glandular cells
KARS,ENSG00000065427,8,1,Breast myoepithelial cells
KDR,ENSG00000128052,8,1,Adipocytes
KIT,ENSG00000157404,8,1,Breast cancer
KLF5,ENSG00000102554,8,1,Breast myoepithelial cells
KLRB1,ENSG00000111796,8,1,T cells
KLRC1,ENSG00000134545,7,1,T cells
KLRD1,ENSG00000134539,8,1,NK cells
KLRF1,ENSG00000150045,8,1,NK cells
KRT14,ENSG00000186847,6,1,Epithelial cells
KRT23,ENSG00000108244,8,1,Breast glandular cells
KRT5,ENSG00000186081,8,1,Breast myoepithelial cells
KRT6B,ENSG00000185479,8,1,Breast myoepithelial cells
KRT7,ENSG00000135480,5,1,Breast cancer
KRT8,ENSG00000170421,8,1,Epithelial cells
LAG3,ENSG00000089692,5,1,T cells
LARS,ENSG00000133706,8,1,Smooth muscle cells
LDHB,ENSG00000111716,8,1,Breast cancer
LGALSL,ENSG00000119862,8,1,B cells
LILRA4,ENSG00000239961,7,1,Dendritic cells
LPL,ENSG00000175445,8,1,Adipocytes
LPXN,ENSG00000110031,8,1,Macrophages
LRRC15,ENSG00000172061,8,1,Breast cancer
LTB,ENSG00000227507,2,1,T cells
LUM,ENSG00000139329,4,1,Fibroblasts
LY86,ENSG00000112799,8,1,Macrophages
LYPD3,ENSG00000124466,5,1,Breast glandular cells
LYZ,ENSG00000090382,8,1,Macrophages
MAP3K8,ENSG00000107968,8,1,Macrophages
MDM2,ENSG00000135679,8,1,Breast cancer
MKI67,ENSG00000148773,7,1,Breast cancer
MLPH,ENSG00000115648,8,1,Breast glandular cells
MMP1,ENSG00000196611,8,1,Fibroblasts
MMP12,ENSG00000262406,8,1,Fibroblasts
MMP2,ENSG00000087245,8,1,Fibroblasts
MMRN2,ENSG00000173269,8,1,Adipocytes
MNDA,ENSG00000163563,8,1,Macrophages
MRC1,ENSG00000260314,8,1,Macrophages
MS4A1,ENSG00000156738,8,1,B cells
MUC6,ENSG00000184956,8,1,Epithelial cells
MYBPC1,ENSG00000196091,8,1,Epithelial cells
MYH11,ENSG00000133392,8,1,Smooth muscle cells
MYLK,ENSG00000065534,8,1,Breast myoepithelial cells
MYO5B,ENSG00000167306,8,1,Breast glandular cells
MZB1,ENSG00000170476,6,1,B cells
NARS,ENSG00000134440,8,1,Breast myoepithelial cells
NCAM1,ENSG00000149294,8,1,NK cells
NDUFA4L2,ENSG00000185633,3,1,Adipocytes
NKG7,ENSG00000105374,2,1,NK cells
NOSTRIN,ENSG00000163072,8,1,Adipocytes
OCIAD2,ENSG00000145247,8,1,Breast glandular cells
OPRPN,ENSG00000171199,8,1,Breast glandular cells
OXTR,ENSG00000180914,8,1,Breast myoepithelial cells
PCLAF,ENSG00000166803,8,1,Breast cancer
PDCD1,ENSG00000188389,2,1,T cells
PDCD1LG2,ENSG00000197646,8,1,Adipocytes
PDE4A,ENSG00000065989,7,1,Adipocytes
PDGFRA,ENSG00000134853,8,1,Fibroblasts
PDGFRB,ENSG00000113721,8,1,Smooth muscle cells
PDK4,ENSG00000004799,8,1,Smooth muscle cells
PECAM1,ENSG00000261371,8,1,Endothelial cells
PELI1,ENSG00000197329,8,1,B cells
PGR,ENSG00000082175,8,1,Breast cancer
PIGR,ENSG00000162896,8,1,Breast glandular cells
PIM1,ENSG00000137193,8,1,Fibroblasts
PLD4,ENSG00000166428,8,1,Macrophages
POSTN,ENSG00000133110,4,1,Fibroblasts
PPARG,ENSG00000132170,8,1,Macrophages
PRDM1,ENSG00000057657,8,1,T cells
PRF1,ENSG00000180644,7,1,NK cells
PTGDS,ENSG00000107317,5,1,Breast cancer
PTN,ENSG00000105894,8,1,Breast myoepithelial cells
PTPRC,ENSG00000081237,8,1,Immune cells
PTRHD1,ENSG00000184924,8,1,Breast glandular cells
QARS,ENSG00000172053,8,1,Breast glandular cells
RAB30,ENSG00000137502,8,1,B cells
RAMP2,ENSG00000131477,4,1,Adipocytes
