gene,Ensembl ID,Num_Probesets,Codewords,Annotation
ABCC8,ENSG00000006071,8,1,enteroendocrine cell of colon
ADH1C,ENSG00000248144,8,1,progenitor cell; absorptive cell
ADRA2A,ENSG00000150594,8,1,paneth cell of colon; BEST4+ epithelial cell
AFAP1L2,ENSG00000169129,8,1,tuft cell
AGTR1,ENSG00000144891,8,1,enteroendocrine cell of colon
AKR1C3,ENSG00000196139,8,1,progenitor cell; absorptive cell
AKR7A3,ENSG00000162482,5,1,progenitor cell
ALDH1B1,ENSG00000137124,8,1,stem cell
ANK2,ENSG00000145362,8,1,enteroendocrine cell of colon
ANO7,ENSG00000146205,8,1,colon goblet cell
ANXA1,ENSG00000135046,8,1,T-helper 1 cell; tuft cell
ANXA13,ENSG00000104537,8,1,colon goblet cell
APOE,ENSG00000130203,2,1,colon macrophage
AQP1,ENSG00000240583,8,1,stem cell
AQP8,ENSG00000103375,7,1,enterocyte of colon
AREG,ENSG00000109321,8,1,paneth cell of colon; innate lymphoid cell
ARHGAP24,ENSG00000138639,8,1,memory B cell
ARX,ENSG00000004848,8,1,enteroendocrine cell of colon
ASCL2,ENSG00000183734,4,1,stem cell
ATOH1,ENSG00000172238,8,1,colon goblet cell
AVIL,ENSG00000135407,8,1,tuft cell
AZGP1,ENSG00000160862,8,1,colon cancer
B3GNT6,ENSG00000198488,4,1,colon goblet cell
BANK1,ENSG00000153064,8,1,memory B cell
BATF,ENSG00000156127,2,1,T follicular helper cell
BCAS1,ENSG00000064787,8,1,colon goblet cell
BEST2,ENSG00000039987,8,1,colon goblet cell
BEST4,ENSG00000142959,8,1,paneth cell of colon; BEST4+ epithelial cell
BMX,ENSG00000102010,8,1,tuft cell
BRCA2,ENSG00000139618,8,1,secretory progenitor cell
C1QA,ENSG00000173372,4,1,colon macrophage
C1QB,ENSG00000173369,2,1,dendritic cell
C1QBP,ENSG00000108561,8,1,progenitor cell
C1QC,ENSG00000159189,1,1,colon macrophage
C2orf88,ENSG00000187699,7,1,enterocyte of colon
CA1,ENSG00000133742,8,1,enterocyte of colon; absorptive cell
CA2,ENSG00000104267,8,1,enterocyte of colon; absorptive cell
CA4,ENSG00000167434,5,1,paneth cell of colon; BEST4+ epithelial cell
CA7,ENSG00000168748,8,1,paneth cell of colon; BEST4+ epithelial cell
CADPS,ENSG00000163618,8,1,enteroendocrine cell of colon; mast cell
CALB2,ENSG00000172137,8,1,mast cell
CCL20,ENSG00000115009,6,1,T-helper 17 cell
CCL4,ENSG00000275302,6,1,"CD8-positive, alpha-beta T cell"
CCL5,ENSG00000271503,5,1,gamma-delta T cell
CCR7,ENSG00000126353,8,1,memory T cell
CD14,ENSG00000170458,8,1,macrophage
CD163,ENSG00000177575,8,1,macrophage
CD177,ENSG00000204936,8,1,enterocyte of colon
CD2,ENSG00000116824,8,1,"CD4-positive, alpha-beta T cell"
CD24,ENSG00000272398,3,1,memory B cell
CD3D,ENSG00000167286,5,1,"CD4-positive, alpha-beta T cell"
CD3E,ENSG00000198851,8,1,memory T cell
CD3G,ENSG00000160654,8,1,"CD4-positive, alpha-beta T cell"
CD40LG,ENSG00000102245,6,1,T-helper 1 cell
CD5,ENSG00000110448,8,1,T-helper 1 cell
CD6,ENSG00000013725,8,1,T follicular helper cell
CD7,ENSG00000173762,1,1,gamma-delta T cell
CD79A,ENSG00000105369,4,1,B cell
CD79B,ENSG00000007312,5,1,follicular B cell
CD83,ENSG00000112149,8,1,memory B cell
CD8A,ENSG00000153563,8,1,"CD8-positive, alpha-beta T cell"
CD8B,ENSG00000172116,8,1,"CD8-positive, alpha-beta T cell"
CDCA7,ENSG00000144354,8,1,stem cell
CDHR5,ENSG00000099834,7,1,enterocyte of colon
CDK15,ENSG00000138395,8,1,mast cell
CDK6,ENSG00000105810,8,1,stem cell
CDKN2B,ENSG00000147883,8,1,enterocyte of colon
CEACAM1,ENSG00000079385,8,1,enterocyte of colon
CEACAM5,ENSG00000105388,4,1,BEST4+ epithelial cell
CEACAM6,ENSG00000086548,8,1,paneth cell of colon; BEST4+ epithelial cell
CEACAM7,ENSG00000007306,4,1,enterocyte of colon; BEST4+ epithelial cell
CEP126,ENSG00000110318,8,1,enteroendocrine cell of colon
CES1,ENSG00000198848,8,1,enteroendocrine cell of colon
CES2,ENSG00000172831,8,1,progenitor cell; absorptive cell
CFTR,ENSG00000001626,8,1,progenitor cell; absorptive cell
CHGA,ENSG00000100604,5,1,enteroendocrine cell of colon
CHGB,ENSG00000089199,8,1,enteroendocrine cell of colon
CHI3L2,ENSG00000064886,8,1,follicular B cell
CHP2,ENSG00000166869,7,1,absorptive cell
CKAP4,ENSG00000136026,8,1,secretory progenitor cell
CLCA1,ENSG00000016490,7,1,colon goblet cell
CLCA4,ENSG00000016602,8,1,enterocyte of colon
CLEC9A,ENSG00000197992,8,1,dendritic cell
CLU,ENSG00000120885,8,1,mast cell
CMA1,ENSG00000092009,6,1,mast cell
CMBL,ENSG00000164237,8,1,progenitor cell; absorptive cell
COL17A1,ENSG00000065618,7,1,enterocyte of colon; absorptive cell
COL19A1,ENSG00000082293,8,1,follicular B cell
CPA3,ENSG00000163751,8,1,mast cell
CPE,ENSG00000109472,8,1,enteroendocrine cell of colon
CREB3L1,ENSG00000157613,8,1,colon goblet cell
CRYBA2,ENSG00000163499,3,1,enteroendocrine cell of colon
CST7,ENSG00000077984,6,1,"CD8-positive, alpha-beta T cell"
CTLA4,ENSG00000163599,8,1,regulatory T cell
CTSB,ENSG00000164733,6,1,colon macrophage
CTSE,ENSG00000196188,8,1,paneth cell of colon
CTSG,ENSG00000100448,6,1,mast cell
CXCL3,ENSG00000163734,8,1,progenitor cell
CXCR4,ENSG00000121966,8,1,T-helper 1 cell
CXCR5,ENSG00000160683,8,1,T follicular helper cell
CYBB,ENSG00000165168,8,1,macrophage
DEPP1,ENSG00000165507,6,1,enteroendocrine cell of colon
DERL3,ENSG00000099958,8,1,IgA plasma cell
DMBT1,ENSG00000187908,8,1,paneth cell of colon; BEST4+ epithelial cell
DNAJC12,ENSG00000108176,8,1,colon goblet cell
DNASE1L3,ENSG00000163687,8,1,conventional dendritic cell
DPYSL3,ENSG00000113657,8,1,colon cancer
DUOX2,ENSG00000140279,7,1,enterocyte of colon
EBPL,ENSG00000123179,4,1,progenitor cell
EGFR,ENSG00000146648,8,1,colon cancer
EPHB3,ENSG00000182580,8,1,stem cell
ETS1,ENSG00000134954,8,1,T-helper 1 cell
ETV1,ENSG00000006468,8,1,enteroendocrine cell of colon
FABP2,ENSG00000145384,8,1,colon goblet cell
FCER2,ENSG00000104921,8,1,follicular B cell
FCN1,ENSG00000085265,8,1,monocyte
FCRL1,ENSG00000163534,8,1,follicular B cell
FCRLA,ENSG00000132185,7,1,memory B cell
FERMT1,ENSG00000101311,8,1,stem cell
FEV,ENSG00000163497,3,1,enteroendocrine cell of colon
FFAR4,ENSG00000186188,8,1,colon goblet cell
FKBP11,ENSG00000134285,5,1,IgA plasma cell
FOXA3,ENSG00000170608,8,1,colon goblet cell
FOXP3,ENSG00000049768,7,1,regulatory T cell
FRZB,ENSG00000162998,8,1,colon goblet cell
FYB1,ENSG00000082074,8,1,tuft cell
FZD7,ENSG00000155760,8,1,colon cancer
GALNT5,ENSG00000136542,8,1,colon goblet cell
GALNT8,ENSG00000130035,8,1,colon goblet cell
GATA2,ENSG00000179348,8,1,mast cell
GCG,ENSG00000115263,8,1,enteroendocrine cell of colon
GIMAP7,ENSG00000179144,8,1,T follicular helper cell
GNA11,ENSG00000088256,8,1,enterocyte of colon
GNLY,ENSG00000115523,5,1,natural killer cell
