gene,Ensemble ID,Num_Probesets,Codewords,Annotation
A2M,ENSG00000175899,2,1,
ACE2,ENSG00000130234,8,1,Hormone Processing
ACTA2,ENSG00000107796,8,1,Stromal Cell
ACTB,ENSG00000075624,2,1,Cytoskeleton
ADAM28,ENSG00000042980,4,1,B cell
AIF1,ENSG00000204472,2,1,Macrophage
AIRE,ENSG00000160224,4,1,T Cell;Thymus
AKT1,ENSG00000142208,8,1,Cancer Signalling
ANPEP,ENSG00000166825,8,1,Tumor
ANXA1,ENSG00000135046,3,1,Receptor Ligand
APOE,ENSG00000130203,2,1,
AREG,ENSG00000109321,4,1,Mast Cell
ARG1,ENSG00000118520,8,1,Myeloid Derived Suppressor Cell
ARID1A,ENSG00000117713,8,1,Tumor
ARPC3,ENSG00000111229,2,1,
ARPC5,ENSG00000162704,3,1,
ATM,ENSG00000149311,8,1,DNA Damage
BANK1,ENSG00000153064,8,1,B Cell
BATF3,ENSG00000123685,4,1,T Cell
BCL2,ENSG00000171791,8,1,Apoptosis
BRAF,ENSG00000157764,8,1,Proto-Oncogene
C1QB,ENSG00000173369,2,1,Monocyte;Complement
C1QBP,ENSG00000108561,8,1,Tumorigenesis;Complement
C1R,ENSG00000159403,8,1,Tumor;Complement
C1S,ENSG00000182326,8,1,Tumor;Complement
CCL11,ENSG00000172156,7,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL13,ENSG00000181374,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL14,ENSG00000276409,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL15,ENSG00000275718,2,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL16,ENSG00000275152,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL19,ENSG00000172724,3,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL2,ENSG00000108691,2,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL20,ENSG00000115009,6,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL21,ENSG00000137077,4,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL26,ENSG00000006606,6,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL28,ENSG00000151882,8,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL3,ENSG00000277632,2,1,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL3L1,ENSG00000276085,2,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL4,ENSG00000275302,2,1,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL5,ENSG00000271503,2,1,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL7,ENSG00000108688,6,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCL8,ENSG00000108700,6,1,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction
CCND1,ENSG00000110092,8,1,Epithelial Cell
CCR1,ENSG00000163823,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR2,ENSG00000121807,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR3,ENSG00000183625,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR4,ENSG00000183813,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR5,ENSG00000160791,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR6,ENSG00000112486,8,1,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CCR7,ENSG00000126353,6,1,T Cell;Naive;C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction
CD14,ENSG00000170458,2,1,Monocyte;Macrophage;M1;CD Molecule
CD163,ENSG00000177575,8,1,Macrophage;M2;CD Molecule
CD19,ENSG00000177455,8,1,B Cell;Proliferative;CD Molecule
CD1A,ENSG00000158477,8,1,CD Molecule;Antigen Presentation;Dendritic Cell
CD1C,ENSG00000158481,10,1,CD Molecule;Antigen Presentation;Dendritic Cell
CD2,ENSG00000116824,8,1,T Cell;CD Molecule
CD247,ENSG00000198821,6,1,Natural Killer Cell;CD Molecule
CD27,ENSG00000139193,5,1,B Cell;CD Molecule
CD274,ENSG00000120217,8,1,CD Molecule;Tumor;Checkpoint Inhibitor Target;Don't Eat Me
CD276,ENSG00000103855,8,1,CD Molecule;Tumor;Checkpoint Inhibitor Target
CD28,ENSG00000178562,8,1,T Cell;CD Molecule
CD37,ENSG00000104894,2,1,B Cell;CD Molecule
CD38,ENSG00000004468,8,1,Plasma Cell;CD Molecule
CD3D,ENSG00000167286,5,1,T Cell;CD8+;Effector;CD Molecule
CD3E,ENSG00000198851,8,1,CD Molecule;T Cell
CD4,ENSG00000010610,6,1,T Cell;CD4+;CD Molecule
CD40,ENSG00000101017,7,1,Dendritic Cell;Myeloid;CD Molecule
CD40LG,ENSG00000102245,8,1,CD Molecule;Immune Checkpoint
CD44,ENSG00000026508,3,1,Macrophage;M1;CD Molecule
CD47,ENSG00000196776,8,1,CD Molecule;Tumor;Don't Eat Me
CD68,ENSG00000129226,2,1,Macrophage;CD Molecule
CD74,ENSG00000019582,2,1,CD Molecule;Macrophage
CD79A,ENSG00000105369,3,1,B Cell;Proliferative;Plasma Cell;CD Molecule
CD79B,ENSG00000007312,4,1,B Cell;Proliferative;CD Molecule
CD80,ENSG00000121594,8,1,Dendritic Cell;Myeloid;CD Molecule
CD83,ENSG00000112149,2,1,B Cell;CD Molecule
CD86,ENSG00000114013,7,1,Macrophage;M1;CD Molecule
CD8A,ENSG00000153563,8,1,T Cell;CD8+;Lineage Marker;CD Molecule
CD8B,ENSG00000172116,8,1,T Cell;CD Molecule
CDK1,ENSG00000170312,8,1,Tumorigenesis
CDK12,ENSG00000167258,8,1,Tumorigenesis
CDK2,ENSG00000123374,8,1,Tumorigenesis
CDK4,ENSG00000135446,8,1,Tumorigenesis
CDK6,ENSG00000105810,8,1,Tumorigenesis
