gene,Ensembl_ID,Num_Probesets,Codewords,Annotation
ACE,ENSG00000159640,8,1,Capillary cell
ACE2,ENSG00000130234,8,1,COVID-19
ACKR1,ENSG00000213088,8,1,Vein cell
ADAM17,ENSG00000151694,8,1,Classical monocyte
ADAM28,ENSG00000042980,8,1,B cell
ADAMTS1,ENSG00000154734,8,1,Fibromyocyte
ADGRL4,ENSG00000162618,8,1,Endothelial cell
AGER,ENSG00000204305,4,1,Alveolar type 1 cell
AGR3,ENSG00000173467,8,1,Ciliated cell
AIF1,ENSG00000204472,7,1,Macrophage
ANPEP,ENSG00000166825,8,1,Classical monocyte
APOD,ENSG00000189058,7,1,Fibroblast
APOLD1,ENSG00000178878,8,1,Endothelial cell
AQP9,ENSG00000103569,8,1,Classical monocyte
AREG,ENSG00000109321,8,1,Mast cell
ARL14,ENSG00000179674,8,1,Basal cell
ASCL1,ENSG00000139352,8,1,Neuroendocrine cell
ASCL2,ENSG00000183734,4,1,Tuft cell
ASCL3,ENSG00000176009,7,1,Ionocyte
ATP1B1,ENSG00000143153,4,1,Ionocyte
BAIAP2L1,ENSG00000006453,8,1,Ciliated cell
BANK1,ENSG00000153064,8,1,B cell
BCAS1,ENSG00000064787,8,1,Ciliated cell
BMX,ENSG00000102010,8,1,Artery cell
CA4,ENSG00000167434,5,1,Capillary cell
CCDC78,ENSG00000162004,3,1,Ciliated cell
CCNA1,ENSG00000133101,8,1,Proliferation
CCNB2,ENSG00000157456,8,1,Proliferation
CCR7,ENSG00000126353,8,1,T cell
CD14,ENSG00000170458,8,1,Monocyte
CD163,ENSG00000177575,4,1,Classical monocyte
CD19,ENSG00000177455,8,1,B cell
CD1A,ENSG00000158477,8,1,Dendritic cell
CD1C,ENSG00000158481,8,1,Dendritic cell
CD2,ENSG00000116824,8,1,T cell
CD24,ENSG00000272398,3,1,Ionocyte
CD247,ENSG00000198821,8,1,NK cell
CD27,ENSG00000139193,5,1,B cell
CD274,ENSG00000120217,8,1,Immune response
CD28,ENSG00000178562,8,1,T cell
CD300E,ENSG00000186407,8,1,Classical monocyte
CD34,ENSG00000174059,8,1,Endothelial cell
CD38,ENSG00000004468,8,1,Plasma cell
CD3D,ENSG00000167286,5,1,T cell
CD3E,ENSG00000198851,8,1,T cell
CD4,ENSG00000010610,8,1,T cell
CD40,ENSG00000101017,7,1,Myeloid dendritic cell
CD40LG,ENSG00000102245,8,1,Immune checkpoint
CD68,ENSG00000129226,4,1,Macrophage
CD70,ENSG00000125726,2,1,B cell
CD79A,ENSG00000105369,4,1,B cell
CD80,ENSG00000121594,8,1,Myeloid dendritic cell
CD86,ENSG00000114013,8,1,Macrophage
CD8A,ENSG00000153563,8,1,T cell
CD8B,ENSG00000172116,8,1,T cell
CDH1,ENSG00000039068,8,1,Alveolar type 1 cell
CDK1,ENSG00000170312,8,1,Proliferation
CENPF,ENSG00000117724,8,1,Proliferation
CFB,ENSG00000243649,8,1,Mesothelial cell
CFTR,ENSG00000001626,8,1,Ionocyte
CHIT1,ENSG00000133063,4,1,Dendritic cell
CLDN5,ENSG00000184113,6,1,Capillary cell
CLEC10A,ENSG00000132514,8,1,Myeloid dendritic cell
CLEC12A,ENSG00000172322,8,1,Nonclassical monocyte
CLEC4E,ENSG00000166523,8,1,Classical monocyte
CNN1,ENSG00000130176,6,1,Smooth muscle cell
COL5A2,ENSG00000204262,8,1,Myofibroblast
