gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
ABCC11,ENSG00000121270,4,1,Breast,Glandular cells
ACE2,ENSG00000130234,8,1,General;Kidney,Smooth muscle cells;Proximal tubular cells
ACKR1,ENSG00000213088,8,1,General,Endothelial cells
ACTA2,ENSG00000107796,4,1,General;General;Liver,Fibroblasts;Smooth muscle cells;Stellate cells
ACTG2,ENSG00000163017,8,1,Breast;General,Myoepithelial cells;Smooth muscle cells
ADAM28,ENSG00000042980,8,1,General;General,B cells;Macrophages
ADAMTS1,ENSG00000154734,8,1,Breast;General;General;General;Liver;Pancreas,Adipocytes;Endothelial cells;Fibroblasts;Smooth muscle cells;Stellate cells;Ductal cells
ADGRE1,ENSG00000174837,8,1,Liver,Kupffer cells
ADGRL4,ENSG00000162618,8,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
ADH1C,ENSG00000248144,4,1,Colon;Liver;Pancreas;Pancreas,Undifferentiated cells;Hepatocytes;Ductal cells;Exocrine glandular cells
ADH4,ENSG00000198099,4,1,Liver,Hepatocytes
ADIPOQ,ENSG00000181092,4,1,Breast,Adipocytes
AGER,ENSG00000204305,4,1,Lung,Alveolar Type I
AGR3,ENSG00000173467,8,1,Breast;Colon;Colon;Colon;Colon;Lung,Glandular cells;Distal enterocytes;Goblet cells;Paneth cells;Undifferentiated cells;Ciliated cells
AHSP,ENSG00000169877,6,1,Liver,Erythroid cells
AIF1,ENSG00000204472,7,1,General;General;General;Liver;Skin,B cells;Macrophages;T cells;Kupffer cells;Langerhans cells
ALAS2,ENSG00000158578,8,1,Liver,Erythroid cells
ALDH1A3,ENSG00000184254,8,1,Breast;Kidney;Pancreas,Glandular cells;Collecting duct cells;Ductal cells
AMY2A,ENSG00000243480,8,1,Pancreas,Exocrine glandular cells
ANGPT2,ENSG00000091879,8,1,General;General,Endothelial cells;Smooth muscle cells
ANPEP,ENSG00000166825,4,1,Breast;Colon;General;General;Kidney;Liver;Liver;Pancreas;Pancreas,Glandular cells;Distal enterocytes;Fibroblasts;Macrophages;Proximal tubular cells;Cholangiocytes;Hepatocytes;Exocrine glandular cells;Endocrine cells
APCDD1,ENSG00000154856,8,1,General,Fibroblasts
APOA5,ENSG00000110243,8,1,Liver,Hepatocytes
APOBEC3A,ENSG00000128383,8,1,General,Macrophages
APOLD1,ENSG00000178878,8,1,Breast;General;General;General,Adipocytes;Endothelial cells;Smooth muscle cells;T cells
AQP2,ENSG00000167580,3,1,Kidney,Collecting duct cells
AQP3,ENSG00000165272,2,1,Breast;Colon;General;General;General;Kidney;Liver;Lung;Lung;Skin;Skin,Glandular cells;Goblet cells;B cells;Endothelial cells;T cells;Collecting duct cells;Cholangiocytes;Alveolar Type II;Club cells;Basal keratinocytes;Suprabasal keratinocytes
AQP8,ENSG00000103375,7,1,Colon,Distal enterocytes
AQP9,ENSG00000103569,8,1,General;Liver,Macrophages;Hepatocytes
AR,ENSG00000169083,8,1,Breast;Liver,Glandular cells;Hepatocytes
ARFGEF3,ENSG00000112379,8,1,Lung;Lung,Alveolar Type II;Club cells
ASCL1,ENSG00000139352,4,1,Colon,Endocrine cells
ASCL3,ENSG00000176009,7,1,Heart,Cardiomyocytes
ASPN,ENSG00000106819,8,1,General;General,Fibroblasts;Smooth muscle cells
BAMBI,ENSG00000095739,8,1,Breast,Glandular cells
BANK1,ENSG00000153064,8,1,General;General,B cells;T cells
BASP1,ENSG00000176788,8,1,General;General;General;General;General;Liver;Lung;Skin,B cells;Fibroblasts;Macrophages;Monocytes;Smooth muscle cells;Kupffer cells;Ciliated cells;Langerhans cells
BBOX1,ENSG00000129151,4,1,Kidney,Proximal tubular cells
BCL2L11,ENSG00000153094,8,1,General;General;General,B cells;Pro-apoptosis markers;T cells
BMX,ENSG00000102010,8,1,General;Liver,Endothelial cells;Stellate cells
BTNL9,ENSG00000165810,7,1,Breast;General;Liver,Adipocytes;Endothelial cells;Stellate cells
