gene,Ensembl ID,Num_Probesets,Codewords,Annotation
ACER1,ENSG00000167769,8,1,CD4_RGCC
ACTA2,ENSG00000107796,4,1,Pericytes_1
ADAM12,ENSG00000148848,8,1,Mesenchymal Fibroblasts
AHNAK2,ENSG00000185567,8,1,Keratinocytes
AIF1,ENSG00000204472,7,1,Macrophages and DC_1
AKR1C1,ENSG00000187134,8,1,TSK
ALOX5AP,ENSG00000132965,8,1,CD8_naive
APCDD1,ENSG00000154856,8,1,Secretory-papillary Fibroblasts
APOD,ENSG00000189058,4,1,Pro-inflammatory Fibroblasts
AQP1,ENSG00000240583,8,1,Endothelial cells
AQP3,ENSG00000165272,8,1,EpSC and Other Progenitors_2
AREG,ENSG00000109321,8,1,EpSC and Other Progenitors_1
ARHGDIB,ENSG00000111348,8,1,T Cells
ASPN,ENSG00000106819,8,1,Mesenchymal Fibroblasts; TSK_basal
ATF3,ENSG00000162772,8,1,Melanoma
AXL,ENSG00000167601,8,1,DC_CD1C
BASP1,ENSG00000176788,8,1,Macrophages and DC_2
BCAN,ENSG00000132692,8,1,Melanocytes
BHLHE41,ENSG00000123095,8,1,CD4_RGCC
BIRC3,ENSG00000023445,8,1,DC_CD1C_migrating
BIRC5,ENSG00000089685,8,1,TSK_cycling
C11orf96,ENSG00000187479,2,1,Pericytes_1
C15orf48,ENSG00000166920,6,1,Macrophages and DC_1; Macrophages; DC_Langerhans cells_migrating
C1QA,ENSG00000173372,4,1,Macrophages
C1orf54,ENSG00000118292,8,1,DC_CLEC9A; Macrophages and DC_2
C5AR1,ENSG00000197405,8,1,Macrophages
CALCRL,ENSG00000064989,8,1,DC_Langerhans cells_migrating
CALD1,ENSG00000122786,6,1,Myofibroblasts; Pericytes_2
CAPNS2,ENSG00000256812,8,1,Pilosebaceous cells
CBFA2T3,ENSG00000129993,8,1,DC_AXL_SIGLEC6
CCL19,ENSG00000172724,3,1,DC_CLEC9A_migrating; Pro-inflammatory Fibroblasts
CCL22,ENSG00000102962,8,1,DC_Langerhans cells_migrating; DC
CCND1,ENSG00000110092,8,1,Melanoma
CCR7,ENSG00000126353,8,1,DC_CD1C_migrating; DC
CD1A,ENSG00000158477,8,1,DC_Langerhans cells; Macrophages and DC_3
CD1B,ENSG00000158485,8,1,DC_Langerhans cells_migrating
CD3D,ENSG00000167286,5,1,CD8_exhausted; CD4_exhausted; T Cells
CD3E,ENSG00000198851,8,1,CD4_naive; T Cells
CD3G,ENSG00000160654,8,1,T Cells
CD40LG,ENSG00000102245,8,1,CD4_RGCC
CD52,ENSG00000169442,4,1,CD4_naive; T Cells
CD68,ENSG00000129226,6,1,Macrophages and DC_1
CD69,ENSG00000110848,8,1,CD8_naive; CD8_activated; T Cells
CD79A,ENSG00000105369,4,1,B cells
CD83,ENSG00000112149,8,1,Macrophages and DC_2
CD8A,ENSG00000153563,8,1,CD8_exhausted; CD8_EM
CD93,ENSG00000125810,8,1,Myeloid-derived suppressor cell
CDC20,ENSG00000117399,6,1,TSK_cycling
CDH5,ENSG00000179776,8,1,Endothelial cells; Vascular Endothelial Cells
CDK1,ENSG00000170312,8,1,EpSC and Other Progenitors_2
CENPF,ENSG00000117724,8,1,Cycling_2
CES1,ENSG00000198848,8,1,CD8_EMRA
CLDN1,ENSG00000163347,8,1,DC_Langerhans cells; Langerhans Cells
CLDN4,ENSG00000189143,8,1,Eccrine cells
CLDN5,ENSG00000184113,6,1,Endothelial cells; Lymphatic Endothelial Cells
CLEC10A,ENSG00000132514,8,1,DC_CD1C
CLEC9A,ENSG00000197992,8,1,DC_CLEC9A; Macrophages and DC_2
COCH,ENSG00000100473,5,1,Mesenchymal Fibroblasts
COL17A1,ENSG00000065618,8,1,TSK_basal
COL5A2,ENSG00000204262,8,1,Mesenchymal Fibroblasts
COL6A1,ENSG00000142156,8,1,Fibroblasts; Secretory-papillary Fibroblasts
COL6A2,ENSG00000142173,3,1,Fibroblasts; Secretory-papillary Fibroblasts
COL6A3,ENSG00000163359,8,1,Fibroblasts; Mesenchymal Fibroblasts
COTL1,ENSG00000103187,8,1,Macrophages and DC_3
CPE,ENSG00000109472,8,1,Pericytes_2; T regulatory cells
CPVL,ENSG00000106066,8,1,DC_CLEC9A; Macrophages and DC_2
CRABP2,ENSG00000143320,7,1,Pilosebaceous cells
CRYAB,ENSG00000109846,8,1,Melanocytes
CTSW,ENSG00000172543,6,1,NK cells
CTSZ,ENSG00000101160,8,1,Macrophages and DC_2
CXADR,ENSG00000154639,8,1,TSK_basal
CXCL12,ENSG00000107562,8,1,Pro-inflammatory Fibroblasts
CXCR4,ENSG00000121966,8,1,CD8_EM; CD4_naive; T Cells
CYB561A3,ENSG00000162144,8,1,Melanocytes
DCT,ENSG00000080166,2,1,Melanocytes
DEFB1,ENSG00000164825,3,1,Pilosebaceous cells
DSC1,ENSG00000134765,4,1,Differentiated Keratinocytes
DST,ENSG00000151914,8,1,EpSC and Other Progenitors_1; TSK_basal
DUSP2,ENSG00000158050,5,1,CD8_EM
ECSCR,ENSG00000249751,8,1,Lymphatic Endothelial Cells
EDNRB,ENSG00000136160,8,1,Melanoma
ENAH,ENSG00000154380,8,1,TSK_differentiating
ENPP1,ENSG00000197594,8,1,DC_CLEC9A
FABP4,ENSG00000170323,8,1,Lymphatic Endothelial Cells
FAM210B,ENSG00000124098,8,1,Erythrocytes
FBLN1,ENSG00000077942,5,1,Secretory-reticular Fibroblasts
FBXO7,ENSG00000100225,8,1,Erythrocytes
FCER1A,ENSG00000179639,8,1,DC_Langerhans cells; Macrophages and DC_3
FCER1G,ENSG00000158869,7,1,Macrophages and DC_3
FGFBP1,ENSG00000137440,8,1,EpSC and Other Progenitors_2
FKBP8,ENSG00000105701,2,1,Erythrocytes
FRZB,ENSG00000162998,8,1,Melanocytes
FSCN1,ENSG00000075618,3,1,DC
GATA2,ENSG00000179348,8,1,CD8_naive
GEM,ENSG00000164949,8,1,Pro-inflammatory Fibroblasts
GIMAP7,ENSG00000179144,8,1,CD4
GNG11,ENSG00000127920,8,1,Endothelial cells; Lymphatic Endothelial Cells
GPR157,ENSG00000180758,8,1,DC_CD1C_migrating
GPR183,ENSG00000169508,5,1,Macrophages and DC_1
GPR4,ENSG00000177464,8,1,Myofibroblasts
GYPC,ENSG00000136732,8,1,Erythrocytes
GZMK,ENSG00000113088,8,1,CD8_EM
HAPLN1,ENSG00000145681,8,1,Mesenchymal Fibroblasts
HBD,ENSG00000223609,8,1,Erythrocytes
HES1,ENSG00000114315,7,1,Basal to Spinous Cells
HIST1H4C,ENSG00000197061,4,1,EpSC and Other Progenitors_2; T_proliferating
HMGB2,ENSG00000164104,8,1,Macrophages and DC_3; T_proliferating
HMGN2,ENSG00000198830,8,1,Macrophages and DC_3
HTRA1,ENSG00000166033,8,1,Mesenchymal Fibroblasts
ID2,ENSG00000115738,8,1,Macrophages and DC_2
ID4,ENSG00000172201,8,1,Pericytes_2
IDO1,ENSG00000131203,8,1,DC_CLEC9A_migrating; Macrophages and DC_2
IFI27,ENSG00000165949,2,1,Vascular Endothelial Cells
IFITM1,ENSG00000185885,5,1,Pericytes_2
IFNG,ENSG00000111537,8,1,CD4_exhausted; CD8_activated
IGFBP2,ENSG00000115457,3,1,TSK
IGFBP3,ENSG00000146674,8,1,Keratinocytes
IGFBP5,ENSG00000115461,6,1,Secretory-reticular Fibroblasts
IGFBP7,ENSG00000163453,2,1,Endothelial cells; Myofibroblasts
IL1B,ENSG00000125538,8,1,Macrophages and DC_1; Myeloid-derived suppressor cell
IL2RA,ENSG00000134460,8,1,T regulatory cells
IL32,ENSG00000008517,2,1,T Cells; T regulatory cells; CD4_naive
IL33,ENSG00000137033,8,1,TSK_differentiating
IL3RA,ENSG00000185291,8,1,DC_plasmacytoid
IL4I1,ENSG00000104951,8,1,DC_Langerhans cells_migrating
INHBA,ENSG00000122641,8,1,Myeloid-derived suppressor cell
INSIG1,ENSG00000186480,3,1,Macrophages and DC_1
IRF4,ENSG00000137265,8,1,Macrophages and DC_1
IRF8,ENSG00000140968,8,1,DC_CLEC9A
ITGA6,ENSG00000091409,8,1,EpSC and Other Progenitors_1
ITGB1,ENSG00000150093,8,1,EpSC and Other Progenitors_1
ITM2A,ENSG00000078596,8,1,CD8_exhausted; CD4_preexhausted
KIT,ENSG00000157404,8,1,CD8_naive
KLRB1,ENSG00000111796,8,1,CD4
KRT15,ENSG00000171346,8,1,EpSC and Other Progenitors_1; TSK_basal; BCC
KRT18,ENSG00000111057,8,1,Eccrine cells
KRT2,ENSG00000172867,4,1,Spinous to Granular Cells
KRT5,ENSG00000186081,3,1,EpSC and Other Progenitors_2
KRTDAP,ENSG00000188508,1,1,Differentiated Keratinocytes; Pilosebaceous cells; BCC
LAMB3,ENSG00000196878,8,1,TSK
LCK,ENSG00000182866,8,1,T Cells
LENG8,ENSG00000167615,8,1,CD4_RGCC
LEPR,ENSG00000116678,8,1,Secretory-papillary Fibroblasts
LGALS2,ENSG00000100079,5,1,DC_CLEC9A; Macrophages and DC_2
LINC00636,ENSG00000240423,6,1,Lymphatic Endothelial Cells
LSAMP,ENSG00000185565,8,1,Secretory-papillary Fibroblasts
LST1,ENSG00000204482,2,1,DC_AXL_SIGLEC6; Macrophages and DC_1
LTB,ENSG00000227507,2,1,DC_AXL_SIGLEC6; T regulatory cells; T Cells
LUM,ENSG00000139329,4,1,Fibroblasts
LY6D,ENSG00000167656,2,1,Differentiated Keratinocytes; Keratinocytes
LYPD3,ENSG00000124466,5,1,Differentiated Keratinocytes
LYVE1,ENSG00000133800,8,1,Lymphatic Endothelial Cells
LYZ,ENSG00000090382,2,1,Macrophages and DC_3
MAL2,ENSG00000147676,8,1,TSK_differentiating
MARCKSL1,ENSG00000175130,7,1,DC_CLEC9A_migrating
MEF2C,ENSG00000081189,8,1,B cells
MFAP4,ENSG00000166482,7,1,Mesenchymal Fibroblasts
MFAP5,ENSG00000197614,8,1,Secretory-reticular Fibroblasts
MGP,ENSG00000111341,8,1,Pro-inflammatory Fibroblasts
MIR205HG,ENSG00000230937,3,1,EpSC and Other Progenitors_1; TSK_basal
MITF,ENSG00000187098,8,1,Melanoma
MKI67,ENSG00000148773,8,1,T_proliferating
MLANA,ENSG00000120215,2,1,Melanocytes
MMP2,ENSG00000087245,8,1,Secretory-reticular Fibroblasts
MMP27,ENSG00000137675,8,1,Secretory-reticular Fibroblasts
MMRN1,ENSG00000138722,8,1,Lymphatic Endothelial Cells
MNDA,ENSG00000163563,8,1,DC_CD1C
MT1F,ENSG00000198417,3,1,CD4
MT1X,ENSG00000187193,2,1,TSK_cycling
MYC,ENSG00000136997,8,1,Melanoma
MYCT1,ENSG00000120279,8,1,Endothelial cells
MYH11,ENSG00000133392,8,1,Pericytes_1
MYL9,ENSG00000101335,6,1,Myofibroblasts; Pericytes_1
MZB1,ENSG00000170476,6,1,B cells; Erythrocytes
NDUFA4L2,ENSG00000185633,3,1,Myofibroblasts; Pericytes_2
NLGN4Y,ENSG00000165246,8,1,CD4_RGCC
NMB,ENSG00000197696,2,1,CD4_preexhausted
NOTCH3,ENSG00000074181,8,1,Spinous to Granular Cells
NR2F2,ENSG00000185551,8,1,Pericytes_2
NR4A2,ENSG00000153234,8,1,CD8_activated
NSG1,ENSG00000168824,8,1,Melanocytes
NUSAP1,ENSG00000137804,8,1,EpSC and Other Progenitors_2
PBXIP1,ENSG00000163346,8,1,CD4
PCDH7,ENSG00000169851,8,1,Keratinocytes
PDGFRA,ENSG00000134853,8,1,Fibroblasts
PKHD1L1,ENSG00000205038,8,1,B cells
