gene,HALLMARK,KEGG,REACTOME
AAR2,,,
AARSD1,,,
ABAT,Estrogen Response Early;p53 Pathway,"Alanine, aspartate and glutamate metabolism;Butanoate metabolism;GABAergic synapse;Propanoate metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism","GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590;Neuronal System R-HSA-112316;Neurotransmitter Release Cycle R-HSA-112310;Transmission Across Chemical Synapses R-HSA-112315"
ABCA7,,ABC transporters,ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Transport Of Small Molecules R-HSA-382551
ABCB4,Pperoxisome,ABC transporters;Bile secretion,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Transport Of Small Molecules R-HSA-382551
ABCB6,Glycolysis;heme Metabolism,ABC transporters,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551
ABCC1,Reactive Oxygen Species Pathway;UV Response Dn,ABC transporters;MicroRNAs in cancer;Sphingolipid signaling pathway;Vitamin digestion and absorption,"ABC-family Proteins Mediated Transport R-HSA-382556;Arachidonic Acid Metabolism R-HSA-2142753;Cellular Response To Chemical Stress R-HSA-9711123;Cellular Responses To Stimuli R-HSA-8953897;Cellular Responses To Stress R-HSA-2262752;Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741;Cytoprotection By HMOX1 R-HSA-9707564;Drug ADME R-HSA-9748784;Fatty Acid Metabolism R-HSA-8978868;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Metabolism Of Porphyrins R-HSA-189445;Metabolism Of Vitamins And Cofactors R-HSA-196854;Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849;Paracetamol ADME R-HSA-9753281;Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691;Transport Of RCbl Within Body R-HSA-9758890;Transport Of Small Molecules R-HSA-382551"
ABCC12,,ABC transporters,
ABCC2,Xenobiotic Metabolism,ABC transporters;Bile secretion,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Aspirin ADME R-HSA-9749641;Atorvastatin ADME R-HSA-9754706;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Transport Of Small Molecules R-HSA-382551
ABCC6,,ABC transporters,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551
ABCD1,Bile Acid Metabolism;Pperoxisome,ABC transporters;Peroxisome,ABC Transporter Disorders R-HSA-5619084;ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247;Class I Peroxisomal Membrane Protein Import R-HSA-9603798;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Fatty Acid Metabolism R-HSA-8978868;Linoleic Acid (LA) Metabolism R-HSA-2046105;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;Peroxisomal Lipid Metabolism R-HSA-390918;Protein Localization R-HSA-9609507;Transport Of Small Molecules R-HSA-382551;Alpha-Linolenic (Omega3) And Linoleic (Omega6) Acid Metabolism R-HSA-2046104
