gene,category,rationale,single_gene_panel_note,HALLMARK,KEGG,REACTOME
AAR2,,,,,,
AARSD1,,,,,,
ABCA7,,,,,ABC transporters,ABC Transporters In Lipid Homeostasis R-HSA-1369062;ABC-family Proteins Mediated Transport R-HSA-382556;Transport Of Small Molecules R-HSA-382551
ABCC12,,,,,ABC transporters,
ABCC2,,,,Xenobiotic Metabolism,ABC transporters;Bile secretion,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Aspirin ADME R-HSA-9749641;Atorvastatin ADME R-HSA-9754706;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Drug ADME R-HSA-9748784;Heme Degradation R-HSA-189483;Metabolism R-HSA-1430728;Metabolism Of Porphyrins R-HSA-189445;Paracetamol ADME R-HSA-9753281;Transport Of Small Molecules R-HSA-382551
ABCC6,,,,,ABC transporters,ABC Transporter Disorders R-HSA-5619084;ABC-family Proteins Mediated Transport R-HSA-382556;Disease R-HSA-1643685;Disorders Of Transmembrane Transporters R-HSA-5619115;Transport Of Small Molecules R-HSA-382551
ABCF3,,,,,,
ABO,,,,,Glycosphingolipid biosynthesis,Blood Group Systems Biosynthesis R-HSA-9033658;Metabolism R-HSA-1430728;Metabolism Of Carbohydrates R-HSA-71387
ACOD1,,,,,,Metabolism R-HSA-1430728;Metabolism Of Nucleotides R-HSA-15869;Nucleotide Biosynthesis R-HSA-8956320
ACPP,,,,,,
ACRBP,,,,Spermatogenesis,,
ACRV1,,,,Spermatogenesis,,
ACTBL2,,,,,,
ACTL7A,,,,,,
ADGRA1,,,,,,
ADGRA3,,,,,,
ADGRB2,,,,,,
ADGRD2,,,,,,
ADGRG5,,,,,,
ADGRL1,,,,,,
ADNP,,,,,,
ADTRP,,,,,,
AFF2,,,,,,
AFG1L,,,,,,
AFM,,,,,,
AGMAT,,,,,Arginine and proline metabolism,Metabolism R-HSA-1430728;Metabolism Of Amino Acids And Derivatives R-HSA-71291;Metabolism Of Polyamines R-HSA-351202
AHRR,,,,,,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144;Biological Oxidations R-HSA-211859;Cytochrome P450 - Arranged By Substrate Type R-HSA-211897;Endogenous Sterols R-HSA-211976;Metabolism R-HSA-1430728;Metabolism Of Lipids R-HSA-556833;PPARA Activates Gene Expression R-HSA-1989781;Phase I - Functionalization Of Compounds R-HSA-211945;Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206;Xenobiotics R-HSA-211981
AJAP1,,,,,,
AKAP11,,,,,,
AKAP8,,,,,,
AKTIP,,,,,,
ALG11,,,,,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG13,,,,,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
ALG2,,,,,N-Glycan biosynthesis;Various types of N-glycan biosynthesis,Asparagine N-linked Glycosylation R-HSA-446203;Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193;Disease R-HSA-1643685;Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860;Diseases Of Glycosylation R-HSA-3781865;Diseases Of Metabolism R-HSA-5668914;Metabolism Of Proteins R-HSA-392499;Post-translational Protein Modification R-HSA-597592
