gene,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio
A2ML1,no,0.029,,329,0,
AAMP,no,9.846,9.948,112762,116241,0.015
AAR2,no,3.037,2.659,34781,31072,-0.192
AARSD1,no,3.496,4.187,40035,48920,0.26
ABAT,no,11.983,12.785,137237,149384,0.093
ABCA1,no,4.024,9.526,46086,111313,1.243
ABCA3,no,4.203,3.748,48142,43789,-0.166
ABCA4,yes,0.064,0.021,732,250,-1.579
ABCA7,no,4.959,3.792,56795,44304,-0.387
ABCB1,no,0.585,1.304,6696,15240,1.158
ABCB4,no,0.121,0.148,1386,1724,0.286
ABCB6,no,1.743,1.89,19967,22079,0.116
ABCC1,no,6.524,7.135,74719,83365,0.129
ABCC12,no,0.042,,484,0,
ABCC2,no,0.46,0.506,5271,5912,0.137
ABCC3,no,6.283,7.972,71961,93146,0.343
ABCC4,no,1.253,1.428,14351,16690,0.189
ABCC6,no,3.087,2.943,35358,34389,-0.069
ABCC8,no,1.942,1.117,22243,13049,-0.798
ABCC9,no,3.259,3.202,37321,37411,-0.025
ABCD1,no,1.601,2.604,18332,30427,0.702
ABCD3,no,6.961,7.227,79719,84448,0.054
ABCD4,no,2.186,2.757,25040,32214,0.335
ABCF3,no,4.089,4.747,46827,55472,0.216
ABCG1,no,1.01,1.901,11562,22217,0.913
ABCG2,no,0.185,0.234,2121,2730,0.335
ABHD11,no,1.836,2.7,21024,31546,0.557
ABHD6,no,2.274,1.57,26042,18340,-0.535
ABI3,no,2.192,3.035,25102,35467,0.47
ABI3BP,no,1.96,2.415,22450,28220,0.301
ABL1,no,8.123,7.796,93037,91090,-0.059
ABL2,no,5.625,5.663,64425,66166,0.01
ABO,no,1.756,0.203,20112,2376,-3.11
ABTB1,no,0.542,1,6207,11679,0.883
ABTB2,no,1.593,1.639,18242,19154,0.041
ACAA2,no,9.261,7.544,106070,88153,-0.296
ACACA,no,4.505,3.282,51594,38348,-0.457
ACACB,no,7.998,9.016,91596,105344,0.173
ACAP1,no,0.377,0.869,4316,10157,1.206
ACAP2,no,3.049,3.485,34923,40721,0.193
ACAT1,no,7.2,7.078,82463,82705,-0.025
ACE,no,1.299,1.68,14880,19636,0.371
ACE2,no,1.424,0.366,16311,4279,-1.959
ACHE,no,0.76,0.781,8703,9128,0.04
ACKR3,no,2.553,4.156,29239,48561,0.703
ACLY,no,17.235,15.518,197392,181327,-0.151
