gene,category,rationale,single_gene_panel_note
ACOXL,,,
ACTA2,,,
ADCY3,,,
AFF3,,,
ALDH1A2,,,
AMY1A,,,
AQP3,nephron_specific,"Specific nephron segment; not in pancreas/LN. Some broadly-expressed kidney genes (e.g., RBP1, KL) deliberately kept.",
B2M,,,
BMF,,,
CAMK4,,,
CCL21,,,
CCL5,,,
CD24,,,
CD69,,,
CD74,,,
CD9,,,
CHGA,,,
CHRNA1,,,
CHST4,,,
COBL,,,
COL6A1,,,
COLEC11,,,
DENND3,,,
ENTPD3,,,
ETS2,,,
FBN1,,,
FBXO27,,,
FZD2,,,
GC,,,
GDF10,,,
GHRL,,,Sole Epsilon marker on the panel; 1-gene scoring caused 150K cells in 0041326 to be argmax-mislabeled Epsilon (see HANDOFF 2026-04-28). Either drop Epsilon from the celltype dict entirely (recommended) or expand the panel with co-markers (ARX is α-also; no clean Epsilon multi-gene panel exists in the 5K).
GLIS3,,,
GNG4,,,
GPC5-AS1,,,
GRIA4,,,
HAS1,,,
HIVEP3,,,
HORMAD2,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,
HRK,,,
IAPP,,,
IFI6,,,
IFITM2,,,
IFITM3,,,
IFNA5,,,
IL27RA,,,
IL32,,,
IL7R,,,
IRF9,,,
ISG15,,,
ITGB8,,,
JAG2,,,
KLF2,,,
KRT1,skin_cornification,Cornified envelope / hard skin keratinization; not in pancreas ductal or LN.,
KRT14,skin_cornification,Cornified envelope / hard skin keratinization; not in pancreas ductal or LN.,
KRT19,,,
LTB,,,
LY6H,,,
LYVE1,,,
MAFA,,,
MED14,,,
MIR155HG,,,
MT2A,,,
MYOG,skeletal_muscle,Skeletal-muscle-specific contractile machinery; not expressed in pancreas/LN smooth muscle or myofibroblasts.,
NKG7,,,
NKX6-1,,,
NKX6-2,,,
NPTXR,,,
PIAS1,,,
PSMB10,,,
PSMB11,,,
PSMB6,,,
PSMB7,,,
PSMB8,,,
PSMB9,,,
PTCRA,,,
PTPRC,,,
PTPRN,,,
RAG2,,,
RGPD3,,,
RGS1,,,
RNLS,,,
SDC1,,,
SELENOM,,,
SH2B3,,,
SKAP2,,,
SOX4,,,
SPARCL1,,,
ST18,,,
TNFAIP3,,,
TP53INP1,,,
TRAC,,,
TRAV1-2,,,
TRAV24,,,
TRBC2,,,
TRBV6-4,,,
TRGC2,,,
TSC22D3,,,
TXNIP,,,
ZFP36L1,,,
ZFP36L2,,,
