gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ANPEP,,,no,True,ENSG00000166825,Aminopeptidase N (AP-N) (hAPN),Cell membrane,intestinal crypt stem cell of small intestine;ciliated epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intrahepatic cholangiocyte;columnar/cuboidal epithelial cell;pancreatic acinar cell;enteroendocrine cell of small intestine;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;transit amplifying cell of small intestine,,59.817,58.898,59.817,685081,688203,-0.022
ANXA2,,,no,True,ENSG00000182718,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Secreted,basal cell of epithelium of bronchus;pancreatic ductal cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;bronchial epithelial cell;epithelial cell of urethra;conjunctival epithelial cell;T cell,,39.275,44.388,44.388,449817,518659,0.177
ANXA3,,,no,True,ENSG00000138772,"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)",,pancreatic ductal cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;epithelial cell of uterus;immature neutrophil;myelocyte;tracheobronchial serous cell,,11.643,10.303,11.643,133343,120384,-0.176
AQP5,,,no,True,ENSG00000161798,Aquaporin-5 (AQP-5),Apical cell membrane,respiratory basal cell;basal cell of epithelium of trachea;epithelial cell;epithelial cell of lacrimal sac;glandular epithelial cell;goblet cell;respiratory goblet cell;tracheal goblet cell;acinar cell of salivary gland;duodenum glandular cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;epithelial cell of sweat gland;conjunctival epithelial cell;tracheobronchial serous cell;serous cell of epithelium of trachea;serous cell of epithelium of bronchus,,0.12,0.059,0.12,1377,688,-1.03
AQP8,,,no,True,ENSG00000103375,Aquaporin-8 (AQP-8),Cell membrane,pancreatic acinar cell;acinar cell,,23.06,30.156,30.156,264108,352363,0.387
ATF4,,,no,True,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,,51.875,47.634,51.875,594118,556593,-0.123
ATP1A1,,,no,True,ENSG00000163399,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit),Basolateral cell membrane,intestinal crypt stem cell of small intestine;enterocyte of epithelium of small intestine;pancreatic ductal cell;intrahepatic cholangiocyte;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;pulmonary ionocyte;microfold cell of epithelium of small intestine;epithelial cell of small intestine;kidney distal convoluted tubule epithelial cell;macula densa epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney loop of Henle epithelial cell;ionocyte;transit amplifying cell of small intestine;serous cell of epithelium of trachea;lung secretory cell,,56.009,55.094,56.009,641463,643760,-0.024
BACE1,,,no,True,ENSG00000186318,Beta-secretase 1,Cell membrane,pancreatic acinar cell;acinar cell,,21.772,20.142,21.772,249355,235357,-0.112
BNIP3,,,no,True,ENSG00000176171,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,Mitochondrion;Mitochondrion outer membrane,pancreatic acinar cell;cortical thymic epithelial cell;ovarian surface epithelial cell;glycinergic neuron,,27.04,17.418,27.04,309692,203522,-0.635
CAV2,,,no,True,ENSG00000105971,Caveolin-2,Nucleus;Cytoplasm;Golgi apparatus membrane,pancreatic ductal cell;myoepithelial cell;myoepithelial cell of mammary gland;endothelial cell of artery;capillary endothelial cell;mesothelial cell of pleura;type I pneumocyte;bronchial smooth muscle cell;brown fat cell;adipocyte of breast,,5.932,5.385,5.932,67943,62928,-0.14
