gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABCA1,,,no,True,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,4.024,9.526,9.526,46086,111313,1.243
ABI3,,,no,True,ENSG00000108798,ABI gene family member 3 (New molecule including SH3) (Nesh),Cytoplasm,"colon macrophage;Langerhans cell;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;peripheral blood mononuclear cell;pre-conventional dendritic cell",,2.192,3.035,3.035,25102,35467,0.47
ABI3BP,,,no,True,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,,1.96,2.415,2.415,22450,28220,0.301
ABTB2,,,no,True,ENSG00000166016,Ankyrin repeat and BTB/POZ domain-containing protein 2,,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell;kidney collecting duct cell,,1.593,1.639,1.639,18242,19154,0.041
ACACA,,,no,True,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,4.505,3.282,4.505,51594,38348,-0.457
ACACB,,,no,True,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,7.998,9.016,9.016,91596,105344,0.173
ACAP1,,,no,True,ENSG00000072818,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)",Recycling endosome membrane,"hematopoietic cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell, human;effector CD4-positive, alpha-beta T cell;DN3 thymocyte;decidual natural killer cell, human;group 2 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;DN1 thymic pro-T cell",,0.377,0.869,0.869,4316,10157,1.206
ACKR3,,,no,True,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,2.553,4.156,4.156,29239,48561,0.703
ACLY,,,no,True,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,17.235,15.518,17.235,197392,181327,-0.151
ACSL4,,,no,True,ENSG00000068366,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,hepatoblast;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell;mast cell;lung secretory cell,,6.804,6.355,6.804,77926,74262,-0.098
