gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ACP5,,,no,True,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,,0.357,0.405,0.405,4090,4731,0.181
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,1.192,1.529,1.529,13652,17862,0.359
ADAM28,,,no,True,ENSG00000042980,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,,0.421,0.986,0.986,4827,11525,1.227
ADAR,,,no,True,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,15.238,17.381,17.381,174520,203088,0.19
AICDA,,,no,True,ENSG00000111732,Single-stranded DNA cytosine deaminase,Nucleus,germinal center B cell,,0.046,0.01,0.046,523,112,-2.252
AIM2,,,no,True,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,0.059,0.081,0.081,673,943,0.458
AIP,,,no,True,ENSG00000110711,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),Cytoplasm,DN4 thymocyte;B cell,,4.623,5.745,5.745,52950,67131,0.313
ALOX5,,,no,True,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,4.407,4.796,4.796,50476,56036,0.122
ANKRD13A,,,no,True,ENSG00000076513,Ankyrin repeat domain-containing protein 13A (Protein KE03),Cell membrane,germinal center B cell,,10.661,11.19,11.19,122101,130748,0.07
ANP32E,,,no,True,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,4.221,3.748,4.221,48345,43789,-0.172
AP1B1,,,no,True,ENSG00000100280,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Golgi apparatus;Cytoplasmic vesicle,late pro-B cell,,15.918,16.628,16.628,182307,194298,0.063
APOBEC3G,,,no,True,ENSG00000239713,DNA dC->dU-editing enzyme APOBEC-3G,Cytoplasm;Nucleus;Cytoplasm,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,0.489,0.712,0.712,5599,8315,0.542
ASF1B,,,no,True,ENSG00000105011,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),Nucleus,precursor B cell;large pre-B-II cell;pro-B cell,,0.248,0.148,0.248,2836,1731,-0.741
ASPM,,,no,True,ENSG00000066279,Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog),Cytoplasm,DN4 thymocyte;erythroid lineage cell;pro-B cell;salivary gland cell;transit amplifying cell of small intestine,,0.215,0.128,0.215,2463,1491,-0.753
AURKB,,,no,True,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,,0.305,0.272,0.305,3488,3183,-0.161
BACH2,,,no,True,ENSG00000112182,Transcription regulator protein BACH2 (BTB and CNC homolog 2),Cytoplasm,lens fiber cell;secondary lens fiber;B cell;precursor B cell;small pre-B-II cell;pre-B-I cell;late pro-B cell,,1.134,1.187,1.187,12990,13869,0.066
BANK1,,,no,True,ENSG00000153064,B-cell scaffold protein with ankyrin repeats,,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;IgG-negative class switched memory B cell;naive B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;B cell;immature B cell;transitional stage B cell;plasma cell,,0.233,0.132,0.233,2664,1543,-0.817
