gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABTB1,,,no,True,ENSG00000114626,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),Cytoplasm,blood cell;granulocyte;neutrophil,,0.542,1,1,6207,11679,0.883
ACP5,,,no,True,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,,0.357,0.405,0.405,4090,4731,0.181
ACSL4,,,no,True,ENSG00000068366,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,hepatoblast;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell;mast cell;lung secretory cell,,6.804,6.355,6.804,77926,74262,-0.098
ADA,,,no,True,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,1.192,1.529,1.529,13652,17862,0.359
ADAM8,,,no,True,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,1.243,2.199,2.199,14233,25691,0.823
ADCYAP1,,,no,True,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP,0.594,0.05,0.594,6807,581,-3.579
ADGRE2,,,no,True,ENSG00000127507,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE,0.872,1.211,1.211,9984,14149,0.474
ADRB2,,,no,True,ENSG00000169252,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Cell membrane,stem cell of epidermis;keratinocyte;epidermal cell;mast cell,Adrenaline;Noradrenaline,0.311,0.488,0.488,3558,5697,0.65
AHR,,,no,True,ENSG00000106546,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),Cytoplasm,"lung goblet cell;mast cell;group 2 innate lymphoid cell;group 3 innate lymphoid cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",,5.117,6.008,6.008,58600,70198,0.232
ALOX5,,,no,True,ENSG00000012779,Polyunsaturated fatty acid 5-lipoxygenase,Cytoplasm,brush cell;intestinal tuft cell;tuft cell of colon;macrophage;tissue-resident macrophage;alveolar macrophage;lung macrophage;basophil;eosinophil;Langerhans cell;B-1b B cell;mast cell,,4.407,4.796,4.796,50476,56036,0.122
ALPL,,,no,True,ENSG00000162551,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNS-ALP) (TNSALP)",Cell membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;goblet cell;respiratory goblet cell;tracheal goblet cell;preosteoblast;blood cell;granulocyte;neutrophil;osteoblast;lung secretory cell,,0.694,0.519,0.694,7944,6061,-0.419
ANXA3,,,no,True,ENSG00000138772,"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)",,pancreatic ductal cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;epithelial cell of uterus;immature neutrophil;myelocyte;tracheobronchial serous cell,,11.643,10.303,11.643,133343,120384,-0.176
APEX1,,,no,True,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,16.68,16.64,16.68,191030,194432,-0.003
AQP9,,,no,True,ENSG00000103569,Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1),Cell membrane,blood cell;granulocyte;neutrophil,,0.293,0.248,0.293,3352,2892,-0.242
ARRB2,,,no,True,ENSG00000141480,Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3),Cytoplasm;Nucleus;Cell membrane;Membrane,"phagocyte;classical monocyte;CD14-positive, CD16-negative classical monocyte;granulocyte;neutrophil;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;myeloid cell",,9.204,10.614,10.614,105415,124023,0.206
ATP5F1C,,,no,True,ENSG00000165629,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",Mitochondrion inner membrane,mast cell;mucosal type mast cell,,23.016,20.941,23.016,263606,244694,-0.136
BATF,,,no,True,ENSG00000156127,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),Nucleus,"duct epithelial cell;luminal epithelial cell of mammary gland;mammary gland epithelial cell;mast cell;CD4-positive helper T cell;T-helper 17 cell;T follicular helper cell;CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;activated CD4-positive, alpha-beta T cell;activated CD8-positive, alpha-beta T cell;type I NK T cell;regulatory T cell;exhausted T cell;group 2 innate lymphoid cell",,0.664,0.516,0.664,7602,6029,-0.363
