gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ADAR,,,no,True,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,15.238,17.381,17.381,174520,203088,0.19
DDX58,,,no,True,ENSG00000107201,RNA helicase,Cytoplasm,,,2.634,3.282,3.282,30166,38347,0.317
EIF2AK2,,,no,True,ENSG00000055332,"Interferon-induced, double-stranded RNA-activated protein kinase",Cytoplasm,"activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,5.806,5.972,5.972,66501,69784,0.041
HERC6,,,no,True,ENSG00000138642,Probable E3 ubiquitin-protein ligase HERC6,Cytoplasm,"activated CD4-positive, alpha-beta T cell, human",,1.522,1.646,1.646,17434,19237,0.113
IFI16,,,no,True,ENSG00000163565,Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator),Nucleus,retinal blood vessel endothelial cell;lung microvascular endothelial cell;mesothelial cell of pleura;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;early lymphoid progenitor,,3.383,4.332,4.332,38747,50614,0.357
IFI44L,,,no,True,ENSG00000137959,Interferon-induced protein 44-like,Cytoplasm,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;vasa recta ascending limb cell;vasa recta descending limb cell;endothelial cell of artery;kidney capillary endothelial cell;plasmacytoid dendritic cell, human;dendritic cell, human;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human;decidual natural killer cell, human",,0.499,0.392,0.499,5714,4575,-0.35
IFIH1,,,no,True,ENSG00000115267,Interferon-induced helicase C domain-containing protein 1,Cytoplasm,,,2.695,2.047,2.695,30861,23917,-0.397
IFIT1,,,no,True,ENSG00000185745,Interferon-induced protein with tetratricopeptide repeats 1 (IFIT-1) (Interferon-induced 56 kDa protein) (IFI-56K) (P56),Cytoplasm,lung endothelial cell;endothelial cell;endothelial cell of vascular tree,,0.798,1.033,1.033,9144,12069,0.372
IFIT2,,,no,True,ENSG00000119922,Interferon-induced protein with tetratricopeptide repeats 2 (IFIT-2) (ISG-54 K) (Interferon-induced 54 kDa protein) (IFI-54K) (P54),Cytoplasm,,,1.24,1.499,1.499,14202,17518,0.274
IFIT3,,,no,True,ENSG00000119917,Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G),Cytoplasm,"epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;T cell;activated CD4-positive, alpha-beta T cell, human;activated CD8-positive, alpha-beta T cell, human",,2.5,2.524,2.524,28635,29490,0.014
