gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABCC9,,,no,True,ENSG00000069431,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,capillary endothelial cell;pancreatic PP cell;ciliary muscle cell;pericyte;mural cell,,3.259,3.202,3.259,37321,37411,-0.025
ABI3BP,,,no,True,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,,1.96,2.415,2.415,22450,28220,0.301
ACTN1,,,no,True,ENSG00000072110,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Cytoplasm,myoepithelial cell;myoepithelial cell of mammary gland;retinal blood vessel endothelial cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;enteric smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,,10.874,11.16,11.16,124541,130398,0.037
ADAM33,,,no,True,ENSG00000149451,Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33),Membrane,smooth muscle cell of prostate;skin fibroblast,,0.432,0.644,0.644,4948,7522,0.575
ADAMTS1,,,no,True,ENSG00000154734,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;smooth muscle cell of prostate;myofibroblast cell;pericyte;mural cell,,21.768,8.053,21.768,249308,94095,-1.435
ADAMTS12,,,no,True,ENSG00000151388,A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle;pericyte;kidney interstitial cell,,1.238,0.93,1.238,14177,10864,-0.413
ADAMTS4,,,no,True,ENSG00000158859,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,,4.938,1.402,4.938,56550,16383,-1.816
ADCY2,,,no,True,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708
ADGRG6,,,no,True,ENSG00000112414,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor),Cell membrane,brush cell;intestinal tuft cell;tuft cell of colon;parietal epithelial cell;muscle cell;smooth muscle cell,ADGRG,1.622,1.378,1.622,18572,16102,-0.235
ADRA2A,,,no,True,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline,5.189,7.022,7.022,59428,82047,0.436
ADRA2C,,,no,True,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.883,0.39,0.883,10109,4555,-1.179
AEBP1,,,no,True,ENSG00000106624,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,1.583,2.363,2.363,18130,27616,0.578
ANGPT2,,,no,True,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,0.184,0.145,0.184,2110,1697,-0.343
ANO3,,,no,True,ENSG00000134343,Anoctamin-3 (Transmembrane protein 16C),Cell membrane,renal interstitial pericyte;kidney interstitial cell,,0.674,0.231,0.674,7714,2701,-1.543
AOC3,,,no,True,ENSG00000131471,Membrane primary amine oxidase,Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;pulmonary interstitial fibroblast;pericyte;mural cell,,1.983,1.542,1.983,22709,18013,-0.363
ARHGEF7,,,no,True,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,,2.982,3.78,3.78,34157,44169,0.342
ASPN,,,no,True,ENSG00000106819,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Secreted,interstitial cell of Cajal;endocardial cell;mesodermal cell;muscle cell;smooth muscle cell;skin fibroblast;myofibroblast cell;tendon cell;chondrocyte;mesenchymal cell,,0.982,0.979,0.982,11244,11440,-0.004
ATF3,,,no,True,ENSG00000162772,Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3),Nucleus,ileal goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;epithelial cell of uterus;vascular associated smooth muscle cell,,5.902,2.359,5.902,67595,27560,-1.323
ATP2A2,,,no,True,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,,14.018,12.195,14.018,160553,142491,-0.201
AVPR1A,,,no,True,ENSG00000166148,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;uterine smooth muscle cell;smooth muscle cell of prostate;pericyte;mural cell,AVP,0.435,0.432,0.435,4979,5048,-0.009
BAG2,,,no,True,ENSG00000112208,BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2),,uterine smooth muscle cell,,1.324,1.035,1.324,15159,12097,-0.354
