gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABCA1,,,no,True,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,4.024,9.526,9.526,46086,111313,1.243
ABI3BP,,,no,True,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,,1.96,2.415,2.415,22450,28220,0.301
ACKR3,,,no,True,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,2.553,4.156,4.156,29239,48561,0.703
ACVRL1,,,no,True,ENSG00000139567,Serine/threonine-protein kinase receptor R3 (SKR3),Cell membrane,mesenchymal stem cell;epithelial cell;blood vessel endothelial cell;endothelial cell of umbilical vein;vasa recta descending limb cell;endothelial cell of artery;capillary endothelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;fibroblast of breast,BMP10,2.753,2.951,2.951,31535,34478,0.1
ADAM33,,,no,True,ENSG00000149451,Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33),Membrane,smooth muscle cell of prostate;skin fibroblast,,0.432,0.644,0.644,4948,7522,0.575
ADAMTS12,,,no,True,ENSG00000151388,A disintegrin and metalloproteinase with thrombospondin motifs 12 (ADAM-TS 12) (ADAM-TS12) (ADAMTS-12),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;kidney interstitial fibroblast;fat cell;adipocyte of breast;adipocyte of epicardial fat of left ventricle;pericyte;kidney interstitial cell,,1.238,0.93,1.238,14177,10864,-0.413
ADAMTS2,,,no,True,ENSG00000087116,A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;preadipocyte;subcutaneous fat cell,,3.351,2.83,3.351,38380,33064,-0.244
ADAMTS4,,,no,True,ENSG00000158859,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,,4.938,1.402,4.938,56550,16383,-1.816
ADAMTSL3,,,no,True,ENSG00000156218,ADAMTS-like protein 3 (ADAMTSL-3) (Punctin-2),Secreted,interstitial cell of Cajal;renal beta-intercalated cell;hepatic stellate cell;fibroblast of cardiac tissue;fibro/adipogenic progenitor cell,,3.286,6.077,6.077,37637,71004,0.887
ADGRD1,,,no,True,ENSG00000111452,Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25),Cell membrane,fibroblast of cardiac tissue,,0.329,0.789,0.789,3766,9223,1.263
ADM,,,no,True,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,2.236,1.678,2.236,25611,19603,-0.415
ADRA2C,,,no,True,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.883,0.39,0.883,10109,4555,-1.179
AEBP1,,,no,True,ENSG00000106624,Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein),Cytoplasm,"preosteoblast;bronchial smooth muscle cell;smooth muscle cell of prostate;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;connective tissue cell;fibroblast;keratocyte;reticular cell;pancreatic stellate cell;fibroblast of mammary gland;skin fibroblast;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;tendon cell;adventitial cell",,1.583,2.363,2.363,18130,27616,0.578
ANGPT1,,,no,True,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,0.497,0.488,0.497,5697,5705,-0.027
ANGPTL2,,,no,True,ENSG00000136859,Angiopoietin-related protein 2 (Angiopoietin-like protein 2),Secreted,endosteal cell;skin fibroblast,ANGPTL,0.956,0.945,0.956,10946,11042,-0.016
ANGPTL7,,,no,True,ENSG00000171819,Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein),Secreted,skin fibroblast,ANGPTL,0.134,0.073,0.134,1538,850,-0.884
ANXA5,,,no,True,ENSG00000164111,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),,skeletal muscle satellite stem cell;pancreatic PP cell;PP cell;ovarian surface epithelial cell;elicited macrophage;alternatively activated macrophage;myeloid leukocyte;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,,36.744,27.541,36.744,420822,321811,-0.416
AOC3,,,no,True,ENSG00000131471,Membrane primary amine oxidase,Cell membrane,smooth muscle cell;vascular associated smooth muscle cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell;pulmonary interstitial fibroblast;pericyte;mural cell,,1.983,1.542,1.983,22709,18013,-0.363
AOX1,,,no,True,ENSG00000138356,Aldehyde oxidase,Cytoplasm,mesenchymal stem cell;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;skeletal muscle fibroblast;hepatic stellate cell;adventitial cell,,26.62,31.112,31.112,304879,363540,0.225
APCDD1,,,no,True,ENSG00000154856,Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein),Cell membrane,endothelial cell of uterus;endocardial cell;cerebral cortex endothelial cell;skin fibroblast;stromal cell;stromal cell of ovary,,4.864,3.441,4.864,55704,40207,-0.499
ARRDC3,,,no,True,ENSG00000113369,Arrestin domain-containing protein 3 (TBP-2-like inducible membrane protein) (TLIMP),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;endosteal cell;fibroblast of breast;serous cell of epithelium of trachea,,11.7,5.116,11.7,133995,59781,-1.193
ASPN,,,no,True,ENSG00000106819,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Secreted,interstitial cell of Cajal;endocardial cell;mesodermal cell;muscle cell;smooth muscle cell;skin fibroblast;myofibroblast cell;tendon cell;chondrocyte;mesenchymal cell,,0.982,0.979,0.982,11244,11440,-0.004
ATP10D,,,no,True,ENSG00000145246,Phospholipid-transporting ATPase VD,Cell membrane,kidney interstitial fibroblast;kidney interstitial cell,,3.528,2.767,3.528,40402,32333,-0.35
BAG3,,,no,True,ENSG00000151929,BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1),Nucleus,mesenchymal stem cell;skeletal muscle satellite stem cell;vasa recta ascending limb cell;skeletal muscle satellite cell;fibroblast of connective tissue of nonglandular part of prostate;tendon cell,,4.188,4.916,4.916,47963,57439,0.231
BDKRB1,,,no,True,ENSG00000100739,B1 bradykinin receptor (B1R) (BK-1 receptor),Cell membrane,fibroblast;fibroblast of mammary gland,BRADYKININ,0.165,0.122,0.165,1891,1425,-0.437
