gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ADAM10,,,no,True,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,,10.308,9.545,10.308,118053,111533,-0.111
ADAM12,,,no,True,ENSG00000148848,Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12),Secreted,preosteoblast;trophoblast giant cell;extravillous trophoblast;preadipocyte;brown preadipocyte;white fat cell;mesangial cell,,0.511,0.239,0.511,5851,2788,-1.098
ADAM17,,,no,True,ENSG00000151694,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,,4.807,4.935,4.935,55055,57662,0.038
ADAMTS1,,,no,True,ENSG00000154734,A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1),Secreted,vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;lung microvascular endothelial cell;lung endothelial cell;muscle cell;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;smooth muscle cell of prostate;myofibroblast cell;pericyte;mural cell,,21.768,8.053,21.768,249308,94095,-1.435
ADAMTS2,,,no,True,ENSG00000087116,A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;preadipocyte;subcutaneous fat cell,,3.351,2.83,3.351,38380,33064,-0.244
ADAMTS4,,,no,True,ENSG00000158859,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;vasa recta ascending limb cell;prostate gland microvascular endothelial cell;endothelial cell;endothelial cell of vascular tree;smooth muscle cell;vascular associated smooth muscle cell;myometrial cell;smooth muscle cell of prostate;fibroblast of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast;myofibroblast cell;pericyte;mural cell,,4.938,1.402,4.938,56550,16383,-1.816
ADAMTS5,,,no,True,ENSG00000154736,A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5),Secreted,mesenchymal stem cell,,0.381,0.279,0.381,4362,3257,-0.45
ASPN,,,no,True,ENSG00000106819,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Secreted,interstitial cell of Cajal;endocardial cell;mesodermal cell;muscle cell;smooth muscle cell;skin fibroblast;myofibroblast cell;tendon cell;chondrocyte;mesenchymal cell,,0.982,0.979,0.982,11244,11440,-0.004
CD36,,,no,True,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,2.321,2.918,2.918,26582,34098,0.33
CD44,,,no,True,ENSG00000026508,CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cell membrane,intestinal crypt stem cell of large intestine;pancreatic ductal cell;pancreatic acinar cell;elicited macrophage;alternatively activated macrophage;hematopoietic cell;granulocyte;leukocyte;myeloid leukocyte;mast cell;B cell;myeloid cell;early T lineage precursor;fibroblast of breast,MIF;SPP1;GALECTIN;COLLAGEN;FN1;LAMININ;SELE,47.499,46.665,47.499,544000,545266,-0.026
CD47,,,no,True,ENSG00000196776,Leukocyte surface antigen CD47 (Antigenic surface determinant protein OA3) (Integrin-associated protein) (IAP) (Protein MER6) (CD antigen CD47),Cell membrane,fallopian tube secretory epithelial cell;pro-T cell,THBS;SIRP,15.743,13.588,15.743,180309,158769,-0.212
COL18A1,,,no,True,ENSG00000182871,Collagen alpha-1(XVIII) chain,Secreted,pancreatic ductal cell;kidney loop of Henle thin ascending limb epithelial cell,,13.111,15.849,15.849,150159,185186,0.274
COL4A1,,,no,True,ENSG00000187498,Collagen alpha-1(IV) chain,Secreted,mesenchymal stem cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;skeletal muscle fibroblast;extravillous trophoblast;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;mural cell,COLLAGEN;ADGRG,16.921,10.786,16.921,193799,126026,-0.65
COL4A2,,,no,True,ENSG00000134871,Collagen alpha-2(IV) chain,Secreted,mesenchymal stem cell;lens epithelial cell;anterior lens cell;endothelial tip cell;smooth muscle myoblast;brown preadipocyte;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,COLLAGEN;ADGRG,10.108,7.19,10.108,115761,84017,-0.491
COL4A3,,,no,True,ENSG00000169031,Collagen alpha-3(IV) chain (Goodpasture antigen),Secreted,corneal endothelial cell;lens epithelial cell;anterior lens cell;epithelial cell of lung;type I pneumocyte;kidney loop of Henle thin ascending limb epithelial cell;lens fiber cell;secondary lens fiber;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell,COLLAGEN;ADGRG,0.736,0.679,0.736,8424,7939,-0.114
COL4A4,,,no,True,ENSG00000081052,Collagen alpha-4(IV) chain,Secreted,corneal endothelial cell;lens epithelial cell;anterior lens cell;epithelial cell of lung;lens fiber cell;secondary lens fiber;kidney glomerular epithelial cell;podocyte;fibroblast of cardiac tissue;kidney interstitial fibroblast;kidney interstitial cell,COLLAGEN;ADGRG,2.031,1.592,2.031,23266,18600,-0.352
COL4A5,,,no,True,ENSG00000188153,Collagen alpha-5(IV) chain,Secreted,basal epithelial cell of prostatic duct;corneal endothelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;ciliary muscle cell,COLLAGEN;ADGRG,0.223,0.229,0.229,2549,2675,0.041
COL5A2,,,no,True,ENSG00000204262,Collagen alpha-2(V) chain,Secreted,corneal endothelial cell;endosteal cell;preosteoblast;muscle cell;smooth muscle cell;connective tissue cell;fibroblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibroblast of cardiac tissue;fibroblast of lung;mesothelial fibroblast;osteoblast;mesenchymal cell;fibro/adipogenic progenitor cell,,3.242,2.494,3.242,37135,29143,-0.379
