gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ABCA1,,,no,True,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,4.024,9.526,9.526,46086,111313,1.243
ADAM28,,,no,True,ENSG00000042980,Disintegrin and metalloproteinase domain-containing protein 28 (ADAM 28),Secreted,basal cell of epithelium of trachea;lung goblet cell;macrophage;tissue-resident macrophage;central nervous system macrophage;microglial cell;mature microglial cell;professional antigen presenting cell;memory B cell;unswitched memory B cell;class switched memory B cell,,0.421,0.986,0.986,4827,11525,1.227
ADAMTS19,,,no,True,ENSG00000145808,A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19),Secreted,interstitial cell of Cajal;taste receptor cell;cortical cell of adrenal gland;kidney glomerular epithelial cell;podocyte;sympathetic neuron,,0.06,0.039,0.06,682,454,-0.616
ADCY2,,,no,True,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708
ADORA3,,,no,True,ENSG00000282608,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine,0.785,0.683,0.785,8986,7982,-0.2
AGAP1,,,no,True,ENSG00000157985,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2) (GTP-binding and GTPase-activating protein 1) (GGAP1)",Cytoplasm,oligodendrocyte precursor cell;bipolar neuron;retinal bipolar neuron,,7.476,8.697,8.697,85617,101624,0.218
ALCAM,,,no,True,ENSG00000170017,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),Cell membrane,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6,11.611,7.895,11.611,132980,92252,-0.556
ALDOA,,,no,True,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,8.833,8.515,8.833,101165,99499,-0.053
ALK,,,no,True,ENSG00000171094,ALK tyrosine kinase receptor,Cell membrane,neuroendocrine cell;chromaffin cell;skeletal muscle fiber;cell of skeletal muscle;Schwann cell;visceromotor neuron;medium spiny neuron,MK;PTN,0.032,0.012,0.032,366,135,-1.468
ANKRD44,,,no,True,ENSG00000065413,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44),,tissue-resident macrophage;Kupffer cell;central nervous system macrophage;mature microglial cell;melanocyte of skin,,1.379,1.947,1.947,15799,22749,0.497
AOAH,,,no,True,ENSG00000136250,Acyloxyacyl hydrolase,Secreted,"macrophage;tissue-resident macrophage;Kupffer cell;central nervous system macrophage;microglial cell;mature microglial cell;hematopoietic cell;leukocyte;myeloid leukocyte;activated CD8-positive, alpha-beta T cell;innate lymphoid cell;CD16-positive, CD56-dim natural killer cell, human;immature innate lymphoid cell;myeloid cell",,0.894,2.817,2.817,10237,32916,1.656
APEX1,,,no,True,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,16.68,16.64,16.68,191030,194432,-0.003
AQP4,,,no,True,ENSG00000171885,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),Cell membrane,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;astrocyte;mature astrocyte;radial glial cell;Mueller cell;forebrain radial glial cell;neural progenitor cell;lung secretory cell,,0.111,0.065,0.111,1270,765,-0.76
AR,,,no,True,ENSG00000169083,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),Nucleus,luminal cell of prostate epithelium;neuron,Androstenedione;DHT;Testosterone,0.412,0.481,0.481,4715,5625,0.226
ARC,,,no,True,ENSG00000198576,Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1),Extracellular vesicle membrane,type EC enteroendocrine cell;vasa recta descending limb cell;forebrain radial glial cell;sympathetic neuron,,0.061,0.07,0.07,695,817,0.204
ARX,,,no,True,ENSG00000004848,Homeobox protein ARX (Aristaless-related homeobox),Nucleus,pancreatic endocrine cell;pancreatic PP cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of colon;forebrain radial glial cell;cortical interneuron;cerebral cortex GABAergic interneuron;inhibitory interneuron,,0.408,0.396,0.408,4677,4622,-0.046
ASCL1,,,no,True,ENSG00000139352,Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46),Nucleus,glioblast;Schwann cell precursor;neural crest cell;neuroendocrine cell;lung neuroendocrine cell;epithelial cell of thymus;medullary thymic epithelial cell;enteric neuron;peripheral nervous system neuron,,0.092,0.068,0.092,1052,794,-0.435
