gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
A2ML1,,,no,True,ENSG00000166535,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),Secreted,stem cell;basal cell;epithelial cell of stratum germinativum of esophagus;keratinocyte;stratified epithelial cell;epidermal cell,,0.029,,0.029,329,0,
ABCA3,,,no,True,ENSG00000167972,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,,4.203,3.748,4.203,48142,43789,-0.166
ABCC3,,,no,True,ENSG00000108846,ATP-binding cassette sub-family C member 3,Basolateral cell membrane,cholangiocyte;intrahepatic cholangiocyte;basal epithelial cell of prostatic duct;paneth cell of epithelium of small intestine;hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;papillary tips cell,,6.283,7.972,7.972,71961,93146,0.343
ABCC8,,,no,True,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,,1.942,1.117,1.942,22243,13049,-0.798
ABCD3,,,no,True,ENSG00000117528,ATP-binding cassette sub-family D member 3,Peroxisome membrane,epithelial cell of lung;centrilobular region hepatocyte;lung secretory cell,,6.961,7.227,7.227,79719,84448,0.054
ABHD11,,,no,True,ENSG00000106077,Protein ABHD11,,fallopian tube secretory epithelial cell,,1.836,2.7,2.7,21024,31546,0.557
ABI3BP,,,no,True,ENSG00000154175,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),Secreted,non-pigmented ciliary epithelial cell;anterior lens cell;endosteal cell;lens fiber cell;secondary lens fiber;muscle cell;smooth muscle cell;fibroblast;keratocyte;alveolar type 2 fibroblast cell;fibroblast of cardiac tissue;skin fibroblast;mesothelial fibroblast;adventitial cell;fibro/adipogenic progenitor cell,,1.96,2.415,2.415,22450,28220,0.301
ABTB2,,,no,True,ENSG00000166016,Ankyrin repeat and BTB/POZ domain-containing protein 2,,kidney collecting duct epithelial cell;kidney collecting duct principal cell;renal principal cell;cortical cell of adrenal gland;kidney connecting tubule epithelial cell;kidney collecting duct cell,,1.593,1.639,1.639,18242,19154,0.041
ACE,,,no,True,ENSG00000159640,Angiotensin-converting enzyme (ACE),Cell membrane,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;lung endothelial cell;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree,,1.299,1.68,1.68,14880,19636,0.371
ACE2,,,no,True,ENSG00000130234,Angiotensin-converting enzyme 2,Apical cell membrane,ciliated epithelial cell;enterocyte;enterocyte of epithelium of small intestine;columnar/cuboidal epithelial cell;type L enteroendocrine cell;intestinal epithelial cell;epithelial cell of small intestine,,1.424,0.366,1.424,16311,4279,-1.959
