gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio
ACVR1,,,no,True,ENSG00000115170,Activin receptor type-1,Membrane,,TGFb;BMP;AMH,2.394,2.484,2.484,27418,29028,0.053
ACVR1B,,,no,True,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN,9.007,10.08,10.08,103155,117777,0.162
ACVR2A,,,no,True,ENSG00000121989,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN,3.543,4.317,4.317,40583,50440,0.285
BMP2,,,no,True,ENSG00000125845,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Secreted,endothelial cell of lymphatic vessel,BMP,6.312,3.984,6.312,72291,46556,-0.664
BMP4,,,no,True,ENSG00000125378,Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B),Secreted,mesodermal cell;connective tissue cell;fibroblast;fibroblast of lung;bronchus fibroblast of lung;mesenchymal cell,BMP,0.318,0.391,0.391,3647,4571,0.297
BMP5,,,no,True,ENSG00000112175,Bone morphogenetic protein 5 (BMP-5),Secreted,fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;chondrocyte;pericyte,BMP,0.538,0.205,0.538,6167,2395,-1.393
BMP6,,,no,True,ENSG00000153162,Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1),Secreted,cardiac endothelial cell,BMP,0.161,0.185,0.185,1844,2162,0.201
BMP7,,,no,True,ENSG00000101144,Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa),Secreted,,BMP,0.075,0.057,0.075,863,670,-0.394
BMP8A,,,no,True,ENSG00000183682,Bone morphogenetic protein 8A (BMP-8A),Secreted,,BMP,1.17,1.149,1.17,13400,13422,-0.027
BMP8B,,,no,True,ENSG00000116985,Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2),Secreted,,BMP,0.775,0.771,0.775,8881,9005,-0.009
BMPR1A,,,no,True,ENSG00000107779,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A),Cell membrane,smooth muscle cell of sphincter of pupil;ciliary muscle cell,BMP;AMH,6.309,5.574,6.309,72253,65128,-0.179
BMPR1B,,,no,True,ENSG00000138696,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B),Cell membrane,kidney collecting duct epithelial cell;kidney collecting duct principal cell;kidney collecting duct intercalated cell;neuroendocrine cell;chromaffin cell;renal principal cell;renal beta-intercalated cell;lung goblet cell;taste receptor cell;luminal cell of prostate epithelium;kidney connecting tubule epithelial cell;astrocyte;Bergmann glial cell;sympathetic neuron;fibroblast;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell;kidney collecting duct cell,BMP,0.358,0.278,0.358,4101,3247,-0.366
BMPR2,,,no,True,ENSG00000204217,Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2),Cell membrane,epithelial cell;lung endothelial cell;endothelial cell;endothelial cell of vascular tree;cardiac endothelial cell,BMP;BMP10;GDF,8.807,8.272,8.807,100863,96653,-0.09
DLK1,,,no,True,ENSG00000185559,Protein delta homolog 1 (DLK-1) (pG2),Membrane,skeletal muscle satellite stem cell;acinar cell;cortical cell of adrenal gland;Leydig cell;skeletal muscle satellite cell;neuron;sympathetic neuron;chondrocyte;stromal cell of ovary;interstitial cell of ovary;mesenchymal cell,NOTCH,1.08,0.211,1.08,12368,2460,-2.359
DLL1,,,no,True,ENSG00000198719,Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1),Apical cell membrane,small intestine goblet cell;group 3 innate lymphoid cell,NOTCH,2.779,1.695,2.779,31826,19811,-0.713
DLL3,,,no,True,ENSG00000090932,Delta-like protein 3 (Drosophila Delta homolog 3) (Delta3),Membrane,glioblast;Schwann cell precursor;lung neuroendocrine cell;enteric neuron;peripheral nervous system neuron,NOTCH,0.067,0.017,0.067,770,201,-1.967
DLL4,,,no,True,ENSG00000128917,Delta-like protein 4 (Drosophila Delta homolog 4) (Delta4),Cell membrane,intestinal crypt stem cell of large intestine;endothelial cell of artery;small intestine goblet cell;fenestrated cell;glomerular endothelial cell,NOTCH,0.539,1.071,1.071,6178,12517,0.99
FGF1,,,no,True,ENSG00000113578,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1),Secreted;Cytoplasm;Cytoplasm,kidney glomerular epithelial cell;podocyte,FGF,0.157,0.115,0.157,1802,1343,-0.453
FGF10,,,no,True,ENSG00000070193,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),Secreted,corneal endothelial cell;endosteal cell;neuron,FGF,1.064,0.845,1.064,12191,9874,-0.333
FGF2,,,no,True,ENSG00000138685,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),Secreted,myoepithelial cell;myoepithelial cell of mammary gland;fibroblast of connective tissue of nonglandular part of prostate;fibroblast of connective tissue of glandular part of prostate,FGF,0.524,0.608,0.608,6005,7105,0.214
FGF21,,,no,True,ENSG00000105550,Fibroblast growth factor 21 (FGF-21),Secreted,,FGF,0.026,0.017,0.026,299,202,-0.595
