gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCB6,,,no,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,,1.743,1.89,1.89,19967,22079,0.116,curated,glycolysis_glucose_metabolism,True
ADORA2B,,,no,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,0.172,0.132,0.172,1970,1548,-0.377,curated,glycolysis_glucose_metabolism,True
ALDH1B1,,,no,ENSG00000137124,"Aldehyde dehydrogenase X, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell;intestinal crypt stem cell of colon,,5.797,5.269,5.797,66398,61569,-0.138,curated,glycolysis_glucose_metabolism,True
ALDH2,,,no,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",,14.451,12.373,14.451,165503,144576,-0.224,curated,glycolysis_glucose_metabolism,False
ALDH3A2,,,no,ENSG00000072210,Aldehyde dehydrogenase family 3 member A2,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea,,17.111,20.1,20.1,195977,234864,0.232,curated,glycolysis_glucose_metabolism,True
ALDH7A1,,,no,ENSG00000164904,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase),Mitochondrion,placental villous trophoblast,,8.527,8.523,8.527,97659,99586,-0.001,curated,glycolysis_glucose_metabolism,True
ALDOA,,,no,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,8.833,8.515,8.833,101165,99499,-0.053,curated,glycolysis_glucose_metabolism,False
ANGPTL4,,,no,ENSG00000167772,Angiopoietin-related protein 4 (Angiopoietin-like protein 4) (Hepatic fibrinogen/angiopoietin-related protein) (HFARP),Secreted,endothelial tip cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell;mature astrocyte;subcutaneous fat cell;epicardial adipocyte,ANGPTL,12.861,3.047,12.861,147301,35608,-2.077,curated,glycolysis_glucose_metabolism,False
ANKZF1,,,no,ENSG00000163516,tRNA endonuclease ANKZF1,Cytoplasm,,,4.957,6.657,6.657,56771,77791,0.426,curated,glycolysis_glucose_metabolism,True
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.499,0.361,0.499,5715,4224,-0.465,curated,glycolysis_glucose_metabolism,False
B3GAT1,,,no,ENSG00000109956,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,Golgi apparatus membrane,,,0.122,0.08,0.122,1395,940,-0.598,curated,glycolysis_glucose_metabolism,True
BIK,,,no,ENSG00000100290,Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4),Endomembrane system,pulmonary ionocyte;brush cell;brush cell of trachebronchial tree;brush cell of bronchus;intestinal tuft cell;tuft cell of colon;ionocyte,,1.012,0.954,1.012,11590,11151,-0.085,curated,glycolysis_glucose_metabolism,False
CACNA1H,,,no,ENSG00000196557,Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2),Cell membrane,,,1.018,1.321,1.321,11657,15440,0.377,curated,glycolysis_glucose_metabolism,True
CASP6,,,no,ENSG00000138794,Caspase-6 (CASP-6) (CSP-6),Cytoplasm,intestinal tuft cell;tuft cell of colon,,4.177,3.646,4.177,47838,42604,-0.196,curated,glycolysis_glucose_metabolism,False
