gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ACAA2,,,no,ENSG00000167315,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,,9.261,7.544,9.261,106070,88153,-0.296,curated,oxphos_TCA_mitochondria,True
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,4.505,3.282,4.505,51594,38348,-0.457,curated,oxphos_TCA_mitochondria,False
ACACB,,,no,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,7.998,9.016,9.016,91596,105344,0.173,curated,oxphos_TCA_mitochondria,False
ACAT1,,,no,ENSG00000075239,"Acetyl-CoA acetyltransferase, mitochondrial",Mitochondrion,kidney collecting duct intercalated cell;renal intercalated cell,,7.2,7.078,7.2,82463,82705,-0.025,curated,oxphos_TCA_mitochondria,True
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,17.235,15.518,17.235,197392,181327,-0.151,curated,oxphos_TCA_mitochondria,False
ACYP2,,,no,ENSG00000170634,Acylphosphatase-2,,pancreatic D cell,,3.593,3.221,3.593,41147,37640,-0.157,curated,oxphos_TCA_mitochondria,False
AIFM1,,,no,ENSG00000156709,"Apoptosis-inducing factor 1, mitochondrial",Mitochondrion intermembrane space,,,6.156,5.964,6.156,70509,69692,-0.046,curated,oxphos_TCA_mitochondria,True
ALDH1B1,,,no,ENSG00000137124,"Aldehyde dehydrogenase X, mitochondrial",Mitochondrion matrix,intestinal crypt stem cell;intestinal crypt stem cell of colon,,5.797,5.269,5.797,66398,61569,-0.138,curated,oxphos_TCA_mitochondria,True
ALDH2,,,no,ENSG00000111275,"Aldehyde dehydrogenase, mitochondrial",Mitochondrion matrix,"microfold cell of epithelium of small intestine;alveolar macrophage;lung macrophage;myeloid dendritic cell, human",,14.451,12.373,14.451,165503,144576,-0.224,curated,oxphos_TCA_mitochondria,False
ALDH3A2,,,no,ENSG00000072210,Aldehyde dehydrogenase family 3 member A2,Microsome membrane,respiratory basal cell;basal cell of epithelium of trachea,,17.111,20.1,20.1,195977,234864,0.232,curated,oxphos_TCA_mitochondria,True
ALDH7A1,,,no,ENSG00000164904,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase),Mitochondrion,placental villous trophoblast,,8.527,8.523,8.527,97659,99586,-0.001,curated,oxphos_TCA_mitochondria,True
ATP5F1A,,,no,ENSG00000152234,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",Mitochondrion,pancreatic D cell,,53.407,52.883,53.407,611667,617920,-0.014,curated,oxphos_TCA_mitochondria,False
ATP5F1C,,,no,ENSG00000165629,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",Mitochondrion inner membrane,mast cell;mucosal type mast cell,,23.016,20.941,23.016,263606,244694,-0.136,curated,oxphos_TCA_mitochondria,False
ATP6V1B1,,,no,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,,0.42,0.459,0.459,4806,5363,0.129,curated,oxphos_TCA_mitochondria,True
ATP6V1H,,,no,ENSG00000047249,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),Cytoplasmic vesicle,renal beta-intercalated cell;renal alpha-intercalated cell;osteoclast,,3.994,4.168,4.168,45738,48703,0.062,curated,oxphos_TCA_mitochondria,True
BAX,,,no,ENSG00000087088,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),Cytoplasm,,,1.317,1.334,1.334,15080,15593,0.019,curated,oxphos_TCA_mitochondria,False
CASP7,,,no,ENSG00000165806,Caspase-7 (CASP-7),Cytoplasm,respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,7.156,4.502,7.156,81962,52600,-0.669,curated,oxphos_TCA_mitochondria,False
CPT1A,,,no,ENSG00000110090,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L)",Mitochondrion outer membrane,,,13.865,13.117,13.865,158796,153268,-0.08,curated,oxphos_TCA_mitochondria,True
CYCS,,,no,ENSG00000172115,Cytochrome c,Mitochondrion intermembrane space,epithelial cell of urethra;osteoclast;fibroblast of connective tissue of nonglandular part of prostate,,10.654,5.669,10.654,122015,66245,-0.91,curated,oxphos_TCA_mitochondria,False
DLD,,,no,ENSG00000091140,"Dihydrolipoyl dehydrogenase, mitochondrial",Mitochondrion matrix,,,15.04,13.655,15.04,172251,159552,-0.139,curated,oxphos_TCA_mitochondria,True
ECHS1,,,no,ENSG00000127884,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1)",Mitochondrion matrix,intrahepatic cholangiocyte;microfold cell of epithelium of small intestine;sperm,,5.979,5.634,5.979,68473,65833,-0.086,curated,oxphos_TCA_mitochondria,True
ECSIT,,,no,ENSG00000130159,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Protein SITPEC)",Cytoplasm,,,5.341,6.518,6.518,61172,76166,0.287,curated,oxphos_TCA_mitochondria,True
FDX1,,,no,ENSG00000137714,"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)",Mitochondrion matrix,glandular epithelial cell;cortical cell of adrenal gland;sperm;syncytiotrophoblast cell,,9.587,7.079,9.587,109796,82713,-0.438,curated,oxphos_TCA_mitochondria,False
FH,,,no,ENSG00000091483,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH)",Cytoplasm,,,7.96,7.794,7.96,91170,91069,-0.031,curated,oxphos_TCA_mitochondria,True
GLUD1,,,no,ENSG00000148672,"Glutamate dehydrogenase 1, mitochondrial (GDH 1)",Mitochondrion,pancreatic A cell,,9.876,6.878,9.876,113110,80362,-0.522,curated,oxphos_TCA_mitochondria,False
GSTZ1,,,no,ENSG00000100577,Maleylacetoacetate isomerase (MAAI),Cytoplasm,,,4.27,3.761,4.27,48900,43949,-0.183,curated,oxphos_TCA_mitochondria,True
HADHA,,,no,ENSG00000084754,"Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase)",Mitochondrion,,,33.219,25.701,33.219,380455,300304,-0.37,curated,oxphos_TCA_mitochondria,True
HADHB,,,no,ENSG00000138029,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta)",Mitochondrion,slow muscle cell,,19.568,18.543,19.568,224115,216672,-0.078,curated,oxphos_TCA_mitochondria,True
HSD17B10,,,no,ENSG00000072506,3-hydroxyacyl-CoA dehydrogenase type-2,Mitochondrion,,,7.287,6.893,7.287,83460,80539,-0.08,curated,oxphos_TCA_mitochondria,True
HSPA9,,,no,ENSG00000113013,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)",Mitochondrion,,,30.042,24.573,30.042,344065,287133,-0.29,curated,oxphos_TCA_mitochondria,True
HTRA2,,,no,ENSG00000115317,"Serine protease HTRA2, mitochondrial",Mitochondrion intermembrane space;Mitochondrion membrane,erythrocyte;erythroid lineage cell;erythroblast,,0.918,1.071,1.071,10518,12515,0.222,curated,oxphos_TCA_mitochondria,True
IDH1,,,no,ENSG00000138413,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1),Cytoplasm,urothelial cell;bladder urothelial cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;placental villous trophoblast;bladder cell,,4.745,4.191,4.745,54348,48968,-0.179,curated,oxphos_TCA_mitochondria,False
IDH2,,,no,ENSG00000182054,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH)",Mitochondrion,placental villous trophoblast;primitive red blood cell;pre-conventional dendritic cell;pro-T cell,,22.849,20.881,22.849,261684,243988,-0.13,curated,oxphos_TCA_mitochondria,False
IMMT,,,no,ENSG00000132305,MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89),Mitochondrion inner membrane,,,9.874,9.597,9.874,113091,112135,-0.041,curated,oxphos_TCA_mitochondria,True
LDHA,,,no,ENSG00000134333,L-lactate dehydrogenase A chain (LDH-A),Cytoplasm,"pancreatic D cell;myometrial cell;T-helper 17 cell;activated CD4-positive, alpha-beta T cell;rod bipolar cell;glycinergic neuron",,45.962,37.219,45.962,526404,434893,-0.304,curated,oxphos_TCA_mitochondria,False
LDLR,,,no,ENSG00000130164,Low-density lipoprotein receptor (LDL receptor),Cell membrane,paneth cell of epithelium of small intestine;duodenum glandular cell;cortical cell of adrenal gland;serous cell of epithelium of trachea,,11.863,4.159,11.863,135864,48596,-1.512,curated,oxphos_TCA_mitochondria,True
LRPPRC,,,no,ENSG00000138095,"Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)",Mitochondrion;Nucleus,,,11.884,13.872,13.872,136109,162088,0.223,curated,oxphos_TCA_mitochondria,True
MAOB,,,no,ENSG00000069535,Amine oxidase [flavin-containing] B,Mitochondrion outer membrane,lung neuroendocrine cell;pancreatic A cell;decidual cell;basophil;mast cell,,3.29,4.212,4.212,37685,49218,0.356,curated,oxphos_TCA_mitochondria,False
