gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ADA,,,no,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,1.192,1.529,1.529,13652,17862,0.359,curated,DNA_repair_damage,False
ALYREF,,,no,ENSG00000183684,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),Nucleus,DN4 thymocyte;erythroid progenitor cell;proerythroblast;common dendritic progenitor;hematopoietic precursor cell;myeloid lineage restricted progenitor cell,,7.56,8.181,8.181,86586,95597,0.114,curated,DNA_repair_damage,False
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,6.197,7.201,7.201,70976,84141,0.217,curated,DNA_repair_damage,True
APEX1,,,no,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,16.68,16.64,16.68,191030,194432,-0.003,curated,DNA_repair_damage,False
APEX2,,,no,ENSG00000169188,DNA-(apurinic or apyrimidinic site) endonuclease 2,Nucleus,,,1.521,1.799,1.799,17417,21018,0.242,curated,DNA_repair_damage,True
ATM,,,no,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,9.108,10.276,10.276,104310,120077,0.174,curated,DNA_repair_damage,False
ATR,,,no,ENSG00000175054,Serine/threonine-protein kinase ATR,Nucleus,,,3.923,3.607,3.923,44927,42144,-0.121,curated,DNA_repair_damage,True
BARD1,,,no,ENSG00000138376,BRCA1-associated RING domain protein 1 (BARD-1),Nucleus,,,1.286,0.969,1.286,14726,11317,-0.409,curated,DNA_repair_damage,True
BCAM,,,no,ENSG00000187244,Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239),Membrane,basal cell of epithelium of trachea;lung neuroendocrine cell;blood vessel endothelial cell;vasa recta descending limb cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;pancreatic PP cell;pancreatic epsilon cell;PP cell;fallopian tube secretory epithelial cell;club cell;endothelial cell of uterus;kidney loop of Henle thin ascending limb epithelial cell;kidney glomerular epithelial cell;parietal epithelial cell;ovarian surface epithelial cell;placental villous trophoblast,,7.253,10.178,10.178,83066,118932,0.489,curated,DNA_repair_damage,False
BLM,,,no,ENSG00000197299,RecQ-like DNA helicase BLM,Nucleus,,,0.098,0.066,0.098,1120,776,-0.558,curated,DNA_repair_damage,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.771,0.492,0.771,8835,5745,-0.65,curated,DNA_repair_damage,True
BRCA2,,,no,ENSG00000139618,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),Nucleus,common dendritic progenitor,,0.506,0.309,0.506,5797,3612,-0.711,curated,DNA_repair_damage,False
BRIP1,,,no,ENSG00000136492,Fanconi anemia group J protein (Protein FACJ),Nucleus,,,0.424,0.311,0.424,4855,3630,-0.448,curated,DNA_repair_damage,True
CCNA1,,,no,ENSG00000133101,Cyclin-A1,Nucleus,,,0.031,0.009,0.031,357,109,-1.741,curated,DNA_repair_damage,True
CCNA2,,,no,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,0.328,0.284,0.328,3756,3318,-0.208,curated,DNA_repair_damage,False
CCNE1,,,no,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,,0.241,0.336,0.336,2755,3925,0.482,curated,DNA_repair_damage,False
CCNO,,,no,ENSG00000152669,Cyclin-O,Cytoplasm,goblet cell;respiratory goblet cell;tracheal goblet cell;respiratory epithelial cell;epithelial cell of lower respiratory tract;club cell,,2.192,3.785,3.785,25105,44227,0.788,curated,DNA_repair_damage,False
CDA,,,no,ENSG00000158825,Cytidine deaminase,,renal beta-intercalated cell;granulocyte;neutrophil;immature neutrophil;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,0.255,0.219,0.255,2917,2556,-0.22,curated,DNA_repair_damage,False
CDC27,,,no,ENSG00000004897,Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC),Nucleus,enucleate erythrocyte;erythroblast,,6.788,5.894,6.788,77740,68868,-0.204,curated,DNA_repair_damage,True
CDC6,,,no,ENSG00000094804,Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6),Nucleus,,,0.849,1.225,1.225,9724,14311,0.529,curated,DNA_repair_damage,False
CDK2,,,no,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,,2.645,2.406,2.645,30290,28108,-0.137,curated,DNA_repair_damage,False
CDK7,,,no,ENSG00000134058,Cyclin-dependent kinase 7,Nucleus,extravillous trophoblast,,2.999,3.028,3.028,34348,35378,0.014,curated,DNA_repair_damage,True
CUL1,,,no,ENSG00000055130,Cullin-1 (CUL-1),,,,7.809,7.835,7.835,89436,91550,0.005,curated,DNA_repair_damage,True
CUL4A,,,no,ENSG00000139842,Cullin-4A (CUL-4A),,,,11.632,11.944,11.944,133220,139561,0.038,curated,DNA_repair_damage,True
CUL4B,,,no,ENSG00000158290,Cullin-4B (CUL-4B),Cytoplasm,,,7.47,7.493,7.493,85555,87551,0.004,curated,DNA_repair_damage,True
DDB1,,,no,ENSG00000167986,DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe),Cytoplasm,Leydig cell;placental villous trophoblast,,11.988,12.857,12.857,137299,150226,0.101,curated,DNA_repair_damage,True
DDB2,,,no,ENSG00000134574,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),Nucleus,,,2.322,3.553,3.553,26595,41514,0.614,curated,DNA_repair_damage,True
DNTT,,,no,ENSG00000107447,DNA nucleotidylexotransferase,Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;hematopoietic precursor cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor",,0.066,0.009,0.066,757,110,-2.812,curated,DNA_repair_damage,False
EIF1B,,,no,ENSG00000114784,Eukaryotic translation initiation factor 1b (eIF1b) (Protein translation factor SUI1 homolog GC20),,pancreatic epsilon cell;intestinal tuft cell;tuft cell of colon;enucleated reticulocyte,,8.549,7.814,8.549,97909,91303,-0.13,curated,DNA_repair_damage,False
ERCC1,,,no,ENSG00000012061,DNA excision repair protein ERCC-1,Nucleus,macrophage dendritic cell progenitor,,5.959,6.415,6.415,68251,74953,0.106,curated,DNA_repair_damage,False
ERCC2,,,no,ENSG00000104884,General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD),Nucleus,,,2.526,3.063,3.063,28928,35787,0.278,curated,DNA_repair_damage,True
ERCC3,,,no,ENSG00000163161,General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB),Nucleus,,,4.952,5.577,5.577,56715,65160,0.171,curated,DNA_repair_damage,True
ERCC4,,,no,ENSG00000175595,DNA repair endonuclease XPF,Nucleus,,,1.596,1.636,1.636,18283,19121,0.036,curated,DNA_repair_damage,True
ERCC5,,,no,ENSG00000134899,DNA excision repair protein ERCC-5,Nucleus,,,4.506,5.207,5.207,51608,60846,0.209,curated,DNA_repair_damage,True
ERCC6,,,no,ENSG00000225830,Chimeric ERCC6-PGBD3 protein (Chimeric CSB-PGBD3 protein),Nucleus,,,3.58,4.292,4.292,41002,50151,0.262,curated,DNA_repair_damage,True
EXO1,,,no,ENSG00000174371,Exonuclease 1 (hExo1),Nucleus,,,0.164,0.092,0.164,1882,1075,-0.837,curated,DNA_repair_damage,True
FANCA,,,no,ENSG00000187741,Fanconi anemia group A protein (Protein FACA),Nucleus;Cytoplasm,,,0.14,0.185,0.185,1604,2164,0.403,curated,DNA_repair_damage,True
FANCC,,,no,ENSG00000158169,Fanconi anemia group C protein (Protein FACC),Nucleus;Cytoplasm,,,1.786,1.903,1.903,20452,22237,0.092,curated,DNA_repair_damage,True
FANCD2,,,no,ENSG00000144554,Fanconi anemia group D2 protein (Protein FACD2),Nucleus,,,0.487,0.431,0.487,5576,5033,-0.177,curated,DNA_repair_damage,True
FANCI,,,no,ENSG00000140525,Fanconi anemia group I protein (Protein FACI),Nucleus,DN4 thymocyte,,1.182,1.045,1.182,13532,12210,-0.177,curated,DNA_repair_damage,False
FEN1,,,no,ENSG00000168496,Flap endonuclease 1 (FEN-1),Mitochondrion,,,1.577,1.78,1.78,18067,20794,0.174,curated,DNA_repair_damage,True
FZR1,,,no,ENSG00000105325,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),Cytoplasm,,,2.81,3.256,3.256,32178,38047,0.213,curated,DNA_repair_damage,True
HES1,,,no,ENSG00000114315,Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL),Nucleus,intestinal crypt stem cell of large intestine;basal cell of epithelium of bronchus;enterocyte;vasa recta ascending limb cell;glomerular capillary endothelial cell;fenestrated cell;glomerular endothelial cell;gut endothelial cell;endothelial cell of uterus;radial glial cell;Mueller cell;forebrain radial glial cell,,9.237,7.275,9.237,105790,85001,-0.345,curated,DNA_repair_damage,False
HPRT1,,,no,ENSG00000165704,Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase),Cytoplasm,Sertoli cell;macrophage dendritic cell progenitor,,4.546,5.309,5.309,52062,62030,0.224,curated,DNA_repair_damage,False
IMPDH2,,,no,ENSG00000178035,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2),Cytoplasm,"erythroid progenitor cell, mammalian;macrophage dendritic cell progenitor;basophil mast progenitor cell",,41.181,34.871,41.181,471649,407462,-0.24,curated,DNA_repair_damage,False
KPNA1,,,no,ENSG00000114030,Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta),Cytoplasm,,,5.048,5.114,5.114,57820,59750,0.018,curated,DNA_repair_damage,True
KPNA6,,,no,ENSG00000025800,Importin subunit alpha-7 (Karyopherin subunit alpha-6),,,,10.818,11.826,11.826,123901,138180,0.128,curated,DNA_repair_damage,True
KPNB1,,,no,ENSG00000108424,Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97),Cytoplasm,pancreatic A cell,,16.842,17.68,17.68,192889,206587,0.07,curated,DNA_repair_damage,False
LIG3,,,no,ENSG00000005156,DNA ligase 3,Nucleus,,,5.175,5.951,5.951,59272,69533,0.201,curated,DNA_repair_damage,True
LIG4,,,no,ENSG00000174405,DNA ligase 4,Nucleus,,,3.774,2.727,3.774,43229,31866,-0.469,curated,DNA_repair_damage,True
