gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABAT,,,no,ENSG00000183044,"4-aminobutyrate aminotransferase, mitochondrial",Mitochondrion matrix,,,11.983,12.785,12.785,137237,149384,0.093,curated,p53_senescence,True
ACVR1B,,,no,ENSG00000135503,Activin receptor type-1B,Cell membrane,,TGFb;GDF;MSTN;NODAL;ACTIVIN,9.007,10.08,10.08,103155,117777,0.162,curated,p53_senescence,False
ADA,,,no,ENSG00000196839,Adenosine deaminase,Cell membrane,"bone marrow cell;granulocyte monocyte progenitor cell;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;common dendritic progenitor;macrophage dendritic cell progenitor;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,1.192,1.529,1.529,13652,17862,0.359,curated,p53_senescence,False
ADGRB1,,,no,ENSG00000181790,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1),Cell membrane,,ADGRB,0.206,0.518,0.518,2358,6054,1.331,curated,p53_senescence,True
AGO1,,,no,ENSG00000092847,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),Cytoplasm,,,4.66,4.546,4.66,53366,53121,-0.036,curated,p53_senescence,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,p53_senescence,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,p53_senescence,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,p53_senescence,True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,6.197,7.201,7.201,70976,84141,0.217,curated,p53_senescence,True
APAF1,,,no,ENSG00000120868,Apoptotic protease-activating factor 1 (APAF-1),Cytoplasm,,,2.69,3.132,3.132,30809,36599,0.22,curated,p53_senescence,False
