gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,4.505,3.282,4.505,51594,38348,-0.457,curated,mTOR_PI3K_AKT,False
ACACB,,,no,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,7.998,9.016,9.016,91596,105344,0.173,curated,mTOR_PI3K_AKT,False
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,17.235,15.518,17.235,197392,181327,-0.151,curated,mTOR_PI3K_AKT,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708,curated,mTOR_PI3K_AKT,False
ADIPOQ,,,no,ENSG00000181092,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",Secreted,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN,0.055,0.024,0.055,630,275,-1.225,curated,mTOR_PI3K_AKT,False
ADIPOR1,,,no,ENSG00000159346,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),Cell membrane,erythrocyte;erythroid lineage cell;reticulocyte;enucleated reticulocyte,ADIPONECTIN,18.988,18.573,18.988,217470,217019,-0.032,curated,mTOR_PI3K_AKT,True
ADIPOR2,,,no,ENSG00000006831,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Cell membrane,melanocyte;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN,2.964,2.061,2.964,33952,24088,-0.524,curated,mTOR_PI3K_AKT,False
ADRA1A,,,no,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline,0.123,0.086,0.123,1405,1008,-0.508,curated,mTOR_PI3K_AKT,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,mTOR_PI3K_AKT,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,mTOR_PI3K_AKT,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,mTOR_PI3K_AKT,True
ALDOA,,,no,ENSG00000149925,Fructose-bisphosphate aldolase A,Cytoplasm,osteoclast;myeloid leukocyte;myeloid cell;rod bipolar cell;OFF-bipolar cell;glycinergic neuron,,8.833,8.515,8.833,101165,99499,-0.053,curated,mTOR_PI3K_AKT,False
ANGPT1,,,no,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,0.497,0.488,0.497,5697,5705,-0.027,curated,mTOR_PI3K_AKT,False
ANGPT2,,,no,ENSG00000091879,Angiopoietin-2 (ANG-2),Secreted,squamous epithelial cell;blood vessel endothelial cell;vein endothelial cell;endothelial cell of umbilical vein;endothelial cell of artery;capillary endothelial cell;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of lymphatic vessel;endothelial cell of uterus;surface ectodermal cell;muscle cell;smooth muscle cell;trophoblast giant cell,ANGPT,0.184,0.145,0.184,2110,1697,-0.343,curated,mTOR_PI3K_AKT,False
AP2M1,,,no,ENSG00000161203,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),Cell membrane,fallopian tube secretory epithelial cell;Hofbauer cell,,23.862,23.097,23.862,273285,269882,-0.047,curated,mTOR_PI3K_AKT,False
ARF1,,,no,ENSG00000143761,ADP-ribosylation factor 1,Golgi apparatus membrane,pancreatic D cell,,31.315,26.707,31.315,358646,312064,-0.23,curated,mTOR_PI3K_AKT,False
ATF1,,,no,ENSG00000123268,Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36),Nucleus,,,2.801,2.686,2.801,32075,31387,-0.06,curated,mTOR_PI3K_AKT,True
ATF2,,,no,ENSG00000115966,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),Nucleus;Cytoplasm;Mitochondrion outer membrane,,,7.302,6.753,7.302,83635,78904,-0.113,curated,mTOR_PI3K_AKT,True
ATF4,,,no,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,,51.875,47.634,51.875,594118,556593,-0.123,curated,mTOR_PI3K_AKT,False
ATP2A2,,,no,ENSG00000174437,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2),Endoplasmic reticulum membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;slow muscle cell;smooth muscle cell of sphincter of pupil;ciliary muscle cell;muscle precursor cell;cardiac muscle myoblast,,14.018,12.195,14.018,160553,142491,-0.201,curated,mTOR_PI3K_AKT,False
ATP6V1B1,,,no,ENSG00000116039,"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)",Apical cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal beta-intercalated cell;renal alpha-intercalated cell;pulmonary ionocyte;ionocyte,,0.42,0.459,0.459,4806,5363,0.129,curated,mTOR_PI3K_AKT,True
ATP6V1H,,,no,ENSG00000047249,V-type proton ATPase subunit H (V-ATPase subunit H) (Nef-binding protein 1) (NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD),Cytoplasmic vesicle,renal beta-intercalated cell;renal alpha-intercalated cell;osteoclast,,3.994,4.168,4.168,45738,48703,0.062,curated,mTOR_PI3K_AKT,True
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.499,0.361,0.499,5715,4224,-0.465,curated,mTOR_PI3K_AKT,False
BAD,,,no,ENSG00000002330,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),Mitochondrion outer membrane;Cytoplasm,,,0.348,0.301,0.348,3987,3518,-0.209,curated,mTOR_PI3K_AKT,False
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,1.295,1.556,1.556,14831,18181,0.265,curated,mTOR_PI3K_AKT,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,18.876,18.984,18.984,216190,221821,0.008,curated,mTOR_PI3K_AKT,False
BCL2L11,,,no,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.776,1.509,1.776,20337,17629,-0.235,curated,mTOR_PI3K_AKT,False
BDNF,,,no,ENSG00000176697,Brain-derived neurotrophic factor (BDNF) (Abrineurin),Secreted,,NT,0.067,0.034,0.067,765,403,-0.954,curated,mTOR_PI3K_AKT,True
BRAF,,,no,ENSG00000157764,Serine/threonine-protein kinase B-raf,Nucleus,,,9.828,9.385,9.828,112563,109665,-0.067,curated,mTOR_PI3K_AKT,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.771,0.492,0.771,8835,5745,-0.65,curated,mTOR_PI3K_AKT,True
BUB1,,,no,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,,0.225,0.211,0.225,2580,2471,-0.091,curated,mTOR_PI3K_AKT,False
CACYBP,,,no,ENSG00000116161,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),Nucleus,pancreatic D cell;mast cell;mucosal type mast cell;double negative thymocyte;proerythroblast;early T lineage precursor,,5.882,4.101,5.882,67370,47923,-0.52,curated,mTOR_PI3K_AKT,False
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,50.662,44.115,50.662,580234,515474,-0.2,curated,mTOR_PI3K_AKT,False
CASP9,,,no,ENSG00000132906,Caspase-9 (CASP-9),,,,1.897,2.254,2.254,21722,26333,0.249,curated,mTOR_PI3K_AKT,False
CCNA1,,,no,ENSG00000133101,Cyclin-A1,Nucleus,,,0.031,0.009,0.031,357,109,-1.741,curated,mTOR_PI3K_AKT,True
CCNA2,,,no,ENSG00000145386,Cyclin-A2 (Cyclin-A) (Cyclin A),Nucleus,"immature alpha-beta T cell;double-positive, alpha-beta thymocyte;fraction A pre-pro B cell",,0.328,0.284,0.328,3756,3318,-0.208,curated,mTOR_PI3K_AKT,False
CCND1,,,no,ENSG00000110092,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),Nucleus,glioblast;Schwann cell precursor;epithelial cell;type I pneumocyte;epithelial cell of uterus;epithelial cell of thymus;cortical thymic epithelial cell,,9.831,5.998,9.831,112592,70080,-0.713,curated,mTOR_PI3K_AKT,False
CCND2,,,no,ENSG00000118971,G1/S-specific cyclin-D2,Nucleus,"intestinal crypt stem cell of small intestine;IgG plasmablast;IgA plasmablast;activated CD4-positive, alpha-beta T cell;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;neural progenitor cell",,17.11,16.337,17.11,195956,190890,-0.067,curated,mTOR_PI3K_AKT,False
CCND3,,,no,ENSG00000112576,G1/S-specific cyclin-D3,Nucleus,"platelet;double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;late pro-B cell;immature natural killer cell;CD16-positive, CD56-dim natural killer cell, human;megakaryocyte;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell",,2.449,1.864,2.449,28049,21786,-0.393,curated,mTOR_PI3K_AKT,False
CCNE1,,,no,ENSG00000105173,G1/S-specific cyclin-E1,Nucleus,extravillous trophoblast;erythroblast,,0.241,0.336,0.336,2755,3925,0.482,curated,mTOR_PI3K_AKT,False
CCT6A,,,no,ENSG00000146731,T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20),Cytoplasm,"activated CD4-positive, alpha-beta T cell;proerythroblast",,20.029,19.83,20.029,229390,231710,-0.014,curated,mTOR_PI3K_AKT,False
CD19,,,no,ENSG00000177455,B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19),Cell membrane,professional antigen presenting cell;mature B cell;memory B cell;unswitched memory B cell;class switched memory B cell;IgG memory B cell;naive B cell;B-1a B cell;B-1b B cell;follicular B cell;germinal center B cell;mononuclear cell;lymphocyte;regulatory T cell;B cell;immature B cell;precursor B cell;small pre-B-II cell;large pre-B-II cell;pre-B-I cell;late pro-B cell;transitional stage B cell;early T lineage precursor,,0.078,0.132,0.132,897,1538,0.749,curated,mTOR_PI3K_AKT,False
CD36,,,no,ENSG00000135218,Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36),Cell membrane,"vein endothelial cell;capillary endothelial cell;dermis microvascular lymphatic vessel endothelial cell;Hofbauer cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;dendritic cell, human;erythroid lineage cell;erythroblast;fat cell;white fat cell;adipocyte of breast",THBS,2.321,2.918,2.918,26582,34098,0.33,curated,mTOR_PI3K_AKT,False
CDC25A,,,no,ENSG00000164045,M-phase inducer phosphatase 1,,,,0.369,0.252,0.369,4223,2946,-0.548,curated,mTOR_PI3K_AKT,False
CDC37,,,no,ENSG00000105401,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37),Cytoplasm,endothelial tip cell,,10.436,11.507,11.507,119519,134452,0.141,curated,mTOR_PI3K_AKT,True
CDK1,,,no,ENSG00000170312,Cyclin-dependent kinase 1 (CDK1),Nucleus,"double-positive, alpha-beta thymocyte;precursor B cell;large pre-B-II cell;erythroid lineage cell;pro-B cell;fraction A pre-pro B cell",,0.48,0.229,0.48,5502,2671,-1.071,curated,mTOR_PI3K_AKT,False
CDK2,,,no,ENSG00000123374,Cyclin-dependent kinase 2,Cytoplasm,,,2.645,2.406,2.645,30290,28108,-0.137,curated,mTOR_PI3K_AKT,False
CDK4,,,no,ENSG00000135446,Cyclin-dependent kinase 4,Cytoplasm,glioblast;Schwann cell precursor;macrophage dendritic cell progenitor,,7.883,8.209,8.209,90289,95916,0.058,curated,mTOR_PI3K_AKT,False
CDK6,,,no,ENSG00000105810,Cyclin-dependent kinase 6,Cytoplasm;Nucleus;Cell projection,"hematopoietic stem cell;CD34-positive, CD38-negative hematopoietic stem cell;megakaryocyte-erythroid progenitor cell;erythroid progenitor cell;erythroid progenitor cell, mammalian;hematopoietic precursor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;early T lineage precursor;common lymphoid progenitor",,4.843,5.728,5.728,55469,66927,0.242,curated,mTOR_PI3K_AKT,False
CDKN1A,,,no,ENSG00000124762,Cyclin-dependent kinase inhibitor 1 (CDK-interacting protein 1) (Melanoma differentiation-associated protein 6) (MDA-6) (p21),Cytoplasm,skeletal muscle satellite stem cell;epithelial cell of lacrimal sac;prostate gland microvascular endothelial cell;medullary thymic epithelial cell;vascular associated smooth muscle cell;myometrial cell;skeletal muscle satellite cell;mature conventional dendritic cell;tendon cell,,15.485,12.015,15.485,177354,140389,-0.366,curated,mTOR_PI3K_AKT,False
CDKN1B,,,no,ENSG00000111276,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Nucleus;Cytoplasm;Endosome,"CD4-positive, CD25-positive, alpha-beta regulatory T cell;naive regulatory T cell;memory regulatory T cell;effector CD4-positive, alpha-beta T cell;DN3 thymocyte",,8.969,11.332,11.332,102727,132413,0.337,curated,mTOR_PI3K_AKT,False
CFP,,,no,ENSG00000126759,Properdin (Complement factor P),Secreted,"phagocyte;colon macrophage;classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;granulocyte;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;Langerhans cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;mononuclear cell;peripheral blood mononuclear cell;myeloid cell;promonocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell",,0.317,0.316,0.317,3626,3697,-0.001,curated,mTOR_PI3K_AKT,False
CFTR,,,no,ENSG00000001626,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase),Apical cell membrane,intestinal crypt stem cell of colon;pancreatic ductal cell;cholangiocyte;columnar/cuboidal epithelial cell;pulmonary ionocyte;lung goblet cell;bronchial goblet cell;paneth cell of epithelium of small intestine;duodenum glandular cell;periportal region hepatocyte;M cell of gut;ionocyte,,29.856,32.182,32.182,341934,376037,0.108,curated,mTOR_PI3K_AKT,False
CHAD,,,no,ENSG00000136457,Chondroadherin (Cartilage leucine-rich protein),Secreted,osteoblast;chondrocyte,CHAD,0.408,0.83,0.83,4676,9701,1.024,curated,mTOR_PI3K_AKT,True
CHRM1,,,no,ENSG00000168539,Muscarinic acetylcholine receptor M1,Cell membrane,,Ach,0.057,0.018,0.057,648,216,-1.614,curated,mTOR_PI3K_AKT,True
CHRM2,,,no,ENSG00000181072,Muscarinic acetylcholine receptor M2,Cell membrane,muscle cell;cardiac muscle cell;regular atrial cardiac myocyte;regular ventricular cardiac myocyte;muscle precursor cell;cardiac muscle myoblast;visceromotor neuron,Ach,0.027,0.017,0.027,309,200,-0.657,curated,mTOR_PI3K_AKT,False
CHUK,,,no,ENSG00000213341,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase),Cytoplasm,,,5.004,3.988,5.004,57308,46599,-0.327,curated,mTOR_PI3K_AKT,True
CLTC,,,no,ENSG00000141367,Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17),Cytoplasmic vesicle membrane,,,30.22,26.781,30.22,346103,312930,-0.174,curated,mTOR_PI3K_AKT,True
COL4A1,,,no,ENSG00000187498,Collagen alpha-1(IV) chain,Secreted,mesenchymal stem cell;endothelial tip cell;retinal blood vessel endothelial cell;endothelial cell;gut endothelial cell;endothelial cell of vascular tree;skeletal muscle fibroblast;extravillous trophoblast;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle;mural cell,COLLAGEN;ADGRG,16.921,10.786,16.921,193799,126026,-0.65,curated,mTOR_PI3K_AKT,False
COL4A2,,,no,ENSG00000134871,Collagen alpha-2(IV) chain,Secreted,mesenchymal stem cell;lens epithelial cell;anterior lens cell;endothelial tip cell;smooth muscle myoblast;brown preadipocyte;pancreatic stellate cell;fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,COLLAGEN;ADGRG,10.108,7.19,10.108,115761,84017,-0.491,curated,mTOR_PI3K_AKT,False
COL4A3,,,no,ENSG00000169031,Collagen alpha-3(IV) chain (Goodpasture antigen),Secreted,corneal endothelial cell;lens epithelial cell;anterior lens cell;epithelial cell of lung;type I pneumocyte;kidney loop of Henle thin ascending limb epithelial cell;lens fiber cell;secondary lens fiber;kidney glomerular epithelial cell;podocyte;retinal pigment epithelial cell,COLLAGEN;ADGRG,0.736,0.679,0.736,8424,7939,-0.114,curated,mTOR_PI3K_AKT,False
COL4A4,,,no,ENSG00000081052,Collagen alpha-4(IV) chain,Secreted,corneal endothelial cell;lens epithelial cell;anterior lens cell;epithelial cell of lung;lens fiber cell;secondary lens fiber;kidney glomerular epithelial cell;podocyte;fibroblast of cardiac tissue;kidney interstitial fibroblast;kidney interstitial cell,COLLAGEN;ADGRG,2.031,1.592,2.031,23266,18600,-0.352,curated,mTOR_PI3K_AKT,False
COL4A5,,,no,ENSG00000188153,Collagen alpha-5(IV) chain,Secreted,basal epithelial cell of prostatic duct;corneal endothelial cell;lens epithelial cell;anterior lens cell;lens fiber cell;secondary lens fiber;ciliary muscle cell,COLLAGEN;ADGRG,0.223,0.229,0.229,2549,2675,0.041,curated,mTOR_PI3K_AKT,False
COPS5,,,no,ENSG00000121022,COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5),Cytoplasm,,,10.131,10.199,10.199,116035,119168,0.01,curated,mTOR_PI3K_AKT,True
CPT1A,,,no,ENSG00000110090,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L)",Mitochondrion outer membrane,,,13.865,13.117,13.865,158796,153268,-0.08,curated,mTOR_PI3K_AKT,True
CREB1,,,no,ENSG00000118260,Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1),Nucleus,,,7.977,8.081,8.081,91362,94424,0.019,curated,mTOR_PI3K_AKT,True
CREB3,,,no,ENSG00000107175,Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha),Nucleus,,,9.603,10.001,10.001,109987,116861,0.059,curated,mTOR_PI3K_AKT,True
CREB5,,,no,ENSG00000146592,Cyclic AMP-responsive element-binding protein 5 (CREB-5) (cAMP-responsive element-binding protein 5) (cAMP-response element-binding protein A) (CRE-BPa),Nucleus,endosteal cell;fibroblast of mammary gland,,0.927,0.876,0.927,10613,10231,-0.082,curated,mTOR_PI3K_AKT,False
CSF1,,,no,ENSG00000184371,Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) (Proteoglycan macrophage colony-stimulating factor) (PG-M-CSF),Cell membrane,blood cell;granulocyte;mast cell,CSF,4.256,5.1,5.1,48740,59597,0.261,curated,mTOR_PI3K_AKT,False
