gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCB1,,,no,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,,0.585,1.304,1.304,6696,15240,1.158,curated,MAPK_RAS_KRAS,False
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,8.123,7.796,8.123,93037,91090,-0.059,curated,MAPK_RAS_KRAS,True
ABL2,,,no,ENSG00000143322,Tyrosine-protein kinase ABL2,Cytoplasm,,,5.625,5.663,5.663,64425,66166,0.01,curated,MAPK_RAS_KRAS,True
ACE,,,no,ENSG00000159640,Angiotensin-converting enzyme (ACE),Cell membrane,epithelial cell;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;columnar/cuboidal epithelial cell;lung endothelial cell;M cell of gut;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;endothelial cell;endothelial cell of vascular tree,,1.299,1.68,1.68,14880,19636,0.371,curated,MAPK_RAS_KRAS,False
ADAM17,,,no,ENSG00000151694,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17),Membrane,alveolar macrophage;lung macrophage,,4.807,4.935,4.935,55055,57662,0.038,curated,MAPK_RAS_KRAS,False
ADAM8,,,no,ENSG00000151651,Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8),Membrane,"blood cell;granulocyte;basophil;eosinophil;conventional dendritic cell;Langerhans cell;myeloid dendritic cell, human;ILC1, human",,1.243,2.199,2.199,14233,25691,0.823,curated,MAPK_RAS_KRAS,False
ADAMDEC1,,,no,ENSG00000134028,ADAM DEC1,Secreted,mononuclear phagocyte;smooth muscle fiber of ileum;myofibroblast cell;mesenchymal cell,,0.138,0.105,0.138,1586,1226,-0.4,curated,MAPK_RAS_KRAS,False
ADGRA2,,,no,ENSG00000020181,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),Cell membrane,interstitial cell of Cajal;interstitial cell of ovary,ADGRA,2.323,2.836,2.836,26605,33137,0.288,curated,MAPK_RAS_KRAS,True
ADGRL4,,,no,ENSG00000162618,"Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)",Cell membrane,epithelial cell;squamous epithelial cell;blood vessel endothelial cell;endothelial tip cell;vein endothelial cell;endothelial cell of umbilical vein;vasa recta ascending limb cell;vasa recta descending limb cell;retinal blood vessel endothelial cell;endothelial cell of artery;kidney capillary endothelial cell;glomerular capillary endothelial cell;capillary endothelial cell;lung microvascular endothelial cell;prostate gland microvascular endothelial cell;lung endothelial cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;endothelial cell of sinusoid;endothelial cell of hepatic sinusoid;endothelial cell of pericentral hepatic sinusoid;endothelial cell of uterus;cardiac endothelial cell,,0.988,0.949,0.988,11314,11084,-0.059,curated,MAPK_RAS_KRAS,False
ADRA2C,,,no,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.883,0.39,0.883,10109,4555,-1.179,curated,MAPK_RAS_KRAS,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,MAPK_RAS_KRAS,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,MAPK_RAS_KRAS,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,MAPK_RAS_KRAS,True
ANGPT1,,,no,ENSG00000154188,Angiopoietin-1 (ANG-1),Secreted,preosteoblast;connective tissue cell;fibroblast;pulmonary interstitial fibroblast;alveolar type 2 fibroblast cell;fibroblast of lung;kidney interstitial fibroblast;mesangial cell;kidney interstitial cell,ANGPT,0.497,0.488,0.497,5697,5705,-0.027,curated,MAPK_RAS_KRAS,False
