gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ACHE,,,no,ENSG00000087085,Acetylcholinesterase (AChE),Synapse,medullary thymic epithelial cell;follicular dendritic cell,,0.76,0.781,0.781,8703,9128,0.04,curated,allograft_autoimmunity_antigen_processing,False
ACVR2A,,,no,ENSG00000121989,Activin receptor type-2A,Cell membrane,,BMP;BMP10;GDF;MSTN;NODAL;ACTIVIN,3.543,4.317,4.317,40583,50440,0.285,curated,allograft_autoimmunity_antigen_processing,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,allograft_autoimmunity_antigen_processing,True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,6.197,7.201,7.201,70976,84141,0.217,curated,allograft_autoimmunity_antigen_processing,True
AP1B1,,,no,ENSG00000100280,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Golgi apparatus;Cytoplasmic vesicle,late pro-B cell,,15.918,16.628,16.628,182307,194298,0.063,curated,allograft_autoimmunity_antigen_processing,False
AP1M1,,,no,ENSG00000072958,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),Golgi apparatus;Cytoplasmic vesicle,,,5.044,5.038,5.044,57773,58871,-0.002,curated,allograft_autoimmunity_antigen_processing,True
AP1S3,,,no,ENSG00000152056,AP-1 complex subunit sigma-3 (Adaptor protein complex AP-1 subunit sigma-1C) (Adaptor-related protein complex 1 subunit sigma-1C) (Clathrin assembly protein complex 1 sigma-1C small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1C subunit) (Sigma 1C subunit of AP-1 clathrin) (Sigma-adaptin 1C) (Sigma1C-adaptin),Golgi apparatus;Cytoplasmic vesicle membrane,,,2.129,1.35,2.129,24386,15777,-0.657,curated,allograft_autoimmunity_antigen_processing,True
AP2A1,,,no,ENSG00000196961,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),Cell membrane,Leydig cell;erythroid lineage cell,,11.32,12.698,12.698,129642,148369,0.166,curated,allograft_autoimmunity_antigen_processing,True
AP2A2,,,no,ENSG00000183020,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Cell membrane,Kupffer cell;immature innate lymphoid cell,,9.342,10.757,10.757,106988,125691,0.204,curated,allograft_autoimmunity_antigen_processing,False
AP2M1,,,no,ENSG00000161203,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),Cell membrane,fallopian tube secretory epithelial cell;Hofbauer cell,,23.862,23.097,23.862,273285,269882,-0.047,curated,allograft_autoimmunity_antigen_processing,False
ATG7,,,no,ENSG00000197548,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein),Cytoplasm,Kupffer cell;immature innate lymphoid cell,,1.781,2.171,2.171,20399,25366,0.285,curated,allograft_autoimmunity_antigen_processing,False
BCL10,,,no,ENSG00000142867,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),Cytoplasm,luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell;epithelial cell of urethra,,4.167,3.776,4.167,47720,44124,-0.142,curated,allograft_autoimmunity_antigen_processing,False
BCL3,,,no,ENSG00000069399,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),Nucleus;Cytoplasm,,,5.805,4.246,5.805,66479,49613,-0.451,curated,allograft_autoimmunity_antigen_processing,True
BECN1,,,no,ENSG00000126581,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197),Cytoplasm,,,14.026,13.156,14.026,160640,153721,-0.092,curated,allograft_autoimmunity_antigen_processing,True
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.771,0.492,0.771,8835,5745,-0.65,curated,allograft_autoimmunity_antigen_processing,True
BTK,,,no,ENSG00000010671,Tyrosine-protein kinase BTK,Cytoplasm,basophil;eosinophil;B-1a B cell;B-1b B cell;small pre-B-II cell;pre-B-I cell,,0.95,1.736,1.736,10879,20284,0.87,curated,allograft_autoimmunity_antigen_processing,False
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,3.713,4.676,4.676,42527,54637,0.333,curated,allograft_autoimmunity_antigen_processing,True
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,50.662,44.115,50.662,580234,515474,-0.2,curated,allograft_autoimmunity_antigen_processing,False
CARTPT,,,no,ENSG00000164326,Cocaine- and amphetamine-regulated transcript protein,Secreted,neuron,,0.07,0.021,0.07,796,248,-1.711,curated,allograft_autoimmunity_antigen_processing,False
CBLB,,,no,ENSG00000114423,E3 ubiquitin-protein ligase CBL-B,Cytoplasm,pigmented epithelial cell;podocyte;muscle precursor cell;cardiac muscle myoblast;alveolar type 2 fibroblast cell;preadipocyte;brown preadipocyte;fibro/adipogenic progenitor cell,,2.722,3.109,3.109,31172,36323,0.192,curated,allograft_autoimmunity_antigen_processing,False
