gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ADAM9,,,no,ENSG00000168615,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9),Secreted,salivary gland cell,,13.215,10.442,13.215,151346,122009,-0.34,curated,complement_extended,True
ADRA2B,,,no,ENSG00000274286,Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Cell membrane,,Adrenaline;Noradrenaline,0.254,0.214,0.254,2912,2505,-0.246,curated,complement_extended,True
ANXA5,,,no,ENSG00000164111,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),,skeletal muscle satellite stem cell;pancreatic PP cell;PP cell;ovarian surface epithelial cell;elicited macrophage;alternatively activated macrophage;myeloid leukocyte;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,,36.744,27.541,36.744,420822,321811,-0.416,curated,complement_extended,False
APOBEC3F,,,no,ENSG00000128394,DNA dC->dU-editing enzyme APOBEC-3F,Cytoplasm;Cytoplasm,,,0.385,0.325,0.385,4405,3798,-0.243,curated,complement_extended,True
APOBEC3G,,,no,ENSG00000239713,DNA dC->dU-editing enzyme APOBEC-3G,Cytoplasm;Nucleus;Cytoplasm,"plasmablast;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytotoxic T cell;activated CD8-positive, alpha-beta T cell, human;effector memory CD8-positive, alpha-beta T cell, terminally differentiated;mucosal invariant T cell;mature gamma-delta T cell;mature T cell;innate lymphoid cell;natural killer cell;CD16-negative, CD56-bright natural killer cell, human;decidual natural killer cell, human;ILC1, human",,0.489,0.712,0.712,5599,8315,0.542,curated,complement_extended,False
BDKRB1,,,no,ENSG00000100739,B1 bradykinin receptor (B1R) (BK-1 receptor),Cell membrane,fibroblast;fibroblast of mammary gland,BRADYKININ,0.165,0.122,0.165,1891,1425,-0.437,curated,complement_extended,False
BDKRB2,,,no,ENSG00000168398,B2 bradykinin receptor (B2R) (BK-2 receptor),Cell membrane,,BRADYKININ,1.682,1.144,1.682,19269,13373,-0.556,curated,complement_extended,True
C3AR1,,,no,ENSG00000171860,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R),Cell membrane,phagocyte;macrophage;elicited macrophage;alternatively activated macrophage;tissue-resident macrophage;alveolar macrophage;microglial cell;colon macrophage;lung macrophage;hematopoietic cell;blood cell;granulocyte;leukocyte;professional antigen presenting cell;myeloid leukocyte;myeloid cell;myelocyte;granulocytopoietic cell,COMPLEMENT,1.863,1.889,1.889,21333,22070,0.02,curated,complement_extended,False
C4A,,,no,ENSG00000244731,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2),Secreted;Synapse,uterine smooth muscle cell;stromal cell;stromal cell of ovary,COMPLEMENT,12.63,13.573,13.573,144651,158601,0.104,curated,complement_extended,False
C4B,,,no,ENSG00000224389,Complement C4-B (Complement C4B (Chido blood group)),Secreted,uterine smooth muscle cell;stromal cell;stromal cell of ovary,,10.639,14.634,14.634,121843,170989,0.46,curated,complement_extended,False
