gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ADAR,,,no,ENSG00000160710,Double-stranded RNA-specific adenosine deaminase (DRADA),Cytoplasm,epithelial cell;endothelial cell;endothelial cell of vascular tree;IgA plasmablast,,15.238,17.381,17.381,174520,203088,0.19,curated,innate_PRR_TLR_NLR_RLR,False
AIM2,,,no,ENSG00000163568,Interferon-inducible protein AIM2 (Absent in melanoma 2),Cytoplasm,memory B cell;class switched memory B cell;follicular B cell,,0.059,0.081,0.081,673,943,0.458,curated,innate_PRR_TLR_NLR_RLR,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,innate_PRR_TLR_NLR_RLR,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,innate_PRR_TLR_NLR_RLR,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,innate_PRR_TLR_NLR_RLR,True
ATG16L1,,,no,ENSG00000085978,Autophagy-related protein 16-1 (APG16-like 1),Cytoplasm,,,2.21,2.376,2.376,25308,27765,0.105,curated,innate_PRR_TLR_NLR_RLR,True
ATG5,,,no,ENSG00000057663,Autophagy protein 5 (APG5-like) (Apoptosis-specific protein),Cytoplasm,,,4.701,4.044,4.701,53843,47254,-0.217,curated,innate_PRR_TLR_NLR_RLR,True
BCL10,,,no,ENSG00000142867,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),Cytoplasm,luminal epithelial cell of mammary gland;epithelial cell of uterus;mammary gland epithelial cell;epithelial cell of urethra,,4.167,3.776,4.167,47720,44124,-0.142,curated,innate_PRR_TLR_NLR_RLR,False
BCL2,,,no,ENSG00000171791,Apoptosis regulator Bcl-2,Mitochondrion outer membrane,parietal epithelial cell;kidney loop of Henle thin descending limb epithelial cell;melanocyte;Schwann cell;fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,1.295,1.556,1.556,14831,18181,0.265,curated,innate_PRR_TLR_NLR_RLR,False
BCL2L1,,,no,ENSG00000171552,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),Mitochondrion inner membrane,erythrocyte;enucleate erythrocyte;reticulocyte;enucleated reticulocyte,,18.876,18.984,18.984,216190,221821,0.008,curated,innate_PRR_TLR_NLR_RLR,False
BCL3,,,no,ENSG00000069399,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),Nucleus;Cytoplasm,,,5.805,4.246,5.805,66479,49613,-0.451,curated,innate_PRR_TLR_NLR_RLR,True
BIRC2,,,no,ENSG00000110330,Baculoviral IAP repeat-containing protein 2,Cytoplasm;Nucleus,,,15.907,16.978,16.978,182178,198387,0.094,curated,innate_PRR_TLR_NLR_RLR,False
CALM3,,,no,ENSG00000160014,Calmodulin-3,Cytoplasm,pancreatic A cell;Hofbauer cell;platelet;T-helper 17 cell;large pre-B-II cell;myeloid cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,,16.504,14.013,16.504,189023,163741,-0.236,curated,innate_PRR_TLR_NLR_RLR,False
CALML3,,,no,ENSG00000178363,Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1),,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of trachea;epithelial cell of stratum germinativum of esophagus;epithelial cell;keratinocyte;stratified epithelial cell;pulmonary ionocyte;epithelial cell of thymus;cortical thymic epithelial cell;medullary thymic epithelial cell;epidermal cell;ionocyte;conjunctival epithelial cell,,0.033,,0.033,378,0,,curated,innate_PRR_TLR_NLR_RLR,False
CAMP,,,no,ENSG00000164047,Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18),Secreted,acinar cell;acinar cell of salivary gland;brush cell;hematopoietic cell;blood cell;granulocyte;neutrophil;immature neutrophil;leukocyte;myeloid leukocyte;myeloid cell;promyelocyte;myelocyte;myeloid lineage restricted progenitor cell;granulocytopoietic cell,,0.04,,0.04,459,0,,curated,innate_PRR_TLR_NLR_RLR,False
CARD8,,,no,ENSG00000105483,Caspase recruitment domain-containing protein 8,Cytoplasm,,,3.012,3.645,3.645,34500,42586,0.275,curated,innate_PRR_TLR_NLR_RLR,True
CARD9,,,no,ENSG00000187796,Caspase recruitment domain-containing protein 9 (hCARD9),Cytoplasm,,,0.081,0.202,0.202,932,2362,1.313,curated,innate_PRR_TLR_NLR_RLR,True
CASP1,,,no,ENSG00000137752,Caspase-1 (CASP-1),Cytoplasm,"classical monocyte;CD14-positive, CD16-negative classical monocyte;hematopoietic cell;leukocyte;professional antigen presenting cell;dendritic cell;conventional dendritic cell;myeloid dendritic cell;CD1c-positive myeloid dendritic cell;dendritic cell, human;myeloid leukocyte;monocyte;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive monocyte;CD14-positive, CD16-positive monocyte;peripheral blood mononuclear cell;myeloid cell;transit amplifying cell of small intestine",,1.174,2.209,2.209,13447,25806,0.912,curated,innate_PRR_TLR_NLR_RLR,False
CASP10,,,no,ENSG00000003400,Caspase-10 (CASP-10),,,,1.886,2.387,2.387,21601,27893,0.34,curated,innate_PRR_TLR_NLR_RLR,False
