gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ACTN1,,,no,ENSG00000072110,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Cytoplasm,myoepithelial cell;myoepithelial cell of mammary gland;retinal blood vessel endothelial cell;smooth muscle cell;smooth muscle cell of sphincter of pupil;enteric smooth muscle cell;myometrial cell;tracheobronchial smooth muscle cell;bronchial smooth muscle cell,,10.874,11.16,11.16,124541,130398,0.037,curated,cell_adhesion_junctions_ECM_extended,False
ACTN4,,,no,ENSG00000130402,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,,33.487,34.258,34.258,383523,400293,0.033,curated,cell_adhesion_junctions_ECM_extended,True
ADAM10,,,no,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10),Cell membrane,papillary tips cell,,10.308,9.545,10.308,118053,111533,-0.111,curated,cell_adhesion_junctions_ECM_extended,False
ADAM9,,,no,ENSG00000168615,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9),Secreted,salivary gland cell,,13.215,10.442,13.215,151346,122009,-0.34,curated,cell_adhesion_junctions_ECM_extended,True
ADAMTS2,,,no,ENSG00000087116,A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2),Secreted,hepatic stellate cell;alveolar type 2 fibroblast cell;preadipocyte;subcutaneous fat cell,,3.351,2.83,3.351,38380,33064,-0.244,curated,cell_adhesion_junctions_ECM_extended,False
ADAMTS5,,,no,ENSG00000154736,A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5),Secreted,mesenchymal stem cell,,0.381,0.279,0.381,4362,3257,-0.45,curated,cell_adhesion_junctions_ECM_extended,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708,curated,cell_adhesion_junctions_ECM_extended,False
ADIPOR2,,,no,ENSG00000006831,Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II),Cell membrane,melanocyte;brown fat cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN,2.964,2.061,2.964,33952,24088,-0.524,curated,cell_adhesion_junctions_ECM_extended,False
ADRA1B,,,no,ENSG00000170214,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline,0.176,0.094,0.176,2014,1096,-0.907,curated,cell_adhesion_junctions_ECM_extended,True
ADRB1,,,no,ENSG00000043591,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Cell membrane,,Adrenaline;Noradrenaline,0.657,0.24,0.657,7522,2802,-1.454,curated,cell_adhesion_junctions_ECM_extended,True
AFAP1L2,,,no,ENSG00000169129,Actin filament-associated protein 1-like 2 (AFAP1-like protein 2),Cytoplasm,"brush cell;intestinal tuft cell;tuft cell of colon;decidual natural killer cell, human",,7.496,5.21,7.496,85851,60872,-0.525,curated,cell_adhesion_junctions_ECM_extended,False
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,cell_adhesion_junctions_ECM_extended,True
