gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABL1,,,no,ENSG00000097007,Tyrosine-protein kinase ABL1,Cytoplasm,brown preadipocyte,,8.123,7.796,8.123,93037,91090,-0.059,curated,cell_cycle_extended,True
ACTN4,,,no,ENSG00000130402,Alpha-actinin-4 (Non-muscle alpha-actinin 4),Nucleus,myoepithelial cell;myoepithelial cell of mammary gland;podocyte,,33.487,34.258,34.258,383523,400293,0.033,curated,cell_cycle_extended,True
AIMP2,,,no,ENSG00000106305,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Cytoplasm,,,3.185,3.022,3.185,36473,35313,-0.076,curated,cell_cycle_extended,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,cell_cycle_extended,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,cell_cycle_extended,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,cell_cycle_extended,True
ANAPC1,,,no,ENSG00000153107,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),,,,6.197,7.201,7.201,70976,84141,0.217,curated,cell_cycle_extended,True
ANP32E,,,no,ENSG00000143401,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),Cytoplasm,"double-positive, alpha-beta thymocyte;T-helper 17 cell;DN4 thymocyte;CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human;fraction A pre-pro B cell;myeloid lineage restricted progenitor cell",,4.221,3.748,4.221,48345,43789,-0.172,curated,cell_cycle_extended,False
APC,,,no,ENSG00000134982,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),Cell junction,enteroendocrine cell of small intestine;astrocyte,,2.242,1.79,2.242,25676,20918,-0.325,curated,cell_cycle_extended,True
APEX1,,,no,ENSG00000100823,DNA-(apurinic or apyrimidinic site) endonuclease,Nucleus,glioblast;Schwann cell precursor;bone marrow cell;granulocyte monocyte progenitor cell;professional antigen presenting cell;dendritic cell;common dendritic progenitor;macrophage dendritic cell progenitor;basophil mast progenitor cell;hematopoietic multipotent progenitor cell;early lymphoid progenitor;early T lineage precursor,,16.68,16.64,16.68,191030,194432,-0.003,curated,cell_cycle_extended,False
ARF6,,,no,ENSG00000165527,ADP-ribosylation factor 6,Cytoplasm,"epithelial cell of urethra;CD141-positive myeloid dendritic cell;myeloid dendritic cell, human;alpha-beta T cell;mature alpha-beta T cell;mucosal invariant T cell;mature T cell;decidual natural killer cell, human",,11.185,8.344,11.185,128105,97494,-0.423,curated,cell_cycle_extended,False
ARHGEF2,,,no,ENSG00000116584,Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Microtubule-regulated Rho-GEF) (Proliferating cell nucleolar antigen p40),Cytoplasm,,,4.689,7.396,7.396,53702,86415,0.657,curated,cell_cycle_extended,True
ARHGEF7,,,no,ENSG00000102606,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85),Cell junction,smooth muscle myoblast;renal interstitial pericyte,,2.982,3.78,3.78,34157,44169,0.342,curated,cell_cycle_extended,False
ASF1B,,,no,ENSG00000105011,Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II),Nucleus,precursor B cell;large pre-B-II cell;pro-B cell,,0.248,0.148,0.248,2836,1731,-0.741,curated,cell_cycle_extended,False
ATM,,,no,ENSG00000149311,Serine-protein kinase ATM,Nucleus,"central nervous system macrophage;mononuclear cell;lymphocyte;T cell;alpha-beta T cell;mature alpha-beta T cell;CD8-positive, alpha-beta cytokine secreting effector T cell;mucosal invariant T cell;mature T cell",,9.108,10.276,10.276,104310,120077,0.174,curated,cell_cycle_extended,False
ATR,,,no,ENSG00000175054,Serine/threonine-protein kinase ATR,Nucleus,,,3.923,3.607,3.923,44927,42144,-0.121,curated,cell_cycle_extended,True
ATRX,,,no,ENSG00000085224,Transcriptional regulator ATRX,Nucleus;Chromosome,,,11.521,10.23,11.521,131955,119531,-0.172,curated,cell_cycle_extended,True
AURKA,,,no,ENSG00000087586,Aurora kinase A,Cytoplasm,,,0.499,0.361,0.499,5715,4224,-0.465,curated,cell_cycle_extended,False
AURKB,,,no,ENSG00000178999,Aurora kinase B,Nucleus,precursor B cell;large pre-B-II cell;lymphoid lineage restricted progenitor cell;pro-B cell;fraction A pre-pro B cell,,0.305,0.272,0.305,3488,3183,-0.161,curated,cell_cycle_extended,False
BARD1,,,no,ENSG00000138376,BRCA1-associated RING domain protein 1 (BARD-1),Nucleus,,,1.286,0.969,1.286,14726,11317,-0.409,curated,cell_cycle_extended,True
BCAR1,,,no,ENSG00000050820,Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas),Cell junction,,,1.48,1.141,1.48,16949,13338,-0.375,curated,cell_cycle_extended,True
BCL2L11,,,no,ENSG00000153094,Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death),Endomembrane system,,,1.776,1.509,1.776,20337,17629,-0.235,curated,cell_cycle_extended,False
BCL3,,,no,ENSG00000069399,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),Nucleus;Cytoplasm,,,5.805,4.246,5.805,66479,49613,-0.451,curated,cell_cycle_extended,True
BCR,,,no,ENSG00000186716,Breakpoint cluster region protein,Postsynaptic density,,,9.931,10.228,10.228,113738,119514,0.043,curated,cell_cycle_extended,True
BIRC5,,,no,ENSG00000089685,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Cytoplasm,"double-positive, alpha-beta thymocyte;large pre-B-II cell",,0.708,0.358,0.708,8109,4186,-0.983,curated,cell_cycle_extended,False
BRCA1,,,no,ENSG00000012048,Breast cancer type 1 susceptibility protein,Nucleus,,,0.771,0.492,0.771,8835,5745,-0.65,curated,cell_cycle_extended,True
BRCA2,,,no,ENSG00000139618,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),Nucleus,common dendritic progenitor,,0.506,0.309,0.506,5797,3612,-0.711,curated,cell_cycle_extended,False
BTRC,,,no,ENSG00000166167,F-box/WD repeat-containing protein 1A (E3RSIkappaB) (Epididymis tissue protein Li 2a) (F-box and WD repeats protein beta-TrCP) (pIkappaBalpha-E3 receptor subunit),Cytoplasm,,,3.713,4.676,4.676,42527,54637,0.333,curated,cell_cycle_extended,True
BUB1,,,no,ENSG00000169679,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1),Nucleus;Chromosome,,,0.225,0.211,0.225,2580,2471,-0.091,curated,cell_cycle_extended,False
BUB1B,,,no,ENSG00000156970,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Cytoplasm;Nucleus;Chromosome,,,0.215,0.158,0.215,2462,1843,-0.447,curated,cell_cycle_extended,False
C1QBP,,,no,ENSG00000108561,"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)",Mitochondrion matrix,erythroid progenitor cell;proerythroblast;macrophage dendritic cell progenitor;pre-conventional dendritic cell,,21.567,16.001,21.567,247001,186964,-0.431,curated,cell_cycle_extended,False
CAD,,,no,ENSG00000084774,CAD protein,Cytoplasm,,,4.063,4.231,4.231,46530,49436,0.058,curated,cell_cycle_extended,True
CANX,,,no,ENSG00000127022,Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90),Endoplasmic reticulum membrane,fallopian tube secretory epithelial cell;IgG plasmablast;IgA plasmablast;serous cell of epithelium of bronchus,,50.662,44.115,50.662,580234,515474,-0.2,curated,cell_cycle_extended,False
CASP8AP2,,,no,ENSG00000118412,CASP8-associated protein 2 (FLICE-associated huge protein),Cytoplasm;Nucleus;Nucleus,,,3.207,2.764,3.207,36728,32296,-0.214,curated,cell_cycle_extended,True
