gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCC8,,,no,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,,1.942,1.117,1.942,22243,13049,-0.798,curated,insulin_biology_T1D_extended,False
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,4.505,3.282,4.505,51594,38348,-0.457,curated,insulin_biology_T1D_extended,False
ACACB,,,no,ENSG00000076555,Acetyl-CoA carboxylase 2,Mitochondrion,skeletal muscle fiber;fast muscle cell;cell of skeletal muscle;preadipocyte;fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,,7.998,9.016,9.016,91596,105344,0.173,curated,insulin_biology_T1D_extended,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708,curated,insulin_biology_T1D_extended,False
ADCYAP1,,,no,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP,0.594,0.05,0.594,6807,581,-3.579,curated,insulin_biology_T1D_extended,False
ADCYAP1R1,,,no,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP,0.213,0.204,0.213,2441,2382,-0.064,curated,insulin_biology_T1D_extended,True
ADIPOQ,,,no,ENSG00000181092,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",Secreted,fat cell;white fat cell;brown fat cell;subcutaneous fat cell;adipocyte of breast;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,ADIPONECTIN,0.055,0.024,0.055,630,275,-1.225,curated,insulin_biology_T1D_extended,False
ADRA2A,,,no,ENSG00000150594,Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR),Cell membrane,vascular associated smooth muscle cell;mural cell,Adrenaline;Noradrenaline,5.189,7.022,7.022,59428,82047,0.436,curated,insulin_biology_T1D_extended,False
ADRA2C,,,no,ENSG00000184160,Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR),Cell membrane,uterine smooth muscle cell;myometrial cell;smooth muscle cell of prostate;myofibroblast cell;stromal cell;stromal cell of ovary;pericyte;mural cell,Adrenaline;Noradrenaline,0.883,0.39,0.883,10109,4555,-1.179,curated,insulin_biology_T1D_extended,False
AGER,,,no,ENSG00000204305,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Cell membrane,epithelial cell;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;type II pneumocyte;lung secretory cell,,0.3,0.631,0.631,3439,7373,1.071,curated,insulin_biology_T1D_extended,False
AGTR1,,,no,ENSG00000144891,Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor),Cell membrane,,,0.529,0.703,0.703,6055,8213,0.411,curated,insulin_biology_T1D_extended,True
AKT1,,,no,ENSG00000142208,RAC-alpha serine/threonine-protein kinase,Cytoplasm,,,21.471,16.765,21.471,245908,195890,-0.357,curated,insulin_biology_T1D_extended,True
AKT2,,,no,ENSG00000105221,RAC-beta serine/threonine-protein kinase,Cytoplasm;Nucleus;Cell membrane,,,14.34,16.101,16.101,164236,188133,0.167,curated,insulin_biology_T1D_extended,True
AKT3,,,no,ENSG00000117020,RAC-gamma serine/threonine-protein kinase,Nucleus,,,6.099,7.575,7.575,69847,88506,0.313,curated,insulin_biology_T1D_extended,True
ATF2,,,no,ENSG00000115966,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (cAMP response element-binding protein CRE-BP1),Nucleus;Cytoplasm;Mitochondrion outer membrane,,,7.302,6.753,7.302,83635,78904,-0.113,curated,insulin_biology_T1D_extended,True
