gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCA1,,,no,ENSG00000165029,Phospholipid-transporting ATPase ABCA1,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;alternatively activated macrophage;Kupffer cell;immature innate lymphoid cell;medium spiny neuron;connective tissue cell;fibroblast;hepatic stellate cell;fibroblast of lung;mesothelial fibroblast;fat cell;white fat cell;brown fat cell;epicardial adipocyte,ApoA,4.024,9.526,9.526,46086,111313,1.243,curated,lipid_bile_heme_peroxisome_metabolism,False
ABCA3,,,no,ENSG00000167972,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,,4.203,3.748,4.203,48142,43789,-0.166,curated,lipid_bile_heme_peroxisome_metabolism,False
ABCB1,,,no,ENSG00000085563,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1),Cell membrane,renal principal cell;cardiac endothelial cell,,0.585,1.304,1.304,6696,15240,1.158,curated,lipid_bile_heme_peroxisome_metabolism,False
ABCB4,,,no,ENSG00000005471,Phosphatidylcholine translocator ABCB4,Cell membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell,,0.121,0.148,0.148,1386,1724,0.286,curated,lipid_bile_heme_peroxisome_metabolism,True
ABCB6,,,no,ENSG00000115657,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6),Cell membrane,,,1.743,1.89,1.89,19967,22079,0.116,curated,lipid_bile_heme_peroxisome_metabolism,True
ABCC1,,,no,ENSG00000103222,Multidrug resistance-associated protein 1,Cell membrane,,,6.524,7.135,7.135,74719,83365,0.129,curated,lipid_bile_heme_peroxisome_metabolism,True
ABCC8,,,no,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,,1.942,1.117,1.942,22243,13049,-0.798,curated,lipid_bile_heme_peroxisome_metabolism,False
ABCD1,,,no,ENSG00000101986,ATP-binding cassette sub-family D member 1,Peroxisome membrane,,,1.601,2.604,2.604,18332,30427,0.702,curated,lipid_bile_heme_peroxisome_metabolism,True
ABCD3,,,no,ENSG00000117528,ATP-binding cassette sub-family D member 3,Peroxisome membrane,epithelial cell of lung;centrilobular region hepatocyte;lung secretory cell,,6.961,7.227,7.227,79719,84448,0.054,curated,lipid_bile_heme_peroxisome_metabolism,False
ABCD4,,,no,ENSG00000119688,Lysosomal cobalamin transporter ABCD4,Endoplasmic reticulum membrane,,,2.186,2.757,2.757,25040,32214,0.335,curated,lipid_bile_heme_peroxisome_metabolism,True
ABCG2,,,no,ENSG00000118777,Broad substrate specificity ATP-binding cassette transporter ABCG2,Cell membrane,prostate gland microvascular endothelial cell;cerebral cortex endothelial cell,,0.185,0.234,0.234,2121,2730,0.335,curated,lipid_bile_heme_peroxisome_metabolism,False
ACAA2,,,no,ENSG00000167315,"3-ketoacyl-CoA thiolase, mitochondrial",Mitochondrion,intrahepatic cholangiocyte;transit amplifying cell of colon;transit amplifying cell of small intestine,,9.261,7.544,9.261,106070,88153,-0.296,curated,lipid_bile_heme_peroxisome_metabolism,True
ACACA,,,no,ENSG00000278540,Acetyl-CoA carboxylase 1 (ACC1),Cytoplasm,preadipocyte;brown preadipocyte;white fat cell;brown fat cell;subcutaneous fat cell;epicardial adipocyte;sebaceous gland cell,,4.505,3.282,4.505,51594,38348,-0.457,curated,lipid_bile_heme_peroxisome_metabolism,False
ACLY,,,no,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,,17.235,15.518,17.235,197392,181327,-0.151,curated,lipid_bile_heme_peroxisome_metabolism,False
ACP5,,,no,ENSG00000102575,Tartrate-resistant acid phosphatase type 5 (TR-AP),Lysosome,macrophage;tissue-resident macrophage;alveolar macrophage;colon macrophage;lung macrophage;mononuclear phagocyte;osteoclast;basophil;professional antigen presenting cell;Langerhans cell;intermediate monocyte;mononuclear cell;lymphocyte;B cell,,0.357,0.405,0.405,4090,4731,0.181,curated,lipid_bile_heme_peroxisome_metabolism,False
ACSL4,,,no,ENSG00000068366,Long-chain-fatty-acid--CoA ligase 4,Mitochondrion outer membrane,hepatoblast;epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;intestinal tuft cell;tuft cell of colon;kidney distal convoluted tubule epithelial cell;mast cell;lung secretory cell,,6.804,6.355,6.804,77926,74262,-0.098,curated,lipid_bile_heme_peroxisome_metabolism,False
ADD1,,,no,ENSG00000087274,Alpha-adducin (Erythrocyte adducin subunit alpha),Cytoplasm,neuronal receptor cell;photoreceptor cell;eye photoreceptor cell;retinal rod cell,,18.293,20.894,20.894,209506,244146,0.192,curated,lipid_bile_heme_peroxisome_metabolism,True
