gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABCC4,,,no,ENSG00000125257,ATP-binding cassette sub-family C member 4,Basolateral cell membrane,kidney collecting duct intercalated cell;renal intercalated cell;renal alpha-intercalated cell;luminal cell of prostate epithelium;tissue-resident macrophage;central nervous system macrophage;enucleate erythrocyte;epidermal Langerhans cell,,1.253,1.428,1.428,14351,16690,0.189,curated,calcium_cAMP_signaling,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708,curated,calcium_cAMP_signaling,False
ADCYAP1,,,no,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP,0.594,0.05,0.594,6807,581,-3.579,curated,calcium_cAMP_signaling,False
ADCYAP1R1,,,no,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP,0.213,0.204,0.213,2441,2382,-0.064,curated,calcium_cAMP_signaling,True
ADORA1,,,no,ENSG00000163485,Adenosine receptor A1,Cell membrane,,CD39;Adenosine,4.512,4.74,4.74,51675,55388,0.071,curated,calcium_cAMP_signaling,True
ADORA2A,,,no,ENSG00000128271,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine,0.263,0.281,0.281,3014,3288,0.097,curated,calcium_cAMP_signaling,True
ADORA2B,,,no,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,0.172,0.132,0.172,1970,1548,-0.377,curated,calcium_cAMP_signaling,True
ADORA3,,,no,ENSG00000282608,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine,0.785,0.683,0.785,8986,7982,-0.2,curated,calcium_cAMP_signaling,False
ADRA1A,,,no,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline,0.123,0.086,0.123,1405,1008,-0.508,curated,calcium_cAMP_signaling,True
ADRA1B,,,no,ENSG00000170214,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline,0.176,0.094,0.176,2014,1096,-0.907,curated,calcium_cAMP_signaling,True
ADRA1D,,,no,ENSG00000171873,Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a),Cell membrane,,Adrenaline;Noradrenaline,0.061,,0.061,694,0,,curated,calcium_cAMP_signaling,True
