gene,category,rationale,exclude_recommended,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041323,detection_pct_0041326,det_max,n_cells_0041323,n_cells_0041326,log2_detection_ratio,pathway_source,pathway_term,was_uncategorized
ABHD6,,,no,ENSG00000163686,Monoacylglycerol lipase ABHD6,Late endosome membrane,,,2.274,1.57,2.274,26042,18340,-0.535,curated,GPCR_signaling,True
ACKR3,,,no,ENSG00000144476,Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1),Cell membrane,mesenchymal stem cell;endothelial cell of lymphatic vessel;endocardial cell;endosteal cell;surface ectodermal cell;keratocyte;fibroblast of breast;myofibroblast cell,CXCL;MIF,2.553,4.156,4.156,29239,48561,0.703,curated,GPCR_signaling,False
ADCY2,,,no,ENSG00000078295,Adenylate cyclase type 2,Membrane,smooth muscle cell of prostate;astrocyte;Bergmann glial cell;mature astrocyte;retina horizontal cell,,0.284,0.174,0.284,3247,2028,-0.708,curated,GPCR_signaling,False
ADCYAP1,,,no,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP,0.594,0.05,0.594,6807,581,-3.579,curated,GPCR_signaling,False
ADCYAP1R1,,,no,ENSG00000078549,Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1),Cell membrane,,PACAP,0.213,0.204,0.213,2441,2382,-0.064,curated,GPCR_signaling,True
ADGRE1,,,no,ENSG00000174837,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),Cell membrane,,,0.099,0.112,0.112,1135,1310,0.178,curated,GPCR_signaling,True
ADGRE2,,,no,ENSG00000127507,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),Cell membrane,granulocyte;Langerhans cell,ADGRE,0.872,1.211,1.211,9984,14149,0.474,curated,GPCR_signaling,False
ADGRE5,,,no,ENSG00000123146,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97),Cell membrane,"alveolar macrophage;lung macrophage;non-classical monocyte;CD14-low, CD16-positive monocyte;CD14-positive, CD16-positive monocyte;T-helper 1 cell;mature NK T cell;CD16-negative, CD56-bright natural killer cell, human;CD16-positive, CD56-dim natural killer cell, human;decidual natural killer cell, human;group 3 innate lymphoid cell;peripheral blood mononuclear cell",ADGRE,12.141,11.433,12.141,139049,133592,-0.087,curated,GPCR_signaling,False
ADM,,,no,ENSG00000148926,Pro-adrenomedullin,Secreted,glomerular capillary endothelial cell;trophoblast giant cell;extravillous trophoblast;myeloid cell;fibroblast of breast;white fat cell,CALCR;ADM,2.236,1.678,2.236,25611,19603,-0.415,curated,GPCR_signaling,False
ADORA1,,,no,ENSG00000163485,Adenosine receptor A1,Cell membrane,,CD39;Adenosine,4.512,4.74,4.74,51675,55388,0.071,curated,GPCR_signaling,True
ADORA2A,,,no,ENSG00000128271,Adenosine receptor A2a,Cell membrane,,CD39;Adenosine,0.263,0.281,0.281,3014,3288,0.097,curated,GPCR_signaling,True
ADORA2B,,,no,ENSG00000170425,Adenosine receptor A2b,Cell membrane,,CD39;Adenosine,0.172,0.132,0.172,1970,1548,-0.377,curated,GPCR_signaling,True
ADORA3,,,no,ENSG00000282608,Adenosine receptor A3,Cell membrane,microglial cell,CD39;Adenosine,0.785,0.683,0.785,8986,7982,-0.2,curated,GPCR_signaling,False
ADRA1A,,,no,ENSG00000120907,Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c),Nucleus membrane,hepatocyte;periportal region hepatocyte;midzonal region hepatocyte;centrilobular region hepatocyte;hepatic stellate cell;epicardial adipocyte;adipocyte of epicardial fat of left ventricle,Adrenaline;Noradrenaline,0.123,0.086,0.123,1405,1008,-0.508,curated,GPCR_signaling,True
ADRA1B,,,no,ENSG00000170214,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),Nucleus membrane,,Adrenaline;Noradrenaline,0.176,0.094,0.176,2014,1096,-0.907,curated,GPCR_signaling,True
